seed,arm,lambda_group,K,bank,step,origin,marginal_loss,marginal_cross,marginal_self,spread_within_input_descriptor_self,spread_between_input_descriptor_distance,conditional_loss,conditional_cross_distance,conditional_self_distance,conditional_correct_common_loss,conditional_correct_common_cross_distance,conditional_correct_common_self_distance,conditional_shuffled_loss,conditional_shuffled_cross_distance,conditional_shuffled_self_distance,central_overall,central_AU,central_VA,central_expression,central_correct_common_overall,central_correct_common_AU,central_correct_common_VA,central_correct_common_expression,central_shuffled_overall,central_shuffled_AU,central_shuffled_VA,central_shuffled_expression,per_input_population_loss,per_input_population_cross,per_input_population_self,conditional_shuffle_gap_correct,conditional_shuffle_gap_shuffled,conditional_shuffle_gap_ratio,conditional_shuffle_gap_difference,central_shuffle_gap_correct,central_shuffle_gap_shuffled,central_shuffle_gap_ratio,central_shuffle_gap_difference,channels_overall_cross_distance,channels_overall_self_distance,channels_overall_ES,channels_overall_prediction_std,channels_overall_boundary_fraction,channels_overall_temporal_mean,channels_overall_temporal_std,channels_overall_velocity_abs_mean,channels_overall_velocity_rms,channels_overall_expression_entropy,channels_AU_cross_distance,channels_AU_self_distance,channels_AU_ES,channels_AU_prediction_std,channels_AU_boundary_fraction,channels_AU_temporal_mean,channels_AU_temporal_std,channels_AU_velocity_abs_mean,channels_AU_velocity_rms,channels_VA_cross_distance,channels_VA_self_distance,channels_VA_ES,channels_VA_prediction_std,channels_VA_boundary_fraction,channels_VA_temporal_mean,channels_VA_temporal_std,channels_VA_velocity_abs_mean,channels_VA_velocity_rms,channels_expression_cross_distance,channels_expression_self_distance,channels_expression_ES,channels_expression_prediction_std,channels_expression_boundary_fraction,channels_expression_temporal_mean,channels_expression_temporal_std,channels_expression_velocity_abs_mean,channels_expression_velocity_rms,channels_expression_expression_entropy,shuffle_gap_3perm,aux_covariance_population_RMS,aux_covariance_paired_RMS,aux_autocorrelation_population_RMS,aux_autocorrelation_paired_RMS
123,C0,0,32,0,2000,phase22_reused,0.884849825501442,1.5257496058940887,1.281799554824829,1.2120787799358368,1.30503981312116,0.2427032494917512,0.3866264920681715,0.2878464862704277,0.2427032494917512,0.3866264920681715,0.2878464862704277,0.262197751365602,0.4061209946870804,0.2878464862704277,0.37291207276284694,0.35721079632639885,0.614585853740573,0.28927689883857965,0.37291207276284694,0.35721079632639885,0.614585853740573,0.28927689883857965,0.3869234580546618,0.3750483708456159,0.6219617202877998,0.30117177218198776,0.9197102010250091,1.5257495909929275,1.2120787799358368,0.2427032494917512,0.262197751365602,1.0803223768724752,0.019494501873850822,0.37291207276284694,0.3869234580546618,1.0375728926875623,0.014011385291814837,0.3866264846175909,0.28784647695720195,0.24270324651151895,0.13727089818567037,0.09534667786210775,0.15180738968774676,0.05505229295231402,0.01233542016125284,0.03924636543961242,1.3806652575731277,0.3587042786180973,0.1439338899217546,0.2867373339831829,0.09098992217332125,0.07365682327581453,0.18506159568205477,0.03742950521409512,0.009632943026372232,0.02111512645496987,0.7157253377139569,0.8710371904075146,0.28020674251019956,0.6591012477874756,0.0,0.00963053251907695,0.24381018970161678,0.04207739938283339,0.11684391484595835,0.29226814992725847,0.15622092112898828,0.21415768871083857,0.09359016390517354,0.15985183715820311,0.125,0.0409055529627949,0.009967069292906671,0.023491544323042034,1.3806652575731277,0.014016013592481613,0.014330963655603166,0.023321158675330737,0.40843976959319084,0.47995751987395485
123,C0,0,64,0,2000,phase22_reused,0.923860564827919,1.5696958959102632,1.2916706681251526,1.215348593145609,1.3171113597850006,0.24493777714669704,0.38454332314431666,0.279211089015007,0.24493777714669704,0.38454332314431666,0.279211089015007,0.2635628754273057,0.40316841937601566,0.279211089015007,0.37291207276284694,0.35721079632639885,0.614585853740573,0.28927689883857965,0.37291207276284694,0.35721079632639885,0.614585853740573,0.28927689883857965,0.3869234580546618,0.3750483708456159,0.6219617202877998,0.30117177218198776,0.9620215974748134,1.5696958914399146,1.215348593145609,0.24493777714669704,0.2635628754273057,1.0760401212813073,0.018625098280608682,0.37291207276284694,0.3869234580546618,1.0375728926875623,0.014011385291814837,0.3845433212816715,0.279211082495749,0.24493777956813573,0.13209755411371588,0.10506719732657074,0.13881813324987888,0.05853094132617116,0.012650867376942187,0.04203272676095367,1.3550881922245026,0.3577716277912259,0.13486921759322285,0.2903370190411806,0.08575042448937893,0.0829417973269301,0.17307830434292554,0.03816969485487789,0.009444733685813844,0.02160730030736886,0.7050390839576721,0.851784448325634,0.2791468597948551,0.6469180025160313,0.0,-0.06286049166810699,0.2725102696567774,0.04582299992907792,0.12687836843542755,0.2921230424195528,0.14969846373423934,0.2172738103196025,0.09029332865029574,0.1728191375732422,0.125,0.043213455588556826,0.010369334358256311,0.024773823865689337,1.3550881922245026,0.013304044244190058,,,,
123,C0,0,32,1,2000,phase22_reused,0.9598539501428605,1.5955587804317475,1.2714096486568451,1.18395074903965,1.30056261519591,0.2435089334845543,0.3849056798964739,0.28279349524527786,0.2435089334845543,0.3849056798964739,0.28279349524527786,0.26225320994853973,0.4036499571055174,0.28279349524527786,0.37291207276284694,0.35721079632639885,0.614585853740573,0.28927689883857965,0.37291207276284694,0.35721079632639885,0.614585853740573,0.28927689883857965,0.3869234580546618,0.3750483708456159,0.6219617202877998,0.30117177218198776,1.0035834074020387,1.5955587834119798,1.18395074903965,0.2435089334845543,0.26225320994853973,1.076975724035087,0.018744276463985438,0.37291207276284694,0.3869234580546618,1.0375728926875623,0.014011385291814837,0.38490567058324815,0.28279348835349083,0.24350892640650273,0.1304921166971326,0.10257433829829096,0.13905406901612877,0.06709767915308476,0.013753357739187778,0.04499076016945765,1.369778423011303,0.35731206759810447,0.13722233893349767,0.28870089557021855,0.08297603125683964,0.08118612087419023,0.17428161799907685,0.044942362769506874,0.010425463269348257,0.023821939015761018,0.7120332613587379,0.8617618836462497,0.28115231953561304,0.6498268492519855,0.0,-0.06893616559682414,0.3064935261383653,0.04889999874867499,0.13477263916283846,0.29266021251678465,0.1528091596439481,0.2162556329742074,0.0897511106915772,0.1683208465576172,0.125,0.048789943708106874,0.011206498777028173,0.026549272960983215,1.369778423011303,0.013340753689408303,0.016292144486263045,0.025137645563691337,0.4373144220179436,0.5032916521881651
123,C0,0,64,1,2000,phase22_reused,0.92957743704319,1.562482076883316,1.2658092677593231,1.18437816798687,1.2929529676834741,0.24370585475116968,0.386256442964077,0.2851011734455824,0.24370585475116968,0.386256442964077,0.2851011734455824,0.26290656756609676,0.405457154661417,0.2851011734455824,0.37291207276284694,0.35721079632639885,0.614585853740573,0.28927689883857965,0.37291207276284694,0.35721079632639885,0.614585853740573,0.28927689883857965,0.3869234580546618,0.3750483708456159,0.6219617202877998,0.30117177218198776,0.9702930063009262,1.562482087314129,1.18437816798687,0.24370585475116968,0.26290656756609676,1.078786424046035,0.01920071281492708,0.37291207276284694,0.3869234580546618,1.0375728926875623,0.014011385291814837,0.3862564340233803,0.2851011663675308,0.24370585139840842,0.13409736417233944,0.09680669978260995,0.1462044630199671,0.06570083699189126,0.013665017974562942,0.04360141970682889,1.3818694412708283,0.35772600024938583,0.14159306017681955,0.2869294686242938,0.08630706779658795,0.07497508057349478,0.18099804101511835,0.04586397998500615,0.010630674471030943,0.023868167609907686,0.7192545592784881,0.8634022332727909,0.2875534426420927,0.6599366746842861,0.0,-0.029929383654962293,0.2847830768674612,0.04667410725960508,0.12921060528606176,0.29278560988605024,0.15528445709496735,0.215143380779773,0.09224436283111573,0.1619426727294922,0.125,0.04812439428642392,0.011102138843853027,0.026215418800711633,1.3818694412708283,0.013716140575706958,,,,
123,C1,0.03,32,0,2000,phase23_new,0.8301163107156754,1.3648779213428497,1.0695232212543488,1.0383960902690887,1.0798989315827685,0.24528135340660812,0.38320047594606876,0.27583824563771486,0.24528135340660812,0.38320047594606876,0.27583824563771486,0.2658898988738656,0.4038090221583843,0.27583824563771486,0.36705284789204595,0.3488453863188624,0.6151662776246667,0.28291923543438313,0.36705284789204595,0.3488453863188624,0.6151662776246667,0.28291923543438313,0.38499697372317315,0.3727650923654437,0.6128805046901107,0.30458387210965154,0.8456798978149891,1.3648779422044754,1.0383960902690887,0.24528135340660812,0.2658898988738656,1.0840200250896947,0.02060854546725749,0.36705284789204595,0.38499697372317315,1.0488870361153138,0.0179441258311272,0.38320046812295916,0.27583824545145036,0.24528134409338237,0.1258458908647299,0.12652294645085932,0.13781816503033043,0.03578951288945973,0.010644350352231413,0.02408403487643227,1.3041202485561372,0.35221019182354213,0.106345980707556,0.2990372018888593,0.07732418812811374,0.09882528234415985,0.1684419322758913,0.02699665417894721,0.008814134763088077,0.017127892759162933,0.7150725983083248,0.8343704402446747,0.2978873781859875,0.6600204318761825,0.0,-0.04058731114200782,0.13519769879058002,0.02009818850783631,0.051973604736849664,0.28826107960194347,0.1426011251285672,0.21696051806211472,0.08328046277165413,0.21008682250976562,0.125,0.027424081740900875,0.011712544376496225,0.023850237927399577,1.3041202485561372,0.0150677436341842,0.013866403646543068,0.022488926594250055,0.35302092277244124,0.43721303354836144
123,C1,0.03,64,0,2000,phase23_new,0.8309853941202163,1.3629332959651947,1.063895806670189,1.0358375042676926,1.0732485741376878,0.24286070540547372,0.385669469833374,0.28561752773821353,0.24286070540547372,0.385669469833374,0.28561752773821353,0.2633287889882922,0.406137552857399,0.28561752773821353,0.36705284789204595,0.3488453863188624,0.6151662776246667,0.28291923543438313,0.36705284789204595,0.3488453863188624,0.6151662776246667,0.28291923543438313,0.38499697372317315,0.3727650923654437,0.6128805046901107,0.30458387210965154,0.8450145401060581,1.3629332929849625,1.0358375042676926,0.24286070540547372,0.2633287889882922,1.0842791078476262,0.020468083582818486,0.36705284789204595,0.38499697372317315,1.0488870361153138,0.0179441258311272,0.3856694672256708,0.28561752699315546,0.24286070428788661,0.1382163718342781,0.11676897932775318,0.14626435032114388,0.033573357248678805,0.010667348391143605,0.0234206959605217,1.3281215727329254,0.35664232093840836,0.12680152226239444,0.29324156045913696,0.0955913694575429,0.0933751468556693,0.18374487459659578,0.024752890202216805,0.009037211816757918,0.016912866767961533,0.7122111760079861,0.8464165955781937,0.28900287821888926,0.6635395683348179,0.0,-0.04978206646046601,0.12736872304230928,0.018875281617511064,0.04921781932935119,0.28961929138749837,0.1483493447303772,0.2154446198605001,0.08680747328326106,0.18982467651367188,0.12499999990686775,0.026662896131165327,0.011671871083672158,0.023572420858545228,1.3281215727329254,0.014940661750733851,,,,
123,C1,0.03,32,1,2000,phase23_new,0.8236353904008865,1.3655844569206237,1.0838981419801712,1.0556577168405057,1.0933116170267263,0.24074770286679267,0.38589622266590595,0.29029703959822656,0.24074770286679267,0.38589622266590595,0.29029703959822656,0.26189906559884546,0.40704758651554585,0.29029703959822656,0.36705284789204595,0.3488453863188624,0.6151662776246667,0.28291923543438313,0.36705284789204595,0.3488453863188624,0.6151662776246667,0.28291923543438313,0.38499697372317315,0.3727650923654437,0.6128805046901107,0.30458387210965154,0.8377555914223194,1.365584447979927,1.0556577168405057,0.24074770286679267,0.26189906559884546,1.087856965944784,0.021151362732052786,0.36705284789204595,0.38499697372317315,1.0488870361153138,0.0179441258311272,0.3858962178230286,0.29029703624546527,0.2407476993277669,0.13651075260713696,0.1100109837949276,0.14684515949338675,0.03755014680791646,0.011109493795083835,0.02401931199710816,1.332658489048481,0.3551631342619658,0.13278460865840316,0.2887708293274045,0.09057344510219992,0.08591451468028026,0.18322633672505617,0.030743539403192698,0.009790090547176078,0.018582874356070533,0.7189504832029343,0.8535263344645501,0.2921873159706593,0.6703372970223427,0.0,-0.03863292273308616,0.12623232863843442,0.017934780288487672,0.047568181366659704,0.2899356823414564,0.15561306290328503,0.2121291493065655,0.08918658131733537,0.1826946258544922,0.125,0.02814199524000287,0.011877052744966931,0.023884231073316185,1.332658489048481,0.015463545980552834,0.013790781878166186,0.022421094210517578,0.36285644029846076,0.44403472204194727
123,C1,0.03,64,1,2000,phase23_new,0.838170412182808,1.3482300877571105,1.0201193511486053,0.9889860615134239,1.0304971143603325,0.24336406961083412,0.38572701923549174,0.2847258999943733,0.24336406961083412,0.38572701923549174,0.2847258999943733,0.2645885398611426,0.4069514889270067,0.2847258999943733,0.36705284789204595,0.3488453863188624,0.6151662776246667,0.28291923543438313,0.36705284789204595,0.3488453863188624,0.6151662776246667,0.28291923543438313,0.38499697372317315,0.3727650923654437,0.6128805046901107,0.30458387210965154,0.8537370540201664,1.3482300832867622,0.9889860615134239,0.24336406961083412,0.2645885398611426,1.08721283418809,0.02122447025030849,0.36705284789204595,0.38499697372317315,1.0488870361153138,0.0179441258311272,0.3857270110398531,0.2847259011119604,0.2433640593662858,0.13724489277228713,0.11038305442780257,0.14584898129105567,0.03443149393424392,0.010858185670804233,0.02312877856893465,1.3420053109526635,0.3558948263525963,0.13139602094888686,0.2901968158781528,0.09313266463577748,0.08778076586058887,0.18469777889549732,0.027664739394094796,0.009509239805629477,0.017880403983872382,0.7164813458919526,0.8325927965342999,0.3001849476248026,0.6677195109426975,0.0,-0.06212095189257525,0.1100996277295053,0.0171006484888494,0.0444883574033156,0.28897241223603487,0.1498651212081313,0.21403985088691116,0.08733668783679605,0.18035812377929689,0.125,0.028202130482532083,0.011826842633308843,0.023700429208111017,1.3420053109526635,0.015564847240845364,,,,
123,C1,0.1,32,0,2000,phase22_reused,0.8377632051706314,1.2845385372638702,0.8935506492853165,0.8508362427353859,0.90778878480196,0.2531775118783116,0.3751612361520529,0.24396744631230832,0.2531775118783116,0.3751612361520529,0.24396744631230832,0.27832360584288834,0.4003073308616877,0.24396744631230832,0.36008775848895314,0.34905072171241047,0.5772227134555579,0.288729296810925,0.36008775848895314,0.34905072171241047,0.5772227134555579,0.288729296810925,0.38478532526642084,0.3741769211366773,0.6024032421410084,0.3169536410830915,0.8591203995048999,1.284538523852825,0.8508362427353859,0.2531775118783116,0.27832360584288834,1.0993219886632863,0.025146093964576732,0.36008775848895314,0.38478532526642084,1.068587632306932,0.024697566777467705,0.3751612320542336,0.24396743904799223,0.2531775128096342,0.12282455088570714,0.12490221885964274,0.1553695340640843,0.04243421272840351,0.020707564271287993,0.04181745048845187,1.308118575811386,0.35608089752495287,0.13422476444393397,0.2889685150235891,0.09413850614801049,0.09587707977043465,0.1914197158999741,0.03715161276049912,0.02102348362095654,0.040437974384985864,0.6507511802017689,0.6734771519899369,0.31401260420680044,0.5314889635890723,0.0,0.006471416627755388,0.11524371644482016,0.02258380667772144,0.053584704524837434,0.2879781162366271,0.12567013623192907,0.22514304714277386,0.07444480080157519,0.2105499267578125,0.12499999990686775,0.03413671925663948,0.019646153261419386,0.04028801309177652,1.308118575811386,0.018511677781740826,0.013630368851875055,0.022301975555196286,0.24699901862160903,0.3666270359220297
123,C1,0.1,64,0,2000,phase22_reused,0.8161009013652801,1.3009636044502257,0.9697253942489624,0.9325375132262707,0.9821213545898597,0.2466891162097454,0.3776547510176897,0.2619312696158886,0.2466891162097454,0.3776547510176897,0.2619312696158886,0.270664319396019,0.4016299545764923,0.2619312696158886,0.36008775848895314,0.34905072171241047,0.5772227134555579,0.288729296810925,0.36008775848895314,0.34905072171241047,0.5772227134555579,0.288729296810925,0.38478532526642084,0.3741769211366773,0.6024032421410084,0.3169536410830915,0.8346948474645615,1.300963607430458,0.9325375132262707,0.2466891162097454,0.270664319396019,1.097187924439637,0.02397520318627358,0.36008775848895314,0.38478532526642084,1.068587632306932,0.024697566777467705,0.3776547446846962,0.26193126402795314,0.2466891136020422,0.13247526986524463,0.11736462088301777,0.15804491322487593,0.042279229243285955,0.020842231274582446,0.04190693845739588,1.3324442848563194,0.35782545134425164,0.14053067853674292,0.2875601124018431,0.09922759905457497,0.09167246974539012,0.19452455807477237,0.036214647651650014,0.021047085913596674,0.04009872707538307,0.6593782715499401,0.7318336986005306,0.2934614222496748,0.5804146021604538,0.0,0.01662734766068752,0.12162067461758852,0.022740118857473134,0.05383797294925898,0.2890352390706539,0.14119811737909913,0.21843617912381888,0.08282984085381032,0.19487857818603516,0.12499999990686775,0.03381496500223875,0.0199836557963863,0.04112935826415196,1.3324442848563194,0.01764127817004919,,,,
