seed,arm,lambda_group,K,bank,step,origin,permutation_seed,session_id,correct,shuffled,gap
123,C0,0,32,0,2000,phase22_reused,22101,session0,0.22437310963869095,0.2962835766375065,0.07191046699881554
123,C0,0,32,0,2000,phase22_reused,22101,session1,0.24563032388687134,0.2758534401655197,0.030223116278648376
123,C0,0,32,0,2000,phase22_reused,22101,session10,0.21725354716181755,0.2379348836839199,0.020681336522102356
123,C0,0,32,0,2000,phase22_reused,22101,session11,0.2534446194767952,0.3019748032093048,0.04853018373250961
123,C0,0,32,0,2000,phase22_reused,22101,session12,0.23146169632673264,0.24737532064318657,0.015913624316453934
123,C0,0,32,0,2000,phase22_reused,22101,session13,0.2228093445301056,0.24252791330218315,0.01971856877207756
123,C0,0,32,0,2000,phase22_reused,22101,session14,0.2594333216547966,0.2726762965321541,0.013242974877357483
123,C0,0,32,0,2000,phase22_reused,22101,session15,0.2340715043246746,0.23163382709026337,-0.0024376772344112396
123,C0,0,32,0,2000,phase22_reused,22101,session16,0.2761063240468502,0.29084134101867676,0.014735016971826553
123,C0,0,32,0,2000,phase22_reused,22101,session17,0.28644201532006264,0.3239521197974682,0.03751010447740555
123,C0,0,32,0,2000,phase22_reused,22101,session18,0.22221886739134789,0.2601988799870014,0.037980012595653534
123,C0,0,32,0,2000,phase22_reused,22101,session19,0.2623895853757858,0.26115311682224274,-0.0012364685535430908
123,C0,0,32,0,2000,phase22_reused,22101,session2,0.2654823549091816,0.28034787997603416,0.01486552506685257
123,C0,0,32,0,2000,phase22_reused,22101,session21,0.24693641066551208,0.26814527437090874,0.021208863705396652
123,C0,0,32,0,2000,phase22_reused,22101,session3,0.2833639904856682,0.29195960611104965,0.00859561562538147
123,C0,0,32,0,2000,phase22_reused,22101,session4,0.23341567441821098,0.23752964660525322,0.004113972187042236
123,C0,0,32,0,2000,phase22_reused,22101,session5,0.2106560505926609,0.19996904209256172,-0.010687008500099182
123,C0,0,32,0,2000,phase22_reused,22101,session6,0.21555861085653305,0.2210603505373001,0.005501739680767059
123,C0,0,32,0,2000,phase22_reused,22101,session7,0.2040979377925396,0.22348899021744728,0.019391052424907684
123,C0,0,32,0,2000,phase22_reused,22101,session9,0.25891970098018646,0.27904871851205826,0.020129017531871796
123,C0,0,32,0,2000,phase22_reused,22102,session0,0.22437310963869095,0.23778194934129715,0.013408839702606201
123,C0,0,32,0,2000,phase22_reused,22102,session1,0.24563032388687134,0.27044056355953217,0.024810239672660828
123,C0,0,32,0,2000,phase22_reused,22102,session10,0.21725354716181755,0.22605711966753006,0.00880357250571251
123,C0,0,32,0,2000,phase22_reused,22102,session11,0.2534446194767952,0.27767014876008034,0.02422552928328514
123,C0,0,32,0,2000,phase22_reused,22102,session12,0.23146169632673264,0.23812048137187958,0.006658785045146942
123,C0,0,32,0,2000,phase22_reused,22102,session13,0.2228093445301056,0.22432518377900124,0.0015158392488956451
123,C0,0,32,0,2000,phase22_reused,22102,session14,0.2594333216547966,0.26927434280514717,0.00984102115035057
123,C0,0,32,0,2000,phase22_reused,22102,session15,0.2340715043246746,0.23284488916397095,-0.001226615160703659
123,C0,0,32,0,2000,phase22_reused,22102,session16,0.2761063240468502,0.2962714657187462,0.02016514167189598
123,C0,0,32,0,2000,phase22_reused,22102,session17,0.28644201532006264,0.3006399944424629,0.014197979122400284
123,C0,0,32,0,2000,phase22_reused,22102,session18,0.22221886739134789,0.24121852219104767,0.018999654799699783
123,C0,0,32,0,2000,phase22_reused,22102,session19,0.2623895853757858,0.26169976592063904,-0.0006898194551467896
123,C0,0,32,0,2000,phase22_reused,22102,session2,0.2654823549091816,0.2670074589550495,0.00152510404586792
123,C0,0,32,0,2000,phase22_reused,22102,session21,0.24693641066551208,0.25888970494270325,0.011953294277191162
123,C0,0,32,0,2000,phase22_reused,22102,session3,0.2833639904856682,0.2969191372394562,0.013555146753787994
123,C0,0,32,0,2000,phase22_reused,22102,session4,0.23341567441821098,0.23752964660525322,0.004113972187042236
123,C0,0,32,0,2000,phase22_reused,22102,session5,0.2106560505926609,0.20082833245396614,-0.009827718138694763
123,C0,0,32,0,2000,phase22_reused,22102,session6,0.21555861085653305,0.2099335715174675,-0.005625039339065552
123,C0,0,32,0,2000,phase22_reused,22102,session7,0.2040979377925396,0.22075558453798294,0.016657646745443344
123,C0,0,32,0,2000,phase22_reused,22102,session9,0.25891970098018646,0.27977366745471954,0.02085396647453308
123,C0,0,32,0,2000,phase22_reused,22103,session0,0.22437310963869095,0.24636273086071014,0.021989621222019196
123,C0,0,32,0,2000,phase22_reused,22103,session1,0.24563032388687134,0.27044056355953217,0.024810239672660828
123,C0,0,32,0,2000,phase22_reused,22103,session10,0.21725354716181755,0.22605711966753006,0.00880357250571251
123,C0,0,32,0,2000,phase22_reused,22103,session11,0.2534446194767952,0.3068482130765915,0.053403593599796295
123,C0,0,32,0,2000,phase22_reused,22103,session12,0.23146169632673264,0.24737532064318657,0.015913624316453934
123,C0,0,32,0,2000,phase22_reused,22103,session13,0.2228093445301056,0.24425750970840454,0.02144816517829895
123,C0,0,32,0,2000,phase22_reused,22103,session14,0.2594333216547966,0.2650912329554558,0.00565791130065918
123,C0,0,32,0,2000,phase22_reused,22103,session15,0.2340715043246746,0.23284488916397095,-0.001226615160703659
123,C0,0,32,0,2000,phase22_reused,22103,session16,0.2761063240468502,0.2787148728966713,0.0026085488498210907
123,C0,0,32,0,2000,phase22_reused,22103,session17,0.28644201532006264,0.3006399944424629,0.014197979122400284
123,C0,0,32,0,2000,phase22_reused,22103,session18,0.22221886739134789,0.2454259991645813,0.023207131773233414
123,C0,0,32,0,2000,phase22_reused,22103,session19,0.2623895853757858,0.2772853150963783,0.014895729720592499
123,C0,0,32,0,2000,phase22_reused,22103,session2,0.2654823549091816,0.2581561617553234,-0.007326193153858185
123,C0,0,32,0,2000,phase22_reused,22103,session21,0.24693641066551208,0.25499945133924484,0.008063040673732758
123,C0,0,32,0,2000,phase22_reused,22103,session3,0.2833639904856682,0.29195960611104965,0.00859561562538147
123,C0,0,32,0,2000,phase22_reused,22103,session4,0.23341567441821098,0.23001285642385483,-0.0034028179943561554
123,C0,0,32,0,2000,phase22_reused,22103,session5,0.2106560505926609,0.2230273149907589,0.012371264398097992
123,C0,0,32,0,2000,phase22_reused,22103,session6,0.21555861085653305,0.2099335715174675,-0.005625039339065552
123,C0,0,32,0,2000,phase22_reused,22103,session7,0.2040979377925396,0.22201283648610115,0.017914898693561554
123,C0,0,32,0,2000,phase22_reused,22103,session9,0.25891970098018646,0.27977366745471954,0.02085396647453308
123,C0,0,64,0,2000,phase22_reused,22101,session0,0.22927533835172653,0.29829028248786926,0.06901494413614273
123,C0,0,64,0,2000,phase22_reused,22101,session1,0.2546839490532875,0.2833178900182247,0.02863394096493721
123,C0,0,64,0,2000,phase22_reused,22101,session10,0.21687425300478935,0.23733770847320557,0.020463455468416214
123,C0,0,64,0,2000,phase22_reused,22101,session11,0.2522934228181839,0.30014047026634216,0.047847047448158264
123,C0,0,64,0,2000,phase22_reused,22101,session12,0.23169239610433578,0.24695535749197006,0.015262961387634277
123,C0,0,64,0,2000,phase22_reused,22101,session13,0.220177561044693,0.24030939862132072,0.02013183757662773
