seed,K,lambda_group,contrast,metric,mean,session_bootstrap_low,session_bootstrap_high,unit,scope
123,64,0.1,C2-C1,shuffle_gap,-0.0004553340064982576,-0.001732932963253309,0.0008095695730298754,20 session labels; unknown cross-session participant dependence,"conditional on trained seed, fixed Development80, 2 banks, 3 fixed permutations"
123,64,0.1,C2-C0,conditional,-0.00019596461206674575,-0.0025354061764664947,0.00224249393446371,20 session labels; unknown cross-session participant dependence,"conditional on trained seed, fixed Development80, 2 banks, 3 fixed permutations"
123,64,0.1,C2-C0,marginal,-0.14706076681613922,-0.18168280120939018,-0.11336119931191206,20 session labels; unknown cross-session participant dependence,"conditional on trained seed, fixed Development80, 2 banks, 3 fixed permutations"
123,64,0.1,C2-C0,shuffle_gap,0.0035719468258321287,0.001905958220207442,0.005224902120729287,20 session labels; unknown cross-session participant dependence,"conditional on trained seed, fixed Development80, 2 banks, 3 fixed permutations"
123,64,0.3,C2-C1,conditional,-0.02086047288030386,-0.023294723096769304,-0.01834032492944971,20 session labels; unknown cross-session participant dependence,"conditional on trained seed, fixed Development80, 2 banks, 3 fixed permutations"
123,64,0.3,C2-C1,marginal,-0.0763132020831108,-0.08175375897437334,-0.07102309118956328,20 session labels; unknown cross-session participant dependence,"conditional on trained seed, fixed Development80, 2 banks, 3 fixed permutations"
123,64,0.3,C2-C1,shuffle_gap,0.0039562310092151175,0.001411679084412754,0.006552221656311303,20 session labels; unknown cross-session participant dependence,"conditional on trained seed, fixed Development80, 2 banks, 3 fixed permutations"
123,64,0.3,C2-C0,conditional,0.0004950270988047123,-0.0021056614792905747,0.002813535847235471,20 session labels; unknown cross-session participant dependence,"conditional on trained seed, fixed Development80, 2 banks, 3 fixed permutations"
123,64,0.3,C2-C0,marginal,-0.17239271700382233,-0.2040196307376027,-0.1420638782158494,20 session labels; unknown cross-session participant dependence,"conditional on trained seed, fixed Development80, 2 banks, 3 fixed permutations"
123,64,0.3,C2-C0,shuffle_gap,0.006419789077093204,0.0033961771389779947,0.009566666364359357,20 session labels; unknown cross-session participant dependence,"conditional on trained seed, fixed Development80, 2 banks, 3 fixed permutations"
42,32,0.03,C2-C1,conditional,-0.004295161832123995,-0.006028665814083069,-0.0026632079808041457,20 session labels; unknown cross-session participant dependence,"conditional on trained seed, fixed Development80, 2 banks, 3 fixed permutations"
42,32,0.03,C2-C1,marginal,-0.018830183148384094,-0.02320318304002285,-0.014765781238675118,20 session labels; unknown cross-session participant dependence,"conditional on trained seed, fixed Development80, 2 banks, 3 fixed permutations"
42,32,0.03,C2-C1,shuffle_gap,0.00073904696231087,-0.0004262033888759715,0.0020179392723366613,20 session labels; unknown cross-session participant dependence,"conditional on trained seed, fixed Development80, 2 banks, 3 fixed permutations"
42,32,0.03,C2-C0,conditional,0.0008779042400419712,-0.0011628859164193274,0.0029467642074450847,20 session labels; unknown cross-session participant dependence,"conditional on trained seed, fixed Development80, 2 banks, 3 fixed permutations"
42,32,0.03,C2-C0,marginal,-0.1010761633515358,-0.14385166455060244,-0.06124239202588797,20 session labels; unknown cross-session participant dependence,"conditional on trained seed, fixed Development80, 2 banks, 3 fixed permutations"
42,32,0.03,C2-C0,shuffle_gap,-0.0005004685992995901,-0.002636232946533711,0.001616858703394731,20 session labels; unknown cross-session participant dependence,"conditional on trained seed, fixed Development80, 2 banks, 3 fixed permutations"
42,32,0.1,C2-C1,conditional,0.0020174851641058924,0.00010539643000811342,0.003848305132705718,20 session labels; unknown cross-session participant dependence,"conditional on trained seed, fixed Development80, 2 banks, 3 fixed permutations"
