seed,arm,lambda_group,K,bank,step,origin,clip_id,session_id,conditional_loss,conditional_cross_distance,conditional_self_distance,conditional_correct_common_loss,conditional_correct_common_cross_distance,conditional_correct_common_self_distance,conditional_shuffled_loss,conditional_shuffled_cross_distance,conditional_shuffled_self_distance,diversity_overall_cross_distance,diversity_overall_self_distance,diversity_overall_ES,diversity_overall_prediction_std,diversity_overall_boundary_fraction,diversity_overall_temporal_mean,diversity_overall_temporal_std,diversity_overall_velocity_abs_mean,diversity_overall_velocity_rms,diversity_overall_expression_entropy,diversity_AU_cross_distance,diversity_AU_self_distance,diversity_AU_ES,diversity_AU_prediction_std,diversity_AU_boundary_fraction,diversity_AU_temporal_mean,diversity_AU_temporal_std,diversity_AU_velocity_abs_mean,diversity_AU_velocity_rms,diversity_VA_cross_distance,diversity_VA_self_distance,diversity_VA_ES,diversity_VA_prediction_std,diversity_VA_boundary_fraction,diversity_VA_temporal_mean,diversity_VA_temporal_std,diversity_VA_velocity_abs_mean,diversity_VA_velocity_rms,diversity_expression_cross_distance,diversity_expression_self_distance,diversity_expression_ES,diversity_expression_prediction_std,diversity_expression_boundary_fraction,diversity_expression_temporal_mean,diversity_expression_temporal_std,diversity_expression_velocity_abs_mean,diversity_expression_velocity_rms,diversity_expression_expression_entropy
123,C0,0,32,0,2000,phase22_reused,speaker/session0/Camera-2024-10-17-143648-143743,session0,0.23706026375293732,0.3845357298851013,0.294950932264328,0.23706026375293732,0.3845357298851013,0.294950932264328,0.22538472712039948,0.36757054924964905,0.28437164425849915,0.3845357596874237,0.2949509024620056,0.2370603084564209,0.14543722569942474,0.060546875,0.1883896142244339,0.04836365580558777,0.006445871200412512,0.02204272337257862,1.266606330871582,0.35087329149246216,0.1572706550359726,0.27223795652389526,0.10299951583147049,0.0005371093866415322,0.24348889291286469,0.03327484801411629,0.005359172821044922,0.012540063820779324,0.6962889432907104,0.8655853867530823,0.2634962499141693,0.6593577265739441,0.0,0.028703905642032623,0.221237912774086,0.021594729274511337,0.06577880680561066,0.3080483078956604,0.1722022294998169,0.22194719314575195,0.09652784466743469,0.188201904296875,0.125,0.0334366150200367,0.004696215037256479,0.011908715590834618,1.266606330871582
123,C0,0,32,0,2000,phase22_reused,speaker/session0/Camera-2024-10-21-144916-144926,session0,0.19645892083644867,0.33864474296569824,0.28437164425849915,0.19645892083644867,0.33864474296569824,0.28437164425849915,0.27122974395751953,0.42317214608192444,0.3038848340511322,0.338644802570343,0.28437164425849915,0.19645898044109344,0.13842809200286865,0.11989257484674454,0.15077200531959534,0.05542217940092087,0.019814511761069298,0.06047162041068077,1.4514024257659912,0.28780075907707214,0.14470550417900085,0.21544800698757172,0.09154927730560303,0.11196289956569672,0.17910224199295044,0.0404464490711689,0.01620517298579216,0.0355498231947422,0.6783123016357422,0.8549985885620117,0.25081300735473633,0.6549392938613892,0.0,0.04138341173529625,0.21607694029808044,0.06133822724223137,0.17392653226852417,0.29328453540802,0.15625551342964172,0.21515677869319916,0.09719809889793396,0.16473388671875,0.125,0.04333799332380295,0.016201090067625046,0.03866957873106003,1.4514024257659912
123,C0,0,32,0,2000,phase22_reused,speaker/session0/Camera-2024-10-18-154049-154118,session0,0.24934281408786774,0.40128523111343384,0.3038848340511322,0.24934281408786774,0.40128523111343384,0.3038848340511322,0.4077443480491638,0.5486836433410645,0.28187862038612366,0.40128523111343384,0.303884893655777,0.24934278428554535,0.1491444706916809,0.07036132365465164,0.19676852226257324,0.06568140536546707,0.01228189468383789,0.040868714451789856,1.2870149612426758,0.345456600189209,0.16983860731124878,0.2605372965335846,0.10815511643886566,0.00901692733168602,0.2566511929035187,0.04953856021165848,0.009980504401028156,0.02279743365943432,0.8876285552978516,0.8967405557632446,0.43925827741622925,0.6744896173477173,0.0,0.03472285717725754,0.27233344316482544,0.04188910499215126,0.12154721468687057,0.2732257843017578,0.16962280869483948,0.18841437995433807,0.09466323256492615,0.202972412109375,0.125,0.04428624361753464,0.009195196442306042,0.023486722260713577,1.2870149612426758
123,C0,0,32,0,2000,phase22_reused,speaker/session0/Camera-2024-10-17-151556-151626,session0,0.21463043987751007,0.3555697500705719,0.28187862038612366,0.21463043987751007,0.3555697500705719,0.28187862038612366,0.2807754874229431,0.4282509386539459,0.294950932264328,0.3555697202682495,0.28187862038612366,0.21463041007518768,0.1315058469772339,0.0912792980670929,0.12835067510604858,0.05308593809604645,0.015327155590057373,0.047664109617471695,1.3668423891067505,0.3154986500740051,0.1401161253452301,0.24544058740139008,0.08508352190256119,0.07537434995174408,0.1522599309682846,0.03529521822929382,0.011802727356553078,0.025614941492676735,0.6683765649795532,0.8605160713195801,0.23811852931976318,0.6510002613067627,0.0,-0.03756614401936531,0.249015212059021,0.05163192376494408,0.1420561671257019,0.29627203941345215,0.14228326082229614,0.22513040900230408,0.0886741429567337,0.1439208984375,0.125,0.03746122121810913,0.012859267182648182,0.028711719438433647,1.3668423891067505
123,C0,0,32,0,2000,phase22_reused,speaker/session1/Camera-2024-10-17-151556-151626,session1,0.26685523986816406,0.40546756982803345,0.2772246301174164,0.26685523986816406,0.40546756982803345,0.2772246301174164,0.25080186128616333,0.397541880607605,0.2934800684452057,0.40546759963035583,0.2772245705127716,0.26685529947280884,0.12757442891597748,0.09014648199081421,0.1198173314332962,0.05072418227791786,0.009858853183686733,0.033649250864982605,1.374525785446167,0.4000454843044281,0.12383212149143219,0.3381294310092926,0.07852236926555634,0.0702311247587204,0.13814860582351685,0.03095652349293232,0.007106488570570946,0.01563449390232563,0.6680957674980164,0.8650450706481934,0.23557323217391968,0.6533899307250977,0.0,-0.03839769586920738,0.24356134235858917,0.03857196122407913,0.10492528975009918,0.31179195642471313,0.13994017243385315,0.24182187020778656,0.08809318393468857,0.1500244140625,0.125,0.039579249918460846,0.007841258309781551,0.018102526664733887,1.374525785446167
123,C0,0,32,0,2000,phase22_reused,speaker/session1/Camera-2024-10-18-162224-162332,session1,0.21875213086605072,0.3704661726951599,0.3034280836582184,0.21875213086605072,0.3704661726951599,0.3034280836582184,0.23840123414993286,0.38885825872421265,0.30091404914855957,0.3704661726951599,0.3034280240535736,0.2187521606683731,0.14761382341384888,0.08410155773162842,0.2002669870853424,0.05963783711194992,0.014535251073539257,0.047524821013212204,1.250772476196289,0.33589088916778564,0.1686955988407135,0.2515431046485901,0.10669171810150146,0.02516276203095913,0.25705912709236145,0.04594097286462784,0.012195931747555733,0.025998663157224655,0.7943683862686157,0.8984235525131226,0.34515661001205444,0.6817663908004761,0.0,0.07539387047290802,0.24519731104373932,0.049348779022693634,0.14309102296829224,0.23622873425483704,0.16251064836978912,0.15497341752052307,0.09080465137958527,0.21563720703125,0.125,0.038929589092731476,0.010218091309070587,0.025923386216163635,1.250772476196289
123,C0,0,32,0,2000,phase22_reused,speaker/session1/Camera-2024-07-15-110902-110933,session1,0.23202945291996002,0.37876948714256287,0.2934800684452057,0.23202945291996002,0.37876948714256287,0.2934800684452057,0.2511909008026123,0.4029049277305603,0.3034280836582184,0.3787694573402405,0.2934800684452057,0.23202942311763763,0.1431494653224945,0.1091015636920929,0.16677623987197876,0.0701477900147438,0.014853578060865402,0.04611034318804741,1.4621273279190063,0.34543174505233765,0.15730762481689453,0.2667779326438904,0.1007942259311676,0.08631185442209244,0.207937091588974,0.052680570632219315,0.012412981130182743,0.027724605053663254,0.7283536195755005,0.8867930769920349,0.28495708107948303,0.6695599555969238,0.0,0.025174850597977638,0.28917938470840454,0.045576341450214386,0.13317953050136566,0.2886860966682434,0.1484166979789734,0.2144777476787567,0.09096293151378632,0.179107666015625,0.125,0.04814092442393303,0.01174900308251381,0.02772795967757702,1.4621273279190063
123,C0,0,32,0,2000,phase22_reused,speaker/session1/Camera-2024-10-21-153924-153959,session1,0.26488447189331055,0.41534149646759033,0.30091404914855957,0.26488447189331055,0.41534149646759033,0.30091404914855957,0.36301976442337036,0.5016320943832397,0.2772246301174164,0.4153415560722351,0.30091407895088196,0.2648845314979553,0.1482752114534378,0.06600585579872131,0.19436952471733093,0.05557313933968544,0.013983580283820629,0.04524320736527443,1.269757628440857,0.40871548652648926,0.16465777158737183,0.32638660073280334,0.10600987076759338,0.005159505642950535,0.2525116205215454,0.04359649121761322,0.011998215690255165,0.026132727041840553,0.7371082901954651,0.8839353322982788,0.2951406240463257,0.6740096211433411,0.0,0.03578212112188339,0.22043690085411072,0.044732868671417236,0.13422119617462158,0.28746089339256287,0.17233127355575562,0.20129525661468506,0.09608913213014603,0.19659423828125,0.125,0.036813389509916306,0.010018809698522091,0.024746837094426155,1.269757628440857
123,C0,0,32,0,2000,phase22_reused,speaker/session10/Camera-2024-10-23-151539-151613,session10,0.18660560250282288,0.32967010140419006,0.2861289978027344,0.18660560250282288,0.32967010140419006,0.2861289978027344,0.19964231550693512,0.3420189321041107,0.2847532331943512,0.3296700716018677,0.2861289978027344,0.1866055727005005,0.13443592190742493,0.08207031339406967,0.13957367837429047,0.04743160679936409,0.005158100742846727,0.01680680736899376,1.5531967878341675,0.2781623303890228,0.12995561957359314,0.21318452060222626,0.08398878574371338,0.08486328274011612,0.1619003415107727,0.028405632823705673,0.0037769728805869818,0.007481907028704882,0.6920328140258789,0.8877013325691223,0.24818214774131775,0.6738660335540771,0.0,0.03041873127222061,0.22564572095870972,0.018314627930521965,0.05292133986949921,0.271769642829895,0.14858980476856232,0.19747474789619446,0.09416676312685013,0.09735107421875,0.125,0.038551777601242065,0.004458585288375616,0.008808376267552376,1.5531967878341675
123,C0,0,32,0,2000,phase22_reused,speaker/session10/Camera-2024-07-11-134401-134311,session10,0.251728355884552,0.39729827642440796,0.2911398708820343,0.251728355884552,0.39729827642440796,0.2911398708820343,0.2982623279094696,0.4293811023235321,0.262237548828125,0.39729827642440796,0.2911399006843567,0.2517283260822296,0.13516272604465485,0.0986035168170929,0.1297258883714676,0.041072454303503036,0.004802795127034187,0.015219507738947868,1.3970286846160889,0.35880497097969055,0.13403701782226562,0.29178646206855774,0.08498478680849075,0.09316406399011612,0.1532631367444992,0.024433894082903862,0.0037049411330372095,0.007460984401404858,0.7255486249923706,0.9042056798934937,0.2734457850456238,0.688729465007782,0.0,-0.027899792417883873,0.19574619829654694,0.015191033482551575,0.04664858803153038,0.3310008943080902,0.14153850078582764,0.2602316439151764,0.09085473418235779,0.133453369140625,0.125,0.03360133618116379,0.004264211282134056,0.008686627261340618,1.3970286846160889
