arm,step,index,session,FRC,single_FRC,generated_side_mean,target_side_mean,one_to_one_mean
C1,500,0,session0,0.3498412169779457,0.2105377531275219,0.034984121697794565,-0.002243322134388518,-0.006425637313063261
C1,500,1,session0,0.603623597285822,0.603623597285822,0.060362359728582206,0.012059223304398247,0.011509375857925594
C1,500,2,session0,0.7816285422733614,0.5860208725156386,0.07816285422733614,0.025734072000288304,0.02461839755846241
C1,500,3,session0,0.28888524810846405,0.2881507460467554,0.028888524810846406,0.009169731421864502,0.008538765167465528
C1,500,4,session1,1.0184871663697912,1.006367269985261,0.10184871663697911,0.0550285574999308,0.05346658426149502
C1,500,5,session1,0.5943217320040047,0.5943217320040047,0.05943217320040047,0.03310431820848205,0.03222511811131096
C1,500,6,session1,0.7019019910290059,0.7019019910290059,0.07019019910290059,0.03232319309723487,0.031159062339535182
C1,500,7,session1,0.7184008479875326,0.26530061337753263,0.07184008479875326,0.031182880113259436,0.030875661860618814
C1,500,8,session10,0.6790517688158826,0.45537191860359877,0.06790517688158826,0.04384888766359151,0.041082565534123906
C1,500,9,session10,0.5333081059477842,-0.03283814810403669,0.05333081059477842,0.021815765713221955,0.020541100624506516
C1,500,10,session10,0.6102808563649567,0.3282278623035463,0.061028085636495664,0.03382461491001898,0.032988652496156026
C1,500,11,session10,0.7135620822015987,0.6521685710809755,0.07135620822015987,0.03998760731896852,0.03681293700970357
C1,500,12,session11,0.7496567014111695,0.7496567014111695,0.07496567014111695,0.025483689285683474,0.024696075074735358
C1,500,13,session11,0.2474535024469624,0.08139138658703475,0.02474535024469624,0.018218924699085388,0.01655368642008447
C1,500,14,session11,0.2802585047686106,0.2506119105532328,0.02802585047686106,0.015240372370774255,0.014257926904797985
C1,500,15,session11,0.5587960760132566,0.5587960760132566,0.05587960760132567,0.018803890399315966,0.016845483437851375
C1,500,16,session12,0.33146009792344566,0.2542704575691197,0.03314600979234457,0.02507776571785384,0.023479127074662397
C1,500,17,session12,0.8920492360701566,0.8920492360701566,0.08920492360701567,0.03230141573735945,0.03165792445637089
C1,500,18,session12,0.3741348740797421,0.3723662356062503,0.03741348740797421,0.023105780989984,0.022151720462042855
C1,500,19,session12,0.4692590311301837,0.46175530175647,0.04692590311301837,0.03182394066752751,0.030846217926053153
C1,500,20,session13,0.5620137722713875,0.5620137722713875,0.05620137722713875,0.025617580726687406,0.02375262722687003
C1,500,21,session13,0.5728086338643471,0.5665743791844895,0.05728086338643471,0.027635457674221965,0.026869060772185
C1,500,22,session13,0.4471519237432656,0.26419551914828276,0.044715192374326564,0.021930224219222246,0.01992043971471366
C1,500,23,session13,0.6077578264009271,0.5916193123679735,0.060775782640092715,0.030884796149913584,0.028721980377858874
C1,500,24,session14,1.1281984214141092,0.2189238743103216,0.11281984214141091,0.03624383450025619,0.034488415159346156
