arm,step,conditional_norm,group_norm,weighted_group_norm,ratio,cosine,finite
C0,1,1.1542610751511386,0.0,0.0,0.0,,True
C0,100,1.0532426768966916,0.0,0.0,0.0,,True
C0,200,0.8175794138526797,0.0,0.0,0.0,,True
C0,300,0.4468695596661714,0.0,0.0,0.0,,True
C0,400,0.49933533886264064,0.0,0.0,0.0,,True
C0,500,0.3346890503328008,0.0,0.0,0.0,,True
C0,600,0.459418918306261,0.0,0.0,0.0,,True
C0,700,0.4129978618373427,0.0,0.0,0.0,,True
C0,800,0.378720770501315,0.0,0.0,0.0,,True
C0,900,0.3752531888527934,0.0,0.0,0.0,,True
C0,1000,0.4889248122142993,0.0,0.0,0.0,,True
C0,1100,0.40877336081366106,0.0,0.0,0.0,,True
C0,1200,0.3060262047203803,0.0,0.0,0.0,,True
C0,1300,0.2005863858512161,0.0,0.0,0.0,,True
C0,1400,0.33758103725904,0.0,0.0,0.0,,True
C0,1500,0.2400557591735707,0.0,0.0,0.0,,True
C0,1600,0.3992871807812199,0.0,0.0,0.0,,True
C0,1700,0.46881163285102734,0.0,0.0,0.0,,True
C0,1800,0.3179375378141309,0.0,0.0,0.0,,True
C0,1900,0.3134223333361426,0.0,0.0,0.0,,True
C0,2000,0.4846361955050109,0.0,0.0,0.0,,True
C0,2100,0.32529412175671846,0.0,0.0,0.0,,True
C0,2200,0.37628871805719666,0.0,0.0,0.0,,True
C0,2300,0.3107511390981131,0.0,0.0,0.0,,True
C0,2400,0.44159434604090375,0.0,0.0,0.0,,True
C0,2500,0.3347938680762045,0.0,0.0,0.0,,True
C0,2600,0.292207378258215,0.0,0.0,0.0,,True
C0,2700,0.37951677399950623,0.0,0.0,0.0,,True
C0,2800,0.37409093396147935,0.0,0.0,0.0,,True
C0,2900,0.34611480372245435,0.0,0.0,0.0,,True
C0,3000,0.29920203008414714,0.0,0.0,0.0,,True
C0,3100,0.29402067471938137,0.0,0.0,0.0,,True
C0,3200,0.23178121747123703,0.0,0.0,0.0,,True
C0,3300,0.36554680206206086,0.0,0.0,0.0,,True
C0,3400,0.27958608460104534,0.0,0.0,0.0,,True
C0,3500,0.3191741916425949,0.0,0.0,0.0,,True
C0,3600,0.35745713555546815,0.0,0.0,0.0,,True
C0,3700,0.5310179553829093,0.0,0.0,0.0,,True
C0,3800,0.21813313821982766,0.0,0.0,0.0,,True
C0,3900,0.36501378818452906,0.0,0.0,0.0,,True
C0,4000,0.3213532279469426,0.0,0.0,0.0,,True
C0,4100,0.33822079909769454,0.0,0.0,0.0,,True
C0,4200,0.3171700127145758,0.0,0.0,0.0,,True
C0,4300,0.4087537686920403,0.0,0.0,0.0,,True
C0,4400,0.4131752350089375,0.0,0.0,0.0,,True
C0,4500,0.40156635089373416,0.0,0.0,0.0,,True
C0,4600,0.31398471392812444,0.0,0.0,0.0,,True
C0,4700,0.2901331334522293,0.0,0.0,0.0,,True
C0,4800,0.3546860298740995,0.0,0.0,0.0,,True
C0,4900,0.2711319291577218,0.0,0.0,0.0,,True
C0,5000,0.42566125109513564,0.0,0.0,0.0,,True
C0,5100,0.2991797216234162,0.0,0.0,0.0,,True
C0,5200,0.35372282686122525,0.0,0.0,0.0,,True
C0,5300,0.42485707614960144,0.0,0.0,0.0,,True
C0,5400,0.39596280679177254,0.0,0.0,0.0,,True
C0,5500,0.4032416982449161,0.0,0.0,0.0,,True
C0,5600,0.509039706904146,0.0,0.0,0.0,,True
C0,5700,0.3277628356479432,0.0,0.0,0.0,,True
C0,5800,0.36274415421415934,0.0,0.0,0.0,,True
C0,5900,0.34655312916908,0.0,0.0,0.0,,True
C0,6000,0.5797975739931055,0.0,0.0,0.0,,True
C1,1,1.1542610752748461,14.318289484850728,1.431828948485073,1.2404723499353334,0.032307473082693404,True
C1,100,1.0989350540713092,1.3132838429136906,0.13132838429136906,0.11950513709142928,0.04597613305631738,True
C1,200,1.0492568690799955,4.055583343905063,0.4055583343905063,0.38651958957019367,0.857888189393877,True
C1,300,0.35827370809195275,1.7111864513816726,0.17111864513816727,0.4776198790848722,0.5989547390445641,True
C1,400,0.629637813504005,3.4239905576802956,0.3423990557680296,0.5438031967339135,0.6397811094780428,True
C1,500,0.640593532160594,2.3789208481518362,0.23789208481518365,0.3713619836479166,0.675414565185397,True
C1,600,0.5106566309364128,2.0369149231798387,0.2036914923179839,0.39888151837853575,0.6791562034341323,True
C1,700,0.3473085274341231,2.6528296699740705,0.26528296699740705,0.763825089344302,0.4665187011500031,True
C1,800,0.6056189283054855,2.7684938764948663,0.27684938764948663,0.4571346348505122,0.7944341940443648,True
C1,900,0.5733132961193763,1.1035036085250693,0.11035036085250693,0.19247828647868928,0.5511500952289924,True
C1,1000,0.3956882843015198,1.8841947971851145,0.18841947971851147,0.47618159848001285,0.6511185677668948,True
C1,1100,0.39293550062668187,3.1073563719021924,0.31073563719021924,0.7908057090658279,0.6606335105283763,True
C1,1200,0.2128993688323489,1.6705465336921115,0.16705465336921116,0.7846648596725577,0.4475930334068028,True
C1,1300,0.21529857426939406,3.019438898542134,0.30194388985421344,1.4024425887577117,0.10866497069279125,True
C1,1400,0.30968906816883746,1.4252871601764583,0.14252871601764583,0.46023166675015303,0.35044680456417915,True
C1,1500,0.32959526268708483,1.3783238807525258,0.13783238807525258,0.4181867996267579,0.027417602311770498,True
C1,1600,0.25053392447838185,1.156721659982495,0.1156721659982495,0.4617026066992004,0.21571363243916764,True
C1,1700,0.5521707641453788,1.1105669783348069,0.1110566978334807,0.20112745013830727,0.557885834162155,True
C1,1800,0.4001042019604561,1.6900359659638626,0.16900359659638628,0.42239895449308373,0.24432351645089073,True
C1,1900,0.2971609420889724,1.6368861277723386,0.16368861277723387,0.5508416133915208,0.17683094680377293,True
C1,2000,0.4194152276785143,1.3221378273316382,0.13221378273316384,0.3152336253144031,0.5613935235729421,True
C1,2100,0.2969113854016637,1.5979907204842558,0.15979907204842558,0.5382045953955196,0.34088744195459425,True
C1,2200,0.32214232854711966,1.120745390855517,0.1120745390855517,0.34790379640891744,0.2893306185083211,True
