protocol,arm,step,source_occurrences,valid_source_frames,tensor_frames,training_wall_seconds,peak_bytes,full_K10_multitarget_FRC,full_K10_single_FRC
T128_old,C0,2000,8000,1023580,1024000,94.3896947799949,494416384,0.2401788097431333,0.13245947219696244
T750_new,C0,2000,8000,5720135,6000000,645.5479863159999,2516295680,0.45579845378150335,0.33022799451334983
T128_old,C1,2000,8000,1023580,1024000,103.87974932300858,530687488,0.2980054252348238,0.21274520188585888
T750_new,C1,2000,8000,5720135,6000000,988.1919511209999,2553561600,0.4721996515750595,0.3474606854273766
T128_old,C2,2000,8000,1023580,1024000,104.00852890097303,530686976,0.30353073682875126,0.20792769862737517
T750_new,C2,2000,8000,5720135,6000000,1012.7511433909822,2553561088,0.612682533169979,0.4336208978246299
