T,arm,step,bank,group,statistics
128,C0,2000,0,overall,"{""cross_distance"": 0.3843281105160713, ""self_distance"": 0.2818115482106805, ""ES"": 0.24342233557254075, ""prediction_std"": 0.13098781341686844, ""boundary_fraction"": 0.11978649669326842, ""temporal_mean"": 0.15192953376099466, ""temporal_std"": 0.054303703259211036, ""velocity_abs_mean"": 0.03170932062203065, ""velocity_rms"": 0.10476023545488715, ""expression_entropy"": 1.1531304329633714}"
128,C0,2000,0,AU,"{""cross_distance"": 0.35377703458070753, ""self_distance"": 0.1385063510388136, ""ES"": 0.2845238586887717, ""prediction_std"": 0.08700440037064254, ""boundary_fraction"": 0.07330220880103297, ""temporal_mean"": 0.19610357973724604, ""temporal_std"": 0.0377472732681781, ""velocity_abs_mean"": 0.020751779832062313, ""velocity_rms"": 0.050938421895261855}"
128,C0,2000,0,VA,"{""cross_distance"": 0.702151333540678, ""self_distance"": 0.856302548199892, ""ES"": 0.274000059440732, ""prediction_std"": 0.6492420136928558, ""boundary_fraction"": 0.0, ""temporal_mean"": -0.07165754731540801, ""temporal_std"": 0.254935160651803, ""velocity_abs_mean"": 0.15509815304540098, ""velocity_rms"": 0.3250145442783833}"
128,C0,2000,0,expression,"{""cross_distance"": 0.2952444567345083, ""self_distance"": 0.15400190288200974, ""ES"": 0.2182435051072389, ""prediction_std"": 0.08389318035915494, ""boundary_fraction"": 0.23689117431640624, ""temporal_mean"": 0.125, ""temporal_std"": 0.03518915031454526, ""velocity_abs_mean"": 0.021407500430359504, ""velocity_rms"": 0.05401665425742976, ""expression_entropy"": 1.1531304329633714}"
128,C0,2000,1,overall,"{""cross_distance"": 0.38512183874845507, ""self_distance"": 0.2828963501378894, ""ES"": 0.2436736635863781, ""prediction_std"": 0.1309973631054163, ""boundary_fraction"": 0.1214272439479828, ""temporal_mean"": 0.15542651070281863, ""temporal_std"": 0.05522685328032821, ""velocity_abs_mean"": 0.03259114222601056, ""velocity_rms"": 0.10665172438602895, ""expression_entropy"": 1.1457184873521329}"
128,C0,2000,1,AU,"{""cross_distance"": 0.35351436361670496, ""self_distance"": 0.13894929392263294, ""ES"": 0.2840397167950869, ""prediction_std"": 0.08568754652515054, ""boundary_fraction"": 0.07489583728602156, ""temporal_mean"": 0.19386887578293682, ""temporal_std"": 0.039534451672807336, ""velocity_abs_mean"": 0.022011789050884543, ""velocity_rms"": 0.05324222402414307}"
128,C0,2000,1,VA,"{""cross_distance"": 0.7072196185588837, ""self_distance"": 0.8607852354645729, ""ES"": 0.2768270008265972, ""prediction_std"": 0.6585617445409297, ""boundary_fraction"": 0.0, ""temporal_mean"": -0.011185056687099858, ""temporal_std"": 0.25399335687980057, ""velocity_abs_mean"": 0.15653398612048477, ""velocity_rms"": 0.3299946774728596}"
128,C0,2000,1,expression,"{""cross_distance"": 0.29606074560433626, ""self_distance"": 0.15403520418331026, ""ES"": 0.21904314276762307, ""prediction_std"": 0.08406219175085425, ""boundary_fraction"": 0.23903045654296876, ""temporal_mean"": 0.12499999990686775, ""temporal_std"": 0.03495848749298602, ""velocity_abs_mean"": 0.021441717207198962, ""velocity_rms"": 0.05388414927292615, ""expression_entropy"": 1.1457184873521329}"
750,C0,2000,0,overall,"{""cross_distance"": 0.38799628987908363, ""self_distance"": 0.2893467886373401, ""ES"": 0.2433228947222233, ""prediction_std"": 0.1325157405808568, ""boundary_fraction"": 0.11766244685277343, ""temporal_mean"": 0.14751210855320096, ""temporal_std"": 0.07847648542374372, ""velocity_abs_mean"": 0.03173143924213946, ""velocity_rms"": 0.10828855668660253, ""expression_entropy"": 1.2426571056246758}"
750,C0,2000,0,AU,"{""cross_distance"": 0.3602010138332844, ""self_distance"": 0.14577925251796842, ""ES"": 0.28731138706207277, ""prediction_std"": 0.08890356090851129, ""boundary_fraction"": 0.07865473011042923, ""temporal_mean"": 0.18410588381811976, ""temporal_std"": 0.05554674745071679, ""velocity_abs_mean"": 0.020949984714388848, ""velocity_rms"": 0.052633956726640466}"
750,C0,2000,0,VA,"{""cross_distance"": 0.71461381316185, ""self_distance"": 0.8799036793410778, ""ES"": 0.27466197349131105, ""prediction_std"": 0.6488423883914948, ""boundary_fraction"": 0.0, ""temporal_mean"": -0.03689274701246177, ""temporal_std"": 0.3578984756022692, ""velocity_abs_mean"": 0.15029011932201683, ""velocity_rms"": 0.3348802249878645}"
750,C0,2000,0,expression,"{""cross_distance"": 0.30099278278648856, ""self_distance"": 0.15750685511156917, ""ES"": 0.22223935555666685, ""prediction_std"": 0.08520691739395261, ""boundary_fraction"": 0.22021752838045358, ""temporal_mean"": 0.125, ""temporal_std"": 0.051614256110042334, ""velocity_abs_mean"": 0.022306999130523763, ""velocity_rms"": 0.05784234806196764, ""expression_entropy"": 1.2426571056246758}"
750,C0,2000,1,overall,"{""cross_distance"": 0.3885976321995258, ""self_distance"": 0.289487012848258, ""ES"": 0.24385412447154522, ""prediction_std"": 0.13236957155168055, ""boundary_fraction"": 0.12014162195846438, ""temporal_mean"": 0.15050855604931712, ""temporal_std"": 0.0798581647220999, ""velocity_abs_mean"": 0.0333498275722377, ""velocity_rms"": 0.11251545124687254, ""expression_entropy"": 1.2312114492058754}"
750,C0,2000,1,AU,"{""cross_distance"": 0.35957548674196005, ""self_distance"": 0.1462325372733176, ""ES"": 0.28645921815186737, ""prediction_std"": 0.0877002918627113, ""boundary_fraction"": 0.08137887094635517, ""temporal_mean"": 0.1822064402513206, ""temporal_std"": 0.05858852686360479, ""velocity_abs_mean"": 0.022634357938659377, ""velocity_rms"": 0.05628438072744757}"
750,C0,2000,1,VA,"{""cross_distance"": 0.7192378595471383, ""self_distance"": 0.8807188183069229, ""ES"": 0.27887845039367676, ""prediction_std"": 0.6534606754779816, ""boundary_fraction"": 0.0, ""temporal_mean"": 0.014808651709608966, ""temporal_std"": 0.35484615452587603, ""velocity_abs_mean"": 0.15671829932834952, ""velocity_rms"": 0.34752859026193617}"
750,C0,2000,1,expression,"{""cross_distance"": 0.3019996276125312, ""self_distance"": 0.15812967298552394, ""ES"": 0.22293479051440954, ""prediction_std"": 0.08585169706493616, ""boundary_fraction"": 0.22285718359053136, ""temporal_mean"": 0.125, ""temporal_std"": 0.05099174869246781, ""velocity_abs_mean"": 0.022599219091353005, ""velocity_rms"": 0.05796554912813008, ""expression_entropy"": 1.2312114492058754}"
