T,arm,step,bank,K,conditional_ES,conditional_cross,conditional_self,group_ES,group_cross,group_self,correct_common_ES,shuffled_common_ES,shuffle_gap,within,between,seconds,peak_bytes
128,C0,1000,0,32,0.25284517612308266,0.3785051580518484,0.251319963671267,1.3801278054714203,2.3482387542724608,1.9362219095230102,0.25284517612308266,0.28763651438057425,0.03479133825749159,1.6458761014044285,2.033003845562537,3.6199547889991663,99110912
750,C0,1000,0,32,0.2545163258910179,0.38014708645641804,0.2512615216895938,1.757632288336754,2.697866278886795,1.8804680109024048,0.2551785308867693,0.2744008660316467,0.019222335144877423,1.7321408949792385,1.9299103828767936,8.468490678002127,373206016
128,C0,128,0,32,0.27847336158156394,0.348330351896584,0.13971398202702404,0.945407822728157,1.1801431983709336,0.46947074979543685,0.27847336158156394,0.2946833087131381,0.016209947131574143,0.40685659684240816,0.490342134113113,3.719108674034942,99110912
750,C0,128,0,32,0.28341951351612804,0.35462774205952885,0.1424164606258273,1.0956868559122086,1.3469998598098756,0.5026259943842888,0.2834597298875451,0.29085517320781945,0.007395443320274364,0.4715492706745863,0.5129849022875229,9.14578809501836,373206016
128,C0,2000,0,32,0.24342234265059232,0.38432811908423903,0.28181155361235144,1.4416382163763046,2.5869092524051664,2.290542095899582,0.24342234265059232,0.2760687781497836,0.03264643549919127,2.045972678810358,2.3720652349293228,3.7768348020035774,99110912
128,C0,2000,1,32,0.2436736635863781,0.3851218428462744,0.28289635870605706,1.5041672140359879,2.62820280790329,2.248071163892746,0.2436736635863781,0.27565055768936875,0.03197689410299065,1.9934364393353463,2.3329494054118793,3.6729887980036438,99110912
750,C0,2000,0,32,0.24332288932055235,0.3879962842911482,0.28934678956866267,1.885519689321518,3.0523713171482085,2.333703315258026,0.24376963134855031,0.25944548677653073,0.015675855427980417,2.212809306383133,2.374001318216324,8.755199756997172,373206016
750,C0,2000,1,32,0.24385413136333228,0.38859763741493225,0.2894870098680258,2.0492839246988295,3.176786732673645,2.2550056099891664,0.24429571572691203,0.2600396187976003,0.015743903070688264,2.1175519332289694,2.3008235022425656,8.631438435986638,373206016
128,C0,4000,0,32,0.243607821688056,0.40236404426395894,0.3175124417990446,1.9254779160022735,3.308543789386749,2.766131782531738,0.243607821688056,0.2798679817467928,0.03626016005873678,2.4694551110267637,2.86502400636673,3.7681411710218526,99110912
750,C0,4000,0,32,0.2423451941460371,0.4030494213104248,0.32140845358371734,2.6192481994628904,3.6637351393699644,2.0889738321304323,0.24261450432240964,0.26160413678735495,0.01898963246494531,1.9208258748054505,2.1450231512387594,9.049116934998892,373206016
128,C0,500,0,32,0.2550481280311942,0.3707772485911846,0.2314582422375679,1.2571714371442795,2.0867351770401,1.6591274708509445,0.2550481280311942,0.2872347189113498,0.032186590880155574,1.4224887892603875,1.7380070313811307,3.655068276973907,99110912
750,C0,500,0,32,0.25734023973345754,0.37359358482062816,0.23250668942928315,1.5797009021043777,2.400431936979294,1.6414620935916902,0.25774856973439453,0.27501287441700695,0.01726430468261242,1.5154518261551857,1.6834655160705245,8.269715662987437,373206016
