T,arm,step,K,bank_aggregation,conditional_ES,conditional_cross,conditional_self,group_ES,group_cross,group_self,correct_common_ES,shuffled_common_ES,shuffle_gap,within,between
750,C0,2000,32,mean of existing banks0 and1,0.24358851034194232,0.3882969608530402,0.2894168997183442,1.9674018070101738,3.1145790249109266,2.2943544626235965,0.24403267353773117,0.2597425527870655,0.01570987924933434,2.1651806198060513,2.3374124102294447
750,C0,6000,32,mean of existing banks0 and1,0.23994038114324212,0.39434749726206064,0.30881423223763704,2.3624629437923432,3.656234937906265,2.5875439405441285,0.24028007267042994,0.2598486118018627,0.019568539131432777,2.4438568606972693,2.6354396338264143
750,C1,2000,32,mean of existing banks0 and1,0.25128217367455363,0.38834201395511625,0.2741196811199188,0.8487300798296928,1.4711311221122743,1.2448020830750466,0.2518472787924111,0.2659788755699992,0.014131596777588129,1.213306901231408,1.2553004770229261
750,C1,6000,32,mean of existing banks0 and1,0.2458632020279765,0.3926156725734472,0.29350493922829624,0.7683470144867897,1.4916224807500837,1.4465509325265886,0.24637623419985175,0.26628159657120704,0.01990536237135529,1.3916653007268907,1.4648461431264876
750,C2,2000,32,mean of existing banks0 and1,0.25677322112023826,0.3969178287312388,0.28028921382501726,0.7797475829720497,1.4144693434238433,1.2694435209035873,0.25736682806164024,0.27570734517648815,0.018340517114847882,1.1885316491127014,1.2964141448338826
750,C2,6000,32,mean of existing banks0 and1,0.24414226356893778,0.39846075177192686,0.30863697696477177,0.7589108228683472,1.4363472431898117,1.3548728406429291,0.24456056421622635,0.26293457550928,0.018374011293053646,1.2565807353705167,1.3876368757337332
128,C0,2000,32,mean of existing banks0 and1,0.2435480031184852,0.3847249809652567,0.2823539561592042,1.4729027152061462,2.607556030154228,2.269306629896164,0.2435480031184852,0.27585966791957617,0.03231166480109096,2.019704559072852,2.3525073201706013
128,C0,6000,32,mean of existing banks0 and1,0.24326243354007604,0.3957550285384059,0.30498518962413074,1.823071952164173,3.189254033565521,2.7323641687631604,0.24326243354007604,0.282112175039947,0.03884974149987101,2.504940976947546,2.8081718993683658
128,C1,2000,32,mean of existing banks0 and1,0.2499864454381168,0.38406455479562285,0.268156220857054,0.806687580049038,1.3346857160329817,1.0559962734580042,0.2499864454381168,0.2774578539654613,0.027471408527344476,0.9966906644403934,1.0757648097972077
128,C1,6000,32,mean of existing banks0 and1,0.2485037587583065,0.39267158396542073,0.2883356505073607,0.7497304975986481,1.4544228076934815,1.409384620189667,0.2485037587583065,0.2832331427372992,0.03472938397899271,1.3361545491963625,1.4337946438541014
128,C2,2000,32,mean of existing banks0 and1,0.25653990972787144,0.3965561918914318,0.28003256414085625,0.7942076429724694,1.3324988514184952,1.0765824139118194,0.25653990972787144,0.2909310352988541,0.034391125570982686,0.9713148273527623,1.1116716094315056
128,C2,6000,32,mean of existing banks0 and1,0.24630986861884596,0.39470143560320137,0.2967831353656948,0.7799502745270729,1.364790740609169,1.169680927693844,0.24630986861884596,0.27788143008947375,0.03157156147062777,1.05600119009614,1.2075741735597452
