arm,step,index,max_chunk_error,old_strict_pass,fp64_chunk_max,fp32_to_fp64_max,multi_FRC_chunk_error,single_FRC_chunk_error,boundary_abs_change,interior_abs_change
C1,500,0,1.7508864402770996e-06,True,,,,,0.03874058648943901,0.030976274982094765
C1,500,1,1.3634562492370605e-06,True,,,,,0.04243355616927147,0.05466290935873985
C1,500,2,1.3709068298339844e-06,True,,,,,0.025003500282764435,0.0405249260365963
C1,500,3,1.2516975402832031e-06,True,,,,,,0.05042967572808266
C1,500,4,1.4007091522216797e-06,True,,,,,0.07395776361227036,0.03352119401097298
C1,500,5,1.1920928955078125e-06,True,,,,,0.04403081163764,0.04367932677268982
C1,500,6,1.4863908290863037e-06,True,,,,,0.09126000851392746,0.03708508610725403
C1,500,7,1.695007085800171e-06,True,,,,,0.05365552753210068,0.03535015136003494
C1,500,8,1.3373792171478271e-06,True,,,,,0.051696598529815674,0.0230562724173069
C1,500,9,1.3709068298339844e-06,True,,,,,0.0779479593038559,0.03535987064242363
C1,500,10,1.341104507446289e-06,True,,,,,0.04540948197245598,0.034390274435281754
C1,500,11,1.5124678611755371e-06,True,,,,,0.11130417883396149,0.036299221217632294
C1,500,12,1.341104507446289e-06,True,,,,,0.0478985533118248,0.02017674595117569
C1,500,13,1.4975666999816895e-06,True,,,,,0.04840332642197609,0.017462417483329773
C1,500,14,1.3336539268493652e-06,True,,,,,0.07652030140161514,0.018755681812763214
C1,500,15,1.4454126358032227e-06,True,,,,,0.07907716184854507,0.03307458385825157
C1,500,16,1.4081597328186035e-06,True,,,,,0.08084805309772491,0.028895962983369827
C1,500,17,1.695007085800171e-06,True,,,,,0.07755570858716965,0.032311417162418365
C1,500,18,1.959502696990967e-06,True,,,,,0.042869895696640015,0.021214662119746208
C1,500,19,1.7210841178894043e-06,True,,,,,0.09242560714483261,0.02330377697944641
C1,500,20,1.5012919902801514e-06,True,,,,,0.05174989253282547,0.05984318628907204
C1,500,21,1.385807991027832e-06,True,,,,,0.034873198717832565,0.04602266848087311
C1,500,22,1.4528632164001465e-06,True,,,,,0.0753668025135994,0.05627942457795143
C1,500,23,1.2665987014770508e-06,True,,,,,0.03378492593765259,0.0553511381149292
C1,500,24,1.2516975402832031e-06,True,,,,,0.04265589267015457,0.034600675106048584
C1,500,25,1.3560056686401367e-06,True,,,,,0.1270008534193039,0.03876065835356712
C1,500,26,1.2740492820739746e-06,True,,,,,0.033746618777513504,0.03842797502875328
C1,500,27,1.341104507446289e-06,True,,,,,0.022241873666644096,0.03986309468746185
C1,500,28,1.385807991027832e-06,True,,,,,,0.050560880452394485
C1,500,29,1.1175870895385742e-06,True,,,,,,0.043723560869693756
C1,500,30,1.519918441772461e-06,True,,,,,0.04983322322368622,0.04885350540280342
C1,500,31,1.296401023864746e-06,True,,,,,0.07995195686817169,0.04950768128037453
C1,500,32,1.4379620552062988e-06,True,,,,,,0.05460910126566887
C1,500,33,1.0728836059570312e-06,True,,,,,,0.04947483912110329
C1,500,34,1.4603137969970703e-06,True,,,,,0.03721527010202408,0.037247683852910995
C1,500,35,1.7881393432617188e-06,True,,,,,,0.04763767868280411
C1,500,36,1.2665987014770508e-06,True,,,,,,0.04720703139901161
C1,500,37,1.3932585716247559e-06,True,,,,,,0.055914539843797684
C1,500,38,1.2516975402832031e-06,True,,,,,,0.042916275560855865
C1,500,39,1.6391277313232422e-06,True,,,,,,0.052574124187231064
C1,500,40,1.2218952178955078e-06,True,,,,,,0.03817375749349594
C1,500,41,1.0132789611816406e-06,True,,,,,,0.03431401774287224
C1,500,42,1.4379620552062988e-06,True,,,,,0.12181491404771805,0.04322817921638489
C1,500,43,1.4156103134155273e-06,True,,,,,0.10180922597646713,0.04523162916302681
C1,500,44,1.8775463104248047e-06,True,,,,,0.05028294399380684,0.03618444874882698
C1,500,45,1.6242265701293945e-06,True,,,,,0.05665548890829086,0.0466233566403389
C1,500,46,1.5497207641601562e-06,True,,,,,0.05784865841269493,0.033928681164979935
C1,500,47,1.3709068298339844e-06,True,,,,,0.047343894839286804,0.045824889093637466
C1,500,48,1.2218952178955078e-06,True,,,,,0.057437583804130554,0.04952094331383705
C1,500,49,1.1138617992401123e-06,True,,,,,0.0426294319331646,0.043346043676137924
C1,500,50,1.341104507446289e-06,True,,,,,0.09053267538547516,0.04997086524963379
C1,500,51,1.4510005712509155e-06,True,,,,,0.05544336140155792,0.051398761570453644
C1,500,52,2.0638108253479004e-06,True,,,,,0.075661800801754,0.034288011491298676
C1,500,53,2.263113856315613e-06,True,,,,,0.06414323300123215,0.03363705798983574
C1,500,54,1.3709068298339844e-06,True,,,,,0.07385121285915375,0.03729850426316261
C1,500,55,1.3709068298339844e-06,True,,,,,0.04871879145503044,0.02830490656197071
C1,500,56,1.2665987014770508e-06,True,,,,,0.07356332242488861,0.04865598306059837
C1,500,57,1.4379620552062988e-06,True,,,,,0.15022172033786774,0.05464935302734375
C1,500,58,1.2218952178955078e-06,True,,,,,0.034181512892246246,0.04680633544921875
C1,500,59,1.2218952178955078e-06,True,,,,,0.1766444891691208,0.05173387750983238
C1,500,60,1.5497207641601562e-06,True,,,,,0.05971147119998932,0.03422652184963226
C1,500,61,1.7583370208740234e-06,True,,,,,0.03764311596751213,0.03059523180127144
C1,500,62,1.2665987014770508e-06,True,,,,,0.03336135298013687,0.015385729260742664
C1,500,63,1.6987323760986328e-06,True,,,,,0.07336269319057465,0.03519768640398979
C1,500,64,1.426786184310913e-06,True,,,,,0.05139271914958954,0.0448421835899353
