arm,step,seed,FRC,single_FRC,target_side_mean,one_to_one_mean,FRVar,S_MSE,temporal_S_MSE,TLCC_first_candidate
C0,128,123,0.27327926747682,0.19549157707204234,0.010202779660391934,0.00970398154862171,0.002534456318244338,0.031198566779494286,0.0008227278594858944,43.20000076293945
C0,500,123,0.4709426408879892,0.3488678973948264,0.019804224844310686,0.01830497444112452,0.01682140864431858,0.06478659808635712,0.022630883380770683,43.212501525878906
C0,1000,123,0.48762592675416555,0.35324135456611633,0.020326081065043862,0.01831127666896239,0.018866918981075287,0.08201555907726288,0.028081515803933144,43.287498474121094
C0,2000,123,0.45579845378150335,0.33022799451334983,0.02275531210513764,0.01987367274332575,0.02015005052089691,0.09337934851646423,0.03388054296374321,43.224998474121094
C0,4000,123,0.48612719698849177,0.32052748188979974,0.026735253002820748,0.024106065487455797,0.039950016885995865,0.12163276970386505,0.07437555491924286,44.20000076293945
C0,6000,123,0.5600681175192411,0.3872318201792345,0.02752104112763145,0.024991273602215293,0.036779724061489105,0.10864490270614624,0.06419111788272858,45.13750076293945
C1,128,123,0.2823399708356796,0.19050001198339667,0.012238677288868316,0.011099933134284553,0.006053663790225983,0.018442446365952492,0.0029153916984796524,43.212501525878906
C1,500,123,0.5223110509029406,0.3883204460638531,0.021621785362529473,0.02013839813747163,0.013711570762097836,0.06294728815555573,0.0112865399569273,43.23749923706055
C1,1000,123,0.5770180497676597,0.4151186037070554,0.022898579089409878,0.02107288418746762,0.016627036035060883,0.07281466573476791,0.013147607445716858,43.224998474121094
C1,2000,123,0.4721996515750595,0.3474606854273766,0.02126708326535994,0.0180858733825066,0.00798477791249752,0.08449921011924744,0.0057334392331540585,43.25
C1,4000,123,0.5660780081878516,0.38468697203858376,0.02909408320571716,0.025649354366000594,0.017418235540390015,0.10064943879842758,0.017377395182847977,43.26250076293945
C1,6000,123,0.6586956292036293,0.44538557118220135,0.03338220102274185,0.03049836929750892,0.028914161026477814,0.10050593316555023,0.03980536758899689,44.224998474121094
C2,128,123,0.3690942433993324,0.2709497722730331,0.010966755306358874,0.010465316008020902,0.005295196548104286,0.0007096519111655653,8.431931200902909e-05,43.20000076293945
C2,500,123,0.5846564487411453,0.4379595250580989,0.020042575232679993,0.01895176091573903,0.018808696419000626,0.027156706899404526,0.008255580440163612,43.1875
C2,1000,123,0.5645317259091629,0.4120843643055133,0.02132471676744479,0.01895678150950681,0.01697310246527195,0.020367836579680443,0.007386591285467148,43.1875
C2,2000,123,0.612682533169979,0.4336208978246299,0.02192663404747251,0.02069390770049808,0.017380036413669586,0.033017341047525406,0.005490942392498255,43.1875
C2,4000,123,0.6415710001511628,0.4336028544730482,0.02697288734392589,0.024986407810718692,0.024619435891509056,0.05209111422300339,0.018366027623414993,43.212501525878906
C2,6000,123,0.6256608315242782,0.4155181804446233,0.03415334932764594,0.031412281083640727,0.02947523444890976,0.07733123749494553,0.03930734470486641,43.86249923706055
