model,seed,step,FRC,target_side_mean,one_to_one_mean,FRVar,S_MSE,temporal_S_MSE,TLCC_first_candidate,FRC_delta_vs_MAM,FRC_relative_delta_pct
MAM archive,1,native archive,0.810962318916204,0.04280108382068354,0.036931190904977554,0.05891159176826477,0.15720370411872864,0.0662168636918068,49.0,0.0,0.0
HiRP C0,123,6000,0.5600681175192411,0.02752104112763145,0.024991273602215293,0.036779724061489105,0.10864490270614624,0.06419111788272858,45.13750076293945,-0.25089420139696283,-30.937837128149912
HiRP C1,123,6000,0.6586956292036293,0.03338220102274185,0.03049836929750892,0.028914161026477814,0.10050593316555023,0.03980536758899689,44.224998474121094,-0.15226668971257462,-18.776049905261775
HiRP C2,123,6000,0.6256608315242782,0.03415334932764594,0.031412281083640727,0.02947523444890976,0.07733123749494553,0.03930734470486641,43.86249923706055,-0.18530148739192576,-22.849580439146497
