seed,arm,lambda_group,conditional_ES_mean,conditional_ES_MC_SE,conditional_ES_MC_CI_low,conditional_ES_MC_CI_high,conditional_ES_banks,conditional_cross_mean,conditional_cross_MC_SE,conditional_cross_MC_CI_low,conditional_cross_MC_CI_high,conditional_cross_banks,conditional_self_mean,conditional_self_MC_SE,conditional_self_MC_CI_low,conditional_self_MC_CI_high,conditional_self_banks,group_ES_mean,group_ES_MC_SE,group_ES_MC_CI_low,group_ES_MC_CI_high,group_ES_banks,group_cross_mean,group_cross_MC_SE,group_cross_MC_CI_low,group_cross_MC_CI_high,group_cross_banks,group_self_mean,group_self_MC_SE,group_self_MC_CI_low,group_self_MC_CI_high,group_self_banks,within_mean,within_MC_SE,within_MC_CI_low,within_MC_CI_high,within_banks,between_mean,between_MC_SE,between_MC_CI_low,between_MC_CI_high,between_banks,margin_1pct_mean,margin_1pct_MC_SE,margin_1pct_MC_CI_low,margin_1pct_MC_CI_high,margin_1pct_banks,screen_status
42,C0,0,0.24503935205284505,0.0005166501420393064,0.24381766859739004,0.24626103550830006,8,0.3881123724859208,0.0003040208766289852,0.3873934773480534,0.38883126762378817,8,0.28614604119211434,0.0013206836419541747,0.28302312062366763,0.28926896176056105,8,0.9845827355980873,0.006364495635200913,0.9695330948699348,0.9996323763262398,8,1.7578338906168938,0.007145800742356653,1.7409367568844676,1.77473102434932,8,1.546502307802439,0.004766369523549238,1.5352316348350017,1.5577729807698761,8,1.4317195943556724,0.0041527248616763405,1.4218999604375602,1.4415392282737847,8,1.584763212284694,0.005236315484733435,1.5723812937005024,1.5971451308688855,8,-0.0024503935205284454,5.16650142039117e-06,-0.002462610355082991,-0.0024381766859739,8,satisfies
42,C1,0.03,0.2515377556672319,0.0011371800461437678,0.24884875215169294,0.2542267591827709,8,0.39629448181949556,0.0019322612202252623,0.39172541007773864,0.4008635535612525,8,0.2895134523976594,0.0032952702685665664,0.28172137640505424,0.2973055283902646,8,0.8589216604828834,0.0035110492323723154,0.8506193483194796,0.8672239726462873,8,1.4317938260734082,0.004786881721794933,1.4204746494645457,1.4431130026822707,8,1.145744328945875,0.013575371784520795,1.1136436755998087,1.1778449822919415,8,1.1120653579942883,0.013779985318808212,1.0794808705228418,1.1446498454657348,8,1.1569706525964043,0.013514976839658108,1.125012810601634,1.1889284945911747,8,0.004048010093858467,0.0013543781405933103,0.0008454146967843842,0.00725060549093255,8,does_not_satisfy
42,C1,0.1,0.2484623287571594,0.0013220876184076363,0.24533608831194215,0.25158856920237666,8,0.3966634511947632,0.00134267502889733,0.3934885292594245,0.3998383731301019,8,0.29640224508475516,0.00218608116901977,0.29123298453654073,0.3015715056329696,8,0.7999032270163298,0.0030387566039206913,0.7927177094560112,0.8070887445766484,8,1.3976767219603061,0.005305027407794769,1.3851323254964703,1.410221118424142,8,1.195546992123127,0.008688186274914904,1.1750026961551077,1.2160912880911463,8,1.1542060717940332,0.008586281750165108,1.1339027417365843,1.1745094018514821,8,1.2093272988994916,0.008752352541179315,1.1886312738221294,1.2300233239768539,8,0.0009725831837859127,0.001613251795848645,-0.002842151136603405,0.00478731750417523,8,interval_crosses_threshold
42,C2,0.03,0.2472251860424876,0.00064446409567905,0.2457012706125641,0.2487491014724111,8,0.3917056319769472,0.0017353752843255806,0.3876021214940162,0.3958091424598782,8,0.2889608913101256,0.004090047842576311,0.2792894649913949,0.2986323176288563,8,0.8424173705279827,0.0014406462684151639,0.8390107834237216,0.8458239576322438,8,1.3675755620002747,0.004559418432957847,1.3567942506005435,1.378356873400006,8,1.0503163836896419,0.010677252119911478,1.0250686943865288,1.075564072992755,8,1.016422511637211,0.010852315424559483,0.9907608633983632,1.0420841598760588,8,1.0616143410404524,0.010620369955423864,1.0365011566829698,1.086727525397935,8,-0.00026455953088587794,0.0007957713995526814,-0.00214625988099208,0.001617140819220324,8,interval_crosses_threshold
42,C2,0.1,0.2477064895676449,0.0006505174535157969,0.24616826022097707,0.24924471891431274,8,0.3958983271382749,0.0009608555894568033,0.39362626470916684,0.39817038956738293,8,0.2963836749549955,0.0027278347252543194,0.2899333708093222,0.30283397910066884,8,0.7849150903522968,0.0016636875812861764,0.7809810943505138,0.7888490863540798,8,1.3879888698458671,0.0038963872299393057,1.3787753781083563,1.397202361583378,8,1.2061475574970246,0.009752766879822697,1.183085928412865,1.2292091865811843,8,1.1447545082308352,0.010079813415220544,1.1209195369776745,1.168589479483996,8,1.226611907252421,0.00965914621378601,1.203771655865622,1.2494521586392202,8,0.00021674399427139626,0.0008614496426938298,-0.0018202607223683728,0.0022537487109111653,8,interval_crosses_threshold
123,C0,0,0.24562520131003113,0.0008874489640427766,0.2435267179676047,0.24772368465245756,8,0.3846184036228806,0.0004024034396549729,0.38366687069054806,0.3855699365552131,8,0.27798640467226504,0.0024201311761926168,0.27226370380100423,0.28370910554352585,8,0.9362203039228916,0.005448510012159377,0.9233366250130934,0.9491039828326897,8,1.5760854221880436,0.0062925672875830336,1.5612058649750453,1.5909649794010419,8,1.2797302357852458,0.006491613004619902,1.2643800102425664,1.2950804613279252,8,1.201601815596223,0.006888181594460139,1.1853138543485875,1.2178897768438584,8,1.30577304251492,0.006437093978729683,1.290551733983034,1.3209943510468063,8,-0.0024562520131003115,8.874489640427679e-06,-0.002477236846524576,-0.002435267179676047,8,satisfies
123,C1,0.03,0.24530085071455687,0.0007999101128775932,0.24340936386255219,0.24719233756656156,8,0.3849156549666077,0.0010798459195105075,0.38236222511734963,0.3874690848158657,8,0.2792296088067815,0.003681638232081695,0.2705239177576099,0.28793529985595306,8,0.8403959333896637,0.0018168081029953584,0.8360998648888306,0.8446920018904968,8,1.3478367626667023,0.0024844625322222305,1.341961942310836,1.3537115830225686,8,1.0148816581815483,0.007553741944425456,0.9970198967894862,1.0327434195736103,8,0.983649639878422,0.0078216558757426,0.9651543627070279,1.0021449170498162,8,1.0252923309492568,0.0074699439277413,1.0076287203796814,1.042955941518832,8,-0.002780602608574552,0.0008037301430487963,-0.004681122396563873,-0.0008800828205852303,8,satisfies
123,C1,0.1,0.24421477967407557,0.000534415213611547,0.24295108849954955,0.24547847084860158,8,0.3782761001028121,0.0004889593726413534,0.37711989491222075,0.37943230529340344,8,0.2681226416723803,0.0019051128115879909,0.26361776571607926,0.27262751762868137,8,0.8105814035981893,0.0024341415659937045,0.8048255734194305,0.8163372337769481,8,1.300040455162525,0.0034701417933917593,1.2918348737214052,1.308246036603645,8,0.9789181046187878,0.011315887227634233,0.9521602832520348,1.0056759259855408,8,0.9428604914806784,0.011350252139492438,0.9160214100099418,0.9696995729514151,8,0.9909373089981577,0.011310226728990676,0.9641928725837734,1.017681745412542,8,-0.0038666736490558795,0.0008413365045029074,-0.0058561183513537556,-0.001877228946758003,8,satisfies
123,C2,0.03,0.2460810750722885,0.0014893340872791602,0.2425593595707844,0.2496027905737926,8,0.39182036626152694,0.0013409964709329737,0.3886494134850585,0.3949913190379954,8,0.2914785822853446,0.0019666929620965052,0.2868280924117344,0.29612907215895484,8,0.8284500796347856,0.003204443930387845,0.8208727738041212,0.83602738546545,8,1.4176746226847172,0.004185781073593817,1.407776823246239,1.4275724221231954,8,1.1784490857273342,0.011393491245147458,1.1515077600187484,1.20539041143592,8,1.1341992291621863,0.012149721020243677,1.1054697041876316,1.162928754136741,8,1.1931990379157167,0.01115916921942529,1.166811795751836,1.2195862800795974,8,-0.0020003782508429165,0.0019317134803929108,-0.0065681547937086965,0.0025673982920228636,8,interval_crosses_threshold
123,C2,0.1,0.24448756512720138,0.0005555724588625927,0.24317384501745787,0.2458012852369449,8,0.38694164203479886,0.0006251501060556159,0.385463396933134,0.38841988713646375,8,0.28490815437398853,0.0021161158319378186,0.27990433555860894,0.2899119731893681,8,0.782879763841629,0.001254150474154837,0.7799141692152959,0.7858453584679622,8,1.3656859904527663,0.0033450314919477335,1.3577762478645652,1.3735957330409674,8,1.1656124539673327,0.00781075829144699,1.1471429454880477,1.1840819624466177,8,1.1062332305125893,0.00795112475943558,1.087431808078988,1.1250346529461905,8,1.1854055284522473,0.007771567366667719,1.1670286917841377,1.203782365120357,8,-0.003593888195930043,0.0012200643115285702,-0.006478881855473354,-0.0007088945363867317,8,satisfies
