seed,arm,lambda_group,bank,conditional_ES,conditional_cross,conditional_self,group_ES,group_cross,group_self,within,between
123,C0,0,24001,0.24258504062891006,0.3863750722259283,0.2875800631940365,0.9197647124528885,1.5507819592952727,1.2620344936847687,1.1863651737570762,1.2872576003273326
123,C0,0,24002,0.2445315532386303,0.3853204593062401,0.2815778136253357,0.9360443443059921,1.586531686782837,1.300974690914154,1.222885949164629,1.327004271497329
123,C0,0,24003,0.24358312748372554,0.3847318239510059,0.2822973929345608,0.9319430410861969,1.569869691133499,1.275853306055069,1.1988746426999568,1.301512860506773
123,C0,0,24004,0.2456214414909482,0.38406078740954397,0.2768786897882819,0.9458894699811935,1.5717770218849183,1.2517750978469848,1.175144126266241,1.277318755040566
123,C0,0,24005,0.24634110499173403,0.3857051946222782,0.278728180937469,0.9099933624267578,1.5518756330013275,1.2837645292282105,1.2089643031358719,1.3086979379256567
123,C0,0,24006,0.2451694868505001,0.38366152830421923,0.2769840808585286,0.9458047658205032,1.594428688287735,1.2972478568553925,1.218755791336298,1.3234118786950906
123,C0,0,24007,0.24621271397918462,0.38416641764342785,0.2759074080735445,0.9426979720592499,1.5917718529701232,1.2981477499008178,1.2223015435039997,1.3234298186997573
123,C0,0,24008,0.25095714181661605,0.382925945520401,0.26393760796636345,0.957624763250351,1.5916468441486358,1.2680441617965699,1.1795229949057102,1.2975512174268562
123,C1,0.03,24001,0.24438326377421618,0.38489834740757944,0.2810301657766104,0.8367285966873169,1.3535228312015533,1.0335884749889375,1.002944178879261,1.0438032403588293
123,C1,0.03,24002,0.2463738927617669,0.3855329167097807,0.27831805050373076,0.8467513710260391,1.3420772194862365,0.9906516999006272,0.9569943301379681,1.0018708231548468
123,C1,0.03,24003,0.24598283432424067,0.3837295476347208,0.2754934264346957,0.8442322760820389,1.3345274865627288,0.980590432882309,0.9491992756724358,0.9910541519522665
123,C1,0.03,24004,0.24245234988629819,0.3895542647689581,0.2942038312554359,0.8358405828475952,1.347237092256546,1.0227930158376695,0.9896304816007614,1.0338471939166387
123,C1,0.03,24005,0.24719551522284747,0.3814199175685644,0.26844880636781454,0.8450539320707321,1.3462670564651489,1.002426239848137,0.9717079788446427,1.012665660182635
123,C1,0.03,24006,0.24284130707383156,0.38659090027213094,0.2874991845339537,0.8341894388198853,1.3546888887882234,1.0409988969564439,1.0112231358885766,1.050924150645733
123,C1,0.03,24007,0.24410863406956196,0.3872980609536171,0.2863788537681103,0.8359886914491653,1.3494116723537446,1.0268459558486938,0.9963672839105129,1.0370055131614209
123,C1,0.03,24008,0.24906900860369205,0.38030128441751004,0.2624645518139005,0.8443825781345368,1.3549618542194366,1.0211585491895676,0.9911304540932179,1.0311679142216843
123,C1,0.1,24001,0.2436077207326889,0.3783799882978201,0.26954453606158496,0.8180097490549088,1.2879656493663787,0.9399117857217789,0.9042448386549949,0.9518007680773737
123,C1,0.1,24002,0.24433875940740107,0.37929017618298533,0.2699028342962265,0.8200291842222214,1.2862486481666564,0.932438924908638,0.895523152500391,0.9447441823780537
123,C1,0.1,24003,0.24501686580479146,0.3785043764859438,0.26697502098977566,0.8104834139347077,1.2999397337436676,0.9789126306772232,0.9425771154463292,0.9910244690875214
123,C1,0.1,24004,0.24364952705800533,0.37927098758518696,0.27124292217195034,0.8059524953365326,1.3051282048225403,0.9983514279127121,0.9613038673996925,1.0107006147503852
123,C1,0.1,24005,0.24630654361099005,0.37527609914541243,0.2579391110688448,0.8123302012681961,1.308091974258423,0.991523551940918,0.9563394166529179,1.003251597036918
123,C1,0.1,24006,0.2427840916439891,0.379448801279068,0.2733294188976288,0.8013421148061752,1.315285974740982,1.027887722849846,0.9902706354856491,1.0404267519712447
123,C1,0.1,24007,0.24199013281613588,0.3786517415195704,0.27332322001457215,0.8024792283773422,1.3013076543807984,0.9976568549871445,0.9648720130324364,1.0085851356387137
123,C1,0.1,24008,0.24602459631860257,0.3773866303265095,0.262724069878459,0.8140248417854309,1.296355801820755,0.9646619379520416,0.9277528926730156,0.9769649530450503
123,C2,0.03,24001,0.24559379518032073,0.3954316657036543,0.29967574402689934,0.8192459940910339,1.41229287981987,1.186093771457672,1.143432878702879,1.200314069042603
123,C2,0.03,24002,0.24239356871694326,0.3890500199049711,0.2933129042387009,0.8225578725337982,1.4206831634044648,1.196250581741333,1.1575312301516534,1.2091570322712264
123,C2,0.03,24003,0.254784494638443,0.39867865927517415,0.28778832741081717,0.844142273068428,1.4085626184940339,1.1288406878709794,1.0823844835162162,1.144326089322567
123,C2,0.03,24004,0.24986336901783943,0.39263969771564006,0.2855526592582464,0.8397822976112366,1.407513689994812,1.1354627847671508,1.0885609216988086,1.151096739123265
123,C2,0.03,24005,0.24297583065927028,0.39040352292358876,0.2948553815484047,0.8258384466171265,1.430341798067093,1.209006702899933,1.1683279737830161,1.2225662792722385
123,C2,0.03,24006,0.2443498821929097,0.3919512007385492,0.29520263597369195,0.8267658621072769,1.4215731739997863,1.1896146297454835,1.1454661920666696,1.2043307756384214
123,C2,0.03,24007,0.24343595318496228,0.38963583409786223,0.29239976219832897,0.8292248845100403,1.4370717823505401,1.2156937897205353,1.170284553617239,1.2308302017549675
123,C2,0.03,24008,0.2452517069876194,0.3867723297327757,0.2830412436276674,0.8200430065393448,1.4033578753471374,1.1666297376155854,1.1176055997610093,1.182971116900444
123,C2,0.1,24001,0.24411462601274253,0.38744288198649884,0.2866565115749836,0.7804464787244797,1.3714265465736388,1.181960129737854,1.123976144194603,1.2012881249189375
123,C2,0.1,24002,0.24736308865249157,0.38621608577668665,0.2777059946209192,0.789093840122223,1.3515233099460602,1.1248589396476745,1.0635477885603906,1.1452959900101027
123,C2,0.1,24003,0.24625512342900038,0.38298240266740324,0.2734545607119799,0.7847904592752457,1.361145657300949,1.1527104020118712,1.0949174523353578,1.1719747185707092
123,C2,0.1,24004,0.24479567501693963,0.38791980743408205,0.2862482635304332,0.7867632538080216,1.3778308391571046,1.1821351796388626,1.1213719733059406,1.2023895817498365
123,C2,0.1,24005,0.24359001964330673,0.38812450766563417,0.28906897604465487,0.780758586525917,1.363054245710373,1.1645913183689118,1.1073263920843601,1.1836796271304293
123,C2,0.1,24006,0.242947287671268,0.38681047819554804,0.28772638235241177,0.7808671087026596,1.376612389087677,1.1914905548095702,1.1315056033432485,1.2114855386316774
123,C2,0.1,24007,0.24310967586934568,0.38741025552153585,0.2886011604219675,0.7793045103549957,1.3678923964500427,1.177175772190094,1.11762108579278,1.197027334322532
123,C2,0.1,24008,0.24372502472251653,0.38862671703100204,0.2898033857345581,0.78101387321949,1.356002539396286,1.149977335333824,1.0895994044840336,1.1701033122837545
2026,C0,0,24001,0.24662909470498562,0.38585829362273216,0.2784583972766995,1.0768859028816222,1.882721745967865,1.6116717159748077,1.4887337118387223,1.6526510506868362
2026,C0,0,24002,0.24447931051254274,0.38982736207544805,0.29069610554724934,1.0894463509321213,1.8981935024261474,1.6174942970275878,1.4996130391955376,1.6567880496382714
2026,C0,0,24003,0.24468726590275763,0.3887292560189962,0.2880839791148901,1.0955140054225923,1.9195119202136994,1.6479958534240722,1.523302761465311,1.689560217410326
2026,C0,0,24004,0.24570556040853261,0.3903970617800951,0.28938300292938945,1.0216287940740585,1.825927448272705,1.6085973143577577,1.5094487078487873,1.641646849860748
2026,C0,0,24005,0.24953545890748502,0.3927214935421944,0.28637206852436065,1.0206230252981185,1.8215083658695221,1.6017706930637359,1.4934047520160676,1.6378926734129589
2026,C0,0,24006,0.250879524089396,0.393068827316165,0.28437860794365405,1.0389894515275955,1.8489037334918976,1.619828563928604,1.510722142457962,1.6561973710854851
2026,C0,0,24007,0.24459397606551647,0.3875935200601816,0.28599908817559483,1.0774500101804734,1.8974652767181397,1.6400305330753326,1.5207788698375224,1.6797810874879358
2026,C0,0,24008,0.2513969136402011,0.39389314502477646,0.2849924620240927,1.0216609507799148,1.8176299512386322,1.5919380128383636,1.4737886607646942,1.6313211301962531
2026,C1,0.03,24001,0.2453858947381377,0.38048921041190625,0.27020662985742094,0.840757304430008,1.4061335504055024,1.130752483010292,1.0968355596065522,1.142058124144872
2026,C1,0.03,24002,0.24589001405984162,0.38109324462711813,0.27040646113455297,0.8406144201755523,1.3887968242168427,1.0963648170232774,1.0588664881885053,1.1088642599682017
2026,C1,0.03,24003,0.24482258167117835,0.38250156715512273,0.27535796985030175,0.8360873937606812,1.394996201992035,1.1178176164627076,1.080354095250368,1.1303054568668207
2026,C1,0.03,24004,0.24454389400780202,0.3855621423572302,0.28203649520874025,0.8374798864126205,1.3874112963676453,1.0998628169298172,1.0633052811026573,1.112048662205537
2026,C1,0.03,24005,0.24417181499302387,0.38381926380097864,0.27929489836096766,0.8324130684137344,1.3898499190807343,1.1148736953735352,1.07813451141119,1.12712009002765
2026,C1,0.03,24006,0.24465078841894866,0.3859812285751104,0.28266088366508485,0.8333237320184708,1.386131340265274,1.105615222454071,1.0668119490146637,1.1185496469338738
2026,C1,0.03,24007,0.2448610134422779,0.38227737993001937,0.27483273409307,0.83875852227211,1.3864400863647461,1.09536312520504,1.059139220416546,1.107437760134538
2026,C1,0.03,24008,0.24648361206054686,0.38101887665688994,0.26907052993774416,0.8440974324941635,1.4027000546455384,1.1172052413225173,1.0798074446618557,1.129671173542738
