seed,arm,lambda_group,input_index,frames,K,boundary_abs_change,interior_abs_change,finite,domain,candidate_consistency_max_error
123,C0,0,57,1015,10,0.09803211688995361,0.016156133264303207,True,True,2.2351741790771484e-06
123,C0,0,58,1198,10,0.0669933333992958,0.013099252246320248,True,True,1.862645149230957e-06
123,C0,0,59,929,10,0.104862280189991,0.015506626106798649,True,True,2.682209014892578e-06
123,C0,0,60,1892,10,0.08601800352334976,0.011358547024428844,True,True,1.5497207641601562e-06
123,C0,0,61,3455,10,0.0674101859331131,0.00955241173505783,True,True,2.294778823852539e-06
123,C0,0,62,3334,10,0.05347289890050888,0.007125284522771835,True,True,2.1457672119140625e-06
123,C0,0,63,3599,10,0.08798928558826447,0.012055761180818081,True,True,2.8312206268310547e-06
123,C0,0,64,2610,10,0.06354187428951263,0.01344627607613802,True,True,2.130866050720215e-06
123,C0,0,65,1685,10,0.060519393533468246,0.017096219584345818,True,True,2.041459083557129e-06
123,C0,0,66,2613,10,0.079032763838768,0.01396994199603796,True,True,2.8759241104125977e-06
123,C0,0,67,1709,10,0.07123425602912903,0.016801411285996437,True,True,2.5313347578048706e-06
123,C0,0,68,4558,10,0.0590595081448555,0.0076811653561890125,True,True,2.2314488887786865e-06
123,C0,0,69,4473,10,0.0604240857064724,0.0064979600720107555,True,True,1.8775463104248047e-06
123,C0,0,70,3729,10,0.04331427067518234,0.006202989723533392,True,True,1.8775463104248047e-06
123,C0,0,71,4561,10,0.04936499893665314,0.006942556239664555,True,True,1.9669532775878906e-06
123,C0,0,72,3416,10,0.06825292855501175,0.009011050686240196,True,True,2.0265579223632812e-06
123,C0,0,73,3596,10,0.06989837437868118,0.008319550193846226,True,True,2.0265579223632812e-06
