arm,lambda_group,training_seeds,conditional_ES_mean,conditional_ES_seed_std,group_ES_mean,group_ES_seed_std
C0,0,3,0.24596764713060112,0.0011388115125187375,0.9920259503026804,0.05987524547538872
C1,0.03,3,0.24731326935191947,0.0036598740970214213,0.8457530212899048,0.011470217577814856
C1,0.1,3,0.24630855117769293,0.0021244102358432774,0.8025468119730551,0.007092466316625253
C2,0.03,3,0.24568231478333472,0.0017761467505487173,0.832611790796121,0.008524156442418723
C2,0.1,3,0.2477555051834012,0.003292721493781797,0.7873311816404263,0.006033875147492107
