model,seed,arm,lambda_group,input_index,official_FRC,generated_side_mean,target_side_mean,one_to_one_mean
MAM_archive_offline,1,MAM,,0,0.7461312490210537,0.07461312490210537,0.0284918184144331,0.02393094578071894
MAM_archive_offline,1,MAM,,1,0.7186469842796341,0.07186469842796342,0.05291503098071263,0.04295073556190615
MAM_archive_offline,1,MAM,,2,1.417341478024676,0.1417341478024676,0.07071994528155914,0.06441794570224649
MAM_archive_offline,1,MAM,,3,0.810026363210211,0.0810026363210211,0.04514616258289702,0.037847283018560184
MAM_archive_offline,1,MAM,,4,0.984788233699399,0.0984788233699399,0.07227779473015064,0.06386753935287762
MAM_archive_offline,1,MAM,,5,1.4378146209854938,0.1437814620985494,0.0565116110687678,0.045444774233902925
MAM_archive_offline,1,MAM,,6,1.1493316294375964,0.11493316294375963,0.054963704462228626,0.0478726719010307
MAM_archive_offline,1,MAM,,7,0.4746413532859744,0.04746413532859744,0.031203264539896775,0.026311234910246162
MAM_archive_offline,1,MAM,,8,0.6941407684951325,0.06941407684951326,0.06392749234498987,0.05525728332609321
MAM_archive_offline,1,MAM,,9,0.7202335127787297,0.07202335127787297,0.03708184560902998,0.036488366188882335
MAM_archive_offline,1,MAM,,10,0.179381589411991,0.0179381589411991,0.017205625182266385,0.013396484157096869
MAM_archive_offline,1,MAM,,11,0.7646990001766747,0.07646990001766747,0.05015472322099971,0.043807765940209666
MAM_archive_offline,1,MAM,,12,0.834421286566979,0.0834421286566979,0.033580082712963574,0.029289827186244795
MAM_archive_offline,1,MAM,,13,0.3602777400708591,0.036027774007085914,0.0254847752821032,0.022784172467255524
MAM_archive_offline,1,MAM,,14,0.23459857737687115,0.023459857737687113,0.020882948592138108,0.0182427736995602
MAM_archive_offline,1,MAM,,15,0.9624777428524336,0.09624777428524336,0.05532415248114908,0.04719644806854741
MAM_archive_offline,1,MAM,,16,0.9908244913602229,0.0990824491360223,0.06496760243022537,0.05568288056804782
MAM_archive_offline,1,MAM,,17,0.5820525184898852,0.05820525184898852,0.044226916818849896,0.03550245842406855
