/home/zhengshiyi/react2025_new/.venv/lib/python3.10/site-packages/torch/_utils.py:831: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
C0_step128_T750_bank0_K32.json 0.28341951351612804 1.0956868559122086
C0_step500_T750_bank0_K32.json 0.25734023973345754 1.5797009021043777
C0_step1000_T750_bank0_K32.json 0.2545163258910179 1.757632288336754
C0_step2000_T750_bank0_K32.json 0.24332288932055235 1.885519689321518
C0_step2000_T750_bank1_K32.json 0.24385413136333228 2.0492839246988295
C0_step4000_T750_bank0_K32.json 0.2423451941460371 2.6192481994628904
C0_step6000_T750_bank0_K32.json 0.2392808448523283 2.3171355187892915
C0_step6000_T750_bank1_K32.json 0.24059991743415593 2.407790368795395
C1_step128_T750_bank0_K32.json 0.29971529822796583 1.0227919220924377
C1_step500_T750_bank0_K32.json 0.2594449853524566 0.8232099801301956
C1_step1000_T750_bank0_K32.json 0.25340150855481625 0.8069447487592697
C1_step2000_T750_bank0_K32.json 0.2555839870125055 0.8647680521011353
C1_step2000_T750_bank1_K32.json 0.24698036033660173 0.8326921075582504
C1_step4000_T750_bank0_K32.json 0.24661941081285477 0.7874841332435608
C1_step6000_T750_bank0_K32.json 0.24729679469019175 0.7631563156843185
C1_step6000_T750_bank1_K32.json 0.24442960936576127 0.7735377132892609
C2_step128_T750_bank0_K32.json 0.31285150572657583 1.0663828313350678
C2_step500_T750_bank0_K32.json 0.26255673076957464 0.8260068655014038
C2_step1000_T750_bank0_K32.json 0.2765720285475254 0.8629996657371521
C2_step2000_T750_bank0_K32.json 0.2639467692002654 0.7903115898370743
C2_step2000_T750_bank1_K32.json 0.2495996730402112 0.7691835761070251
C2_step4000_T750_bank0_K32.json 0.2544108770787716 0.7783661097288131
C2_step6000_T750_bank0_K32.json 0.244031017459929 0.7574378401041031
C2_step6000_T750_bank1_K32.json 0.24425350967794657 0.7603838056325912
C0_step128_T128_bank0_K32.json 0.27847336158156394 0.945407822728157
C0_step500_T128_bank0_K32.json 0.2550481280311942 1.2571714371442795
C0_step1000_T128_bank0_K32.json 0.25284517612308266 1.3801278054714203
C0_step2000_T128_bank0_K32.json 0.24342234265059232 1.4416382163763046
C0_step2000_T128_bank1_K32.json 0.2436736635863781 1.5041672140359879
C0_step4000_T128_bank0_K32.json 0.243607821688056 1.9254779160022735
C0_step6000_T128_bank0_K32.json 0.24274795912206173 1.7976402908563613
C0_step6000_T128_bank1_K32.json 0.24377690795809032 1.8485036134719848
C1_step128_T128_bank0_K32.json 0.2966218590736389 0.9179308742284775
C1_step500_T128_bank0_K32.json 0.25808334089815615 0.7885117769241333
C1_step1000_T128_bank0_K32.json 0.2531809780746698 0.7826673120260239
C1_step2000_T128_bank0_K32.json 0.2543655863031745 0.8196085333824158
C1_step2000_T128_bank1_K32.json 0.24560730457305907 0.7937666267156601
C1_step4000_T128_bank0_K32.json 0.24729601684957742 0.775719040632248
C1_step6000_T128_bank0_K32.json 0.2510529598221183 0.7538594394922257
C1_step6000_T128_bank1_K32.json 0.24595455769449473 0.7456015557050705
C2_step128_T128_bank0_K32.json 0.30858302004635335 0.9613035619258881
C2_step500_T128_bank0_K32.json 0.2624062022194266 0.8069005280733108
C2_step1000_T128_bank0_K32.json 0.2724746335297823 0.8417322695255279
C2_step2000_T128_bank0_K32.json 0.26443964410573245 0.8046504557132721
C2_step2000_T128_bank1_K32.json 0.2486401753500104 0.7837648302316665
C2_step4000_T128_bank0_K32.json 0.2543332174420357 0.7917861968278885
C2_step6000_T128_bank0_K32.json 0.24635998327285052 0.7791414707899094
C2_step6000_T128_bank1_K32.json 0.24625975396484137 0.7807590782642364
