arm,step,global_step,FRC,exact_FRD20,FRD_pairs,S_MSE,FRVar,target_coverage,one_to_one,total,DC,slow,fast,checkpoint_sha256
B0-fixed,500,16500,0.777425786017339,,0,0.08436430990695953,0.03963552042841911,0.054124451917281026,0.04749545924402111,0.08436564155930945,0.030925412551280042,0.04128301634993279,0.012157212658096536,8d9e3368131d4775b34691422c0306931153f34bbd68f47d7842ba90319651fb
B0-fixed,1000,17000,0.8515925739938783,,0,0.07977686077356339,0.04467759653925896,0.0557440003395109,0.049197501500615436,0.0797781320096081,0.02873093744596907,0.04278358693573197,0.008263607627907066,1500995e46e19dfa46d75482451d8078c4a5165f0b816d4d2d7bae54cf1e9cc0
B0-fixed,2000,18000,0.7894146975281573,127.55576905062028,2000,0.06811080873012543,0.03637218475341797,0.05103934645868213,0.04449616504121518,0.06811186954879449,0.02429654684289851,0.03588056032232271,0.007934762383573279,bfb972d4656f3a7fc2299fbc0cf8f471c9118a0c7509a493bea1561f0c44fc31
B1-ratio,500,16500,0.9024989392705919,,0,0.07506614178419113,0.04455370455980301,0.05661748690409513,0.05036522265130696,0.0750674237252418,0.02578139472293365,0.04097635948131627,0.008309669520991967,943e4a58e344e163f1e008aa53c0d767c1f2a3f0d3c2d17ccbcd4e3958b26b6c
B1-ratio,1000,17000,0.9472703305446706,,0,0.06240508705377579,0.04453988000750542,0.05653757015702541,0.050400620938561104,0.06240618794394914,0.021687920604470314,0.03654548085013866,0.00417278648934022,481677e9c88c421c4a8dd4a27953f1f821a97b89c2e99f69ef623d76f3de5d1b
B1-ratio,2000,18000,0.8275811216395322,126.19868951795426,2000,0.04962873458862305,0.031184716150164604,0.049141419770027873,0.04363256667348505,0.0496296213050726,0.018475107137531952,0.02729409506587891,0.003860419101661714,4092bcfa16b55116e45144aed46cec07c319ad4c3280826f3a2cb2ba66450110
