arm,total_step,new_step,FRC80,FRC20,FRD20,S_MSE80,FRVar80,target_side,one_to_one,checkpoint_sha256,output_policy,task_file,task_sha256,FRD_completed_pairs,FRC_band,FRD_band,AU_candidate_pair_mse_offdiagonal,AU_temporal_variance,AU_speed_abs,AU_acceleration_abs,AU_centered_candidate_pair_mse_offdiagonal,AU_target_temporal_variance,AU_target_speed_abs,AU_minimum,AU_maximum,VA_candidate_pair_mse_offdiagonal,VA_temporal_variance,VA_speed_abs,VA_acceleration_abs,VA_centered_candidate_pair_mse_offdiagonal,VA_target_temporal_variance,VA_target_speed_abs,VA_minimum,VA_maximum,expression_candidate_pair_mse_offdiagonal,expression_temporal_variance,expression_speed_abs,expression_acceleration_abs,expression_centered_candidate_pair_mse_offdiagonal,expression_target_temporal_variance,expression_target_speed_abs,expression_minimum,expression_maximum
S0_quality,6500,500,1.20609671845443,1.1563800263443087,,0.04291921854019165,0.03934388980269432,0.05972570988769106,0.05484010779138095,33dc4120dcc1aa3cdf8f0f4f54e36137dd7a53daaf0587325e48d726eb8f79e7,continuous AU native,runs/mam_target/staged_v2/task_multitarget/seed123_S0_quality_step6500.json,8fad7f178661bb11fb3ca19c9cf593f954f08eb65a19c60a0f717f4daefafa58,,True,,0.05814418201334774,0.04987890252377838,0.01731660795630887,0.02440731453243643,0.0367983823409304,0.07625392435584218,0.010877395275747404,1.1438951537456887e-05,0.9998249337077141,0.0033873939835757485,0.016671570524340495,0.02329511158168316,0.029101200646255165,0.002394387462845771,0.03659817782463506,0.015472236857749521,-0.4670407097786665,0.4209643490612507,0.024258060264401138,0.02525882045738399,0.014187453791964798,0.01943823988549411,0.013225919095566497,0.035838248278014365,0.011865333252353593,1.5530649399408958e-06,0.9736401259899139
S0_quality,7000,1000,1.2072578393995783,1.1548133946294659,,0.043443627655506134,0.04026929661631584,0.06028116430905334,0.055416863708939924,c484489375ec197f0e2739b8da5bc92df05d43caee98d80079c53487cb195eb4,continuous AU native,runs/mam_target/staged_v2/task_multitarget/seed123_S0_quality_step7000.json,95fe3774b5dde17b3548ae0963ae510a871b0907d127de92b5f26c3334f6b3c7,,True,,0.059629856841638684,0.05156030955258757,0.019010844372678547,0.026753586647100747,0.03870164090767503,0.07625392435584218,0.010877395275747404,1.2950508431686102e-05,0.9998246721923352,0.0033016649053024595,0.016758758405921982,0.02355211563408375,0.02943820795044303,0.002359063296171371,0.03659817782463506,0.015472236857749521,-0.4373398616909981,0.44305642880499363,0.02313278511282988,0.02497627758421004,0.01541403167648241,0.020980104128830133,0.01281709005124867,0.035838248278014365,0.011865333252353593,1.891109525331558e-06,0.9729787431657314
S0_quality,8000,2000,1.2219690052539172,1.15112276137133,133.31270628845317,0.04369585961103439,0.04087771102786064,0.06089697100328373,0.056044740861382836,a37e0113e1ab40598b744a20c27db8ed00ad66c1d58b90629a547e9149418b7b,continuous AU native,runs/mam_target/staged_v2/task_multitarget/seed123_S0_quality_step8000.json,fae675be4c370c6eab3c889f14c1e39e1ae1b6927dc1bce90a746860d0eab8d0,2000,True,True,0.05972560341469944,0.052295468561351297,0.01920123368036002,0.026939437049441038,0.03880357884336263,0.07625392435584218,0.010877395275747404,1.1445855113834113e-05,0.9998097032308578,0.004194488117354922,0.017165465373545886,0.023910318175330757,0.029875403095502406,0.0027056492981500924,0.03659817782463506,0.015472236857749521,-0.4496705211699009,0.43852003701031206,0.023518238379620016,0.02539747963892296,0.015673288074322046,0.021320658456534147,0.013239384652115405,0.035838248278014365,0.011865333252353593,1.7631376657334385e-06,0.9720543794333935
S1_joint,6500,500,1.1900773121998023,1.140435098470658,,0.04714290052652359,0.04020022973418236,0.06043397142776315,0.05535632496110635,21fc70fe925f32fe0698a9cf4288ead3300a54d64dc99fff55a19e297c6f99ba,continuous AU native,runs/mam_target/staged_v2/task_multitarget/seed123_S1_joint_step6500.json,c567915f4e82a2d772d020c31958681043e969689864e504bbb10e953a00d40b,,True,,0.06313390152063221,0.050902065075933936,0.01756240918766707,0.024827952997293325,0.039821879402734336,0.07625392435584218,0.010877395275747404,1.1756560360254298e-05,0.9998454548418522,0.004641075636027381,0.017102018935838716,0.023534822987858205,0.029518435685895385,0.003085027215274749,0.03659817782463506,0.015472236857749521,-0.46721431873738767,0.4301923207938671,0.027788239635992796,0.025908837444148958,0.014303520938847214,0.019666185649111868,0.015116422576829791,0.035838248278014365,0.011865333252353593,1.5222070288700706e-06,0.9759444512426854
S1_joint,7000,1000,1.1950265556881619,1.137634575620998,,0.048823799937963486,0.04200267419219017,0.061434857407189666,0.0563680877962142,6927bd7a76ffd1e5e23c45d9b739a69bd7638a11768a5ee9abd38219c3587e92,continuous AU native,runs/mam_target/staged_v2/task_multitarget/seed123_S1_joint_step7000.json,b51801dc47dab2a7ecd55fe59d31bad8fafe2302a6bd2da093ff9b72ed4be742,,True,,0.06491763512603939,0.05317400814965367,0.01940525689860806,0.02732973520178348,0.04275809312239289,0.07625392435584218,0.010877395275747404,1.3492949597093684e-05,0.9998522855341434,0.006100425479235128,0.017978910531383008,0.024785988917574286,0.031098076701164247,0.004243198102631141,0.03659817782463506,0.015472236857749521,-0.44609912633895876,0.4526457067579031,0.029331820050720124,0.027062365494202822,0.015912820072844624,0.021786364796571433,0.016617245884845033,0.035838248278014365,0.011865333252353593,1.6257789567930558e-06,0.977991496771574
S1_joint,8000,2000,1.2027445476542689,1.1340120599853938,135.9292747824053,0.05073748901486397,0.042962461709976196,0.06227907831857984,0.05717177468421841,357cfea4fe9010df57e4072c012e4979d79b4c027cb3533f98e896391c505392,continuous AU native,runs/mam_target/staged_v2/task_multitarget/seed123_S1_joint_step8000.json,411ef7a46a428c141a803e8cd9a27817eafd775a3681c414c035edf3e1dbe757,2000,True,True,0.06638554912060499,0.05401523606851697,0.019745602447073907,0.027721069904509933,0.0439080216223374,0.07625392435584218,0.010877395275747404,1.156631808498787e-05,0.9998384803533554,0.00961549309286056,0.020227111940039323,0.02586040594615042,0.032537808758206666,0.005969239849946462,0.03659817782463506,0.015472236857749521,-0.4589473858475685,0.4649200089275837,0.031681160908192396,0.027922350156586617,0.016567404731176794,0.022717754123732448,0.018565793556626888,0.035838248278014365,0.011865333252353593,1.5070006767814447e-06,0.9777880609035492
S2_staged,6500,500,1.1884294865516254,1.1412988788763436,,0.04315836727619171,0.03923913836479187,0.06116003286606546,0.05570493140388224,f1516f164fb7d807974b8160eff6a7326c2310b2237fa8da49949c87ad04afe4,continuous AU native,runs/mam_target/staged_v2/task_multitarget/seed123_S2_staged_step6500.json,f6c19063c85652354d727e2ae10df581c471ad2e5e7734e5438f5e37f80f2635,,True,,0.05909502520225942,0.05005535539239645,0.015477742470102385,0.022006316750776023,0.03876704203430563,0.07625392435584218,0.010877395275747404,1.1009910537040923e-05,0.9998516447842121,0.003741845542390365,0.017188167822314426,0.02270311025204137,0.028367867041379214,0.0026228849987091963,0.03659817782463506,0.015472236857749521,-0.47477973625063896,0.42667143866419793,0.02313394582597539,0.024471468402771278,0.012892534997081383,0.017831411887891592,0.01327069420949556,0.035838248278014365,0.011865333252353593,1.5490144036789388e-06,0.9706137016415596
S2_staged,7000,1000,1.1935760481253304,1.1482681043351006,,0.047238994389772415,0.041586704552173615,0.061044221171429755,0.055976940814396345,3e29c236f5819b98a07e8804c6381d3e51cab04aa4f3436d7d965093c76f03f6,continuous AU native,runs/mam_target/staged_v2/task_multitarget/seed123_S2_staged_step7000.json,1638e52a91cf57a24588c705dc06253ae56ff719c009fe583f58d54d00f4e64d,,True,,0.0636011095251888,0.05296506697777659,0.01764988141367212,0.024918533000163733,0.04173889700323343,0.07625392435584218,0.010877395275747404,1.1991499815167116e-05,0.9998442828655243,0.0047020753961987795,0.016358163027325644,0.02322266288101673,0.029173862969037144,0.0030943931626097763,0.03659817782463506,0.015472236857749521,-0.45247065685689447,0.43775185756385326,0.027197306451853365,0.02655940562253818,0.014538979949429631,0.019973996910266578,0.015526535722892731,0.035838248278014365,0.011865333252353593,1.5073190269276893e-06,0.9774554818868637
S2_staged,8000,2000,1.1956177021024097,1.1409473798415353,133.8225315092291,0.04884854704141617,0.041989460587501526,0.062133330986186786,0.05675494977872449,89d98f82e7f742de86ae8418f2029cf313ca24b829bcc4bde6908b17929c9cdc,continuous AU native,runs/mam_target/staged_v2/task_multitarget/seed123_S2_staged_step8000.json,23ab66a58770786ac2a285cf4b9cbe79f0e9c67e981913a310a712d73f382466,2000,True,True,0.06473738448694348,0.053138221404515205,0.01815766600193456,0.02548181402962655,0.04269241443835199,0.07625392435584218,0.010877395275747404,1.0387344360651696e-05,0.9998344138264657,0.006893177126767114,0.017733448755461723,0.024175081483554094,0.030370641546323896,0.004365962182055228,0.03659817782463506,0.015472236857749521,-0.4619824405759573,0.44509835690259936,0.02954894247232005,0.027149543043924494,0.015244225785136224,0.020906532858498396,0.017254385352134704,0.035838248278014365,0.011865333252353593,1.407035377098964e-06,0.9773111924529075
