model,source_index,FRD
seed123_C0_step6000,0,416.87879671741825
seed123_C0_step6000,6,455.9915129735929
seed123_C0_step6000,9,382.2330299894089
seed123_C0_step6000,12,590.9648733870101
seed123_C0_step6000,18,413.1274352846293
seed123_C0_step6000,22,306.1462574831528
seed123_C0_step6000,24,297.83667116268657
seed123_C0_step6000,30,340.6610906918953
seed123_C0_step6000,33,190.8725884081847
seed123_C0_step6000,36,204.00921437126829
seed123_C0_step6000,40,161.63459198969278
seed123_C0_step6000,47,418.34475728202165
seed123_C0_step6000,51,322.11298423852725
seed123_C0_step6000,52,697.5304154273324
seed123_C0_step6000,56,307.6171683456552
seed123_C0_step6000,62,530.0063259821528
seed123_C0_step6000,64,479.6550282780864
seed123_C0_step6000,69,620.0226072663124
seed123_C0_step6000,74,672.6546575209966
seed123_C0_step6000,78,755.0719219579967
