model,source_index,FRD
seed123_C2_step6000,0,353.0704697576673
seed123_C2_step6000,6,359.5565849696786
seed123_C2_step6000,9,358.89381557210095
seed123_C2_step6000,12,464.54004341358257
seed123_C2_step6000,18,322.4192193859014
seed123_C2_step6000,22,273.90791460438123
seed123_C2_step6000,24,274.94563573588056
seed123_C2_step6000,30,263.4448975280609
seed123_C2_step6000,33,179.32102087026306
seed123_C2_step6000,36,173.0443262167679
seed123_C2_step6000,40,129.33302410194972
seed123_C2_step6000,47,341.65916469301106
seed123_C2_step6000,51,267.24762483559135
seed123_C2_step6000,52,574.5580889361482
seed123_C2_step6000,56,264.418558186489
seed123_C2_step6000,62,415.9636010502322
seed123_C2_step6000,64,384.79895869252357
seed123_C2_step6000,69,496.93163348750875
seed123_C2_step6000,74,515.3659553280412
seed123_C2_step6000,78,602.963057674965
