model,step,sources,pairs,FRD,pair_compute_seconds,FRD_step2000,change_from_step2000_pct,gap_vs_MAM_pct
seed123_C0_step6000,6000,20,2000,428.1685964379011,486.218784181925,371.390121737786,15.28809501837063,148.10376053769662
seed123_C1_step6000,6000,20,2000,376.8879860945843,499.6611735309707,365.7746682024382,3.0382962130104163,118.38903513585257
seed123_C2_step6000,6000,20,2000,350.81917975203726,498.90941057895543,329.50798232598225,6.467581536453282,103.28337596298769
