model,source,group,left_block,right_block,left_frames,right_frames,mean_abs_change,candidate_covariance
G0-local,14,AU,0,1,750,750,0.13850901334600277,0.0008245982255923155
G0-local,14,AU,1,2,750,750,0.0726146293002003,-0.0013641826666624484
G0-local,14,AU,2,3,750,750,0.0849822105671295,-0.0034399807564877713
G0-local,14,AU,3,4,750,750,0.10424522384546153,-0.00016741201170047783
G0-local,14,AU,4,5,750,660,0.049387577395728466,-9.14371510630077e-05
G0-local,14,VA,0,1,750,750,0.056512451625291574,-6.080314718523053e-05
G0-local,14,VA,1,2,750,750,0.036176645317327345,-9.728183215442216e-05
G0-local,14,VA,2,3,750,750,0.05112323951537644,-0.0007192917659351258
G0-local,14,VA,3,4,750,750,0.03673092470638494,0.0003166162618254202
G0-local,14,VA,4,5,750,660,0.053092212053136925,-9.549471911530714e-05
G0-local,14,expression,0,1,750,750,0.09299518224433098,-0.0007963646489974795
G0-local,14,expression,1,2,750,750,0.059720548507754614,-0.0009208868804658102
G0-local,14,expression,2,3,750,750,0.07260477046179185,-0.0024862059904143014
G0-local,14,expression,3,4,750,750,0.06897508367130631,0.0005434612362449025
G0-local,14,expression,4,5,750,660,0.07748821136208306,-0.0013256859168895166
G0-local,15,AU,0,1,750,750,0.10665716477202371,0.0006315977548917911
G0-local,15,AU,1,2,750,480,0.10218031564008474,0.0001336782899709491
G0-local,15,VA,0,1,750,750,0.04237641819926654,-2.2841029026424975e-05
G0-local,15,VA,1,2,750,480,0.04449923361145843,-9.65688731382054e-08
G0-local,15,expression,0,1,750,750,0.058639598377138315,-0.0012058087058387556
G0-local,15,expression,1,2,750,480,0.0564228344174972,0.0006813265172172412
G0-local,16,AU,0,1,750,335,0.13995404152504248,0.0008442421202854243
G0-local,16,VA,0,1,750,335,0.05638803423399441,0.0001070730551528296
G0-local,16,expression,0,1,750,335,0.0789262035497897,0.000897170288173208
G0-local,17,AU,0,1,750,750,0.10861255580695849,-0.0024222871248423157
G0-local,17,AU,1,2,750,750,0.10412775945781232,0.0013884546260124015
G0-local,17,AU,2,3,750,750,0.07693447623309325,0.0008897176881676652
G0-local,17,AU,3,4,750,750,0.1108485462119589,-0.0010830816632351387
G0-local,17,AU,4,5,750,96,0.19832094377565657,0.008598451228573813
G0-local,17,VA,0,1,750,750,0.052565893965793406,-0.00019298974536571952
G0-local,17,VA,1,2,750,750,0.048429299983539634,-6.699104353116158e-05
G0-local,17,VA,2,3,750,750,0.03503080682319391,0.0001647493254328619
G0-local,17,VA,3,4,750,750,0.05615239756086691,-0.0005570644727624331
G0-local,17,VA,4,5,750,96,0.11931067563258717,-0.0004138932977820936
G0-local,17,expression,0,1,750,750,0.0739292114376492,0.00040819834976154
G0-local,17,expression,1,2,750,750,0.07893889905622373,-0.00045342532028457504
G0-local,17,expression,2,3,750,750,0.05949525444293698,-6.113201876277865e-05
G0-local,17,expression,3,4,750,750,0.08120649089591583,-0.0017171133223431324
G0-local,17,expression,4,5,750,96,0.12107220300159276,-0.004993044367771478
G0-local,18,AU,0,1,750,750,0.12536809415192146,0.0003094068826610127
G0-local,18,AU,1,2,750,570,0.08630500015473468,-0.0006938304641826415
G0-local,18,VA,0,1,750,750,0.06311697492764895,0.00017050066908870745
G0-local,18,VA,1,2,750,570,0.032165254685617053,1.3916305790620875e-06
G0-local,18,expression,0,1,750,750,0.08346133033077711,0.001274812431137377
G0-local,18,expression,1,2,750,570,0.07736793097652264,-0.0015094069582469553
G0-local,19,AU,0,1,750,750,0.10624829850672735,-0.0005166136282964845
G0-local,19,AU,1,2,750,750,0.08149051558954509,0.0005204792598303776
G0-local,19,AU,2,3,750,85,0.14255928133699872,-0.002131642011896233
G0-local,19,VA,0,1,750,750,0.06111402799085676,0.0005348589328940166
G0-local,19,VA,1,2,750,750,0.045090037972106436,0.0007022317819061889
G0-local,19,VA,2,3,750,85,0.10703790080340445,0.00017383498361217062
G0-local,19,expression,0,1,750,750,0.055618817966262536,-0.0001581951265888077
G0-local,19,expression,1,2,750,750,0.08944313169937443,0.00024866961235068055
G0-local,19,expression,2,3,750,85,0.14690453281116214,-0.0019169616747101328
G0-local,20,AU,0,1,750,359,0.10402049906562662,-0.002121852840645044
G0-local,20,VA,0,1,750,359,0.04855812917600468,0.00010125349674436247
