model,source,group,total,DC,slow,fast,weight,speed,acceleration
G0-local,22,expression,0.04789857454114927,0.012651687403368203,0.03163535458479874,0.0036115325529823173,0.32,0.02478139593172725,0.04265136460288373
G0-local,23,AU,0.10927049651828806,0.01381461127780563,0.08922338852067697,0.00623249671980545,0.6,0.019411453153825562,0.03433871811899655
G0-local,23,VA,0.031976143984720276,0.002433144893751147,0.027464463799106394,0.0020785352918627382,0.08,0.029565363603160047,0.05077063845656544
G0-local,23,expression,0.051827665086978406,0.005650314367850991,0.04225820124961949,0.003919149469507912,0.32,0.025653003905575036,0.044335283985185554
G0-local,24,AU,0.0813551217929305,0.01351316978497506,0.06475325685619054,0.0030886951517648887,0.6,0.012637187420064089,0.022055742031098505
G0-local,24,VA,0.01989328256951684,0.0012673406823927606,0.016587895491434412,0.0020380463956896685,0.08,0.02840100284390749,0.04840516370060227
G0-local,24,expression,0.03406082586684266,0.006365812863908845,0.02476294130187089,0.002932071701062931,0.32,0.020083200240219902,0.034373158035077817
G0-local,25,AU,0.07744730147825843,0.009480209921805772,0.06468839222928868,0.0032786993271639708,0.6,0.012519019787396874,0.02186327642745063
G0-local,25,VA,0.019498405317218314,0.001093175751635811,0.016442863606390214,0.001962365959192285,0.08,0.028521262431073478,0.04880768359124054
G0-local,25,expression,0.03637401061043063,0.004857328186416412,0.028226842336918485,0.0032898400870957443,0.32,0.021822206666022803,0.03774743913928777
G0-local,26,AU,0.096636683164518,0.012432731970899287,0.08130443171736773,0.0028995194762509824,0.6,0.013212006930621826,0.02299502335202932
G0-local,26,VA,0.028988757605768998,0.0018564141172153809,0.025054600079022934,0.0020777434095306836,0.08,0.029147946245781493,0.04969891578772944
G0-local,26,expression,0.050151531861146806,0.004753072105396796,0.04198866043318961,0.0034097993225603957,0.32,0.02331663385878835,0.04007448113032653
G0-local,27,AU,0.07159147318039095,0.0053540639925941285,0.06321061129137251,0.0030267978964243006,0.6,0.01322414667015547,0.023112405027192338
G0-local,27,VA,0.02364085753674716,0.0007298101960379101,0.020975057646689187,0.0019359896940200586,0.08,0.02882298924362959,0.04946877869588512
G0-local,27,expression,0.04328254865566672,0.0039253934451857,0.0360905105099814,0.0032666447004996253,0.32,0.023948770780295968,0.04126516232679326
