model,rho,FRC80,FRC20,exact_FRD20,FRD_pairs,S_MSE80,FRVar80,actual_steps,valid_frames,seconds,checkpoint_sha256,target_side_mean,paired_shuffle_gap
G0-local,0.0,0.977341087330938,0.9763003751372363,139.1408843633149,2000,0.0615004226565361,0.04645656421780586,2000,5716122,22610.6174826622,0a5158c1460fe1bc1ccff47f21ce0cb50daf2323028564806dea0b0e109d936b,0.0655583777238217,0.012773094698786736
G1-shared,0.05,0.6780531163513746,0.6648065941840827,131.14359555386798,2000,0.09431560337543488,0.0398782454431057,2000,5716122,22613.970373868942,5a8dc94daf43530b0f304be38e74d27e384c4eac23b1d346e48ff3179c31e792,0.05046488401971859,0.0076117003336548805
