model,step,FRC,FRD20,S_MSE,FRVar,FRC_relative_vs_MAM_pct,FRD_relative_vs_MAM_pct
MAM native archive,archive,0.810962318916204,172.57642347297096,0.15720370411872864,0.05891159176826477,0.0,0.0
R1 new head + C2 objective,2000,0.5897533618081934,283.2010320836316,0.13861417770385742,0.028756171464920044,-27.277340999473477,64.1018085694578
R1 new head + C2 objective,6000,0.6214835278584534,208.17644542251006,0.1743970364332199,0.05471117049455643,-23.364684972166906,20.62855471976728
