seed,arm,K,actual_steps,source_occurrences,unique_sources,reference_exposures,parameters,compute_seconds,wall_seconds,sources_per_second,peak_MiB,conditional_loss,conditional_cross_distance,conditional_self_distance,marginal_loss,marginal_cross,marginal_self,spread_within_input_descriptor_self,spread_between_input_descriptor_distance,shuffle_correct,shuffle_shuffled,shuffle_gap,AU_cross_distance,AU_self_distance,AU_ES,AU_prediction_std,AU_boundary_fraction,AU_temporal_mean,AU_temporal_std,AU_velocity_abs_mean,AU_velocity_rms,VA_cross_distance,VA_self_distance,VA_ES,VA_prediction_std,VA_boundary_fraction,VA_temporal_mean,VA_temporal_std,VA_velocity_abs_mean,VA_velocity_rms,expression_cross_distance,expression_self_distance,expression_ES,expression_prediction_std,expression_boundary_fraction,expression_temporal_mean,expression_temporal_std,expression_velocity_abs_mean,expression_velocity_rms,expression_expression_entropy
123,C0,32,2000,8000,1646,0,8729496,79.47934179037111,94.3896947799949,100.65508621221618,471.51220703125,0.24310609148815276,0.3857660859823227,0.28531999075785275,0.9223518878221513,1.560654193162918,1.276604601740837,1.1980147644877435,1.302801214158535,0.24310609148815276,0.25678447512909774,0.013678383640944959,0.35800817310810085,0.14057811442762613,0.28771911477670076,0.08698297671508044,0.07742147207500238,0.17967160684056582,0.041185933991800996,0.010029203147860245,0.02246853273536544,0.7138792995363474,0.8663995370268822,0.2806795310229063,0.6544640485197306,0.0,-0.029652816538873594,0.275151857919991,0.04548869906575419,0.1258082770043984,0.29246418122202156,0.15451504038646818,0.215206660842523,0.09167063729837537,0.16408634185791016,0.125,0.04484774833545088,0.010586784034967423,0.025020408642012625,1.3752218402922154
123,C0,64,2000,8000,1646,0,8729496,79.47934179037111,94.3896947799949,100.65508621221618,471.51220703125,0.24432181594893337,0.3853998830541968,0.2821561312302947,0.9267190009355545,1.5660889863967897,1.2787399679422378,1.1998633805662395,1.3050321637342375,0.24432181594893335,0.25783190835888187,0.013510092409948507,0.3577488140203059,0.1382311388850212,0.2886332438327372,0.08602874614298345,0.07895843895021244,0.17703817267902194,0.04201683741994202,0.010037704078422393,0.022737733958638272,0.7121468216180802,0.8575933407992125,0.2833501512184739,0.6534273386001587,0.0,-0.046394937661534644,0.2786466732621193,0.046248553594341504,0.12804448686074466,0.29245432615280154,0.15249146041460335,0.21620859554968774,0.09126884574070573,0.1673809051513672,0.125,0.04566892493749038,0.010735736601054669,0.025494621333200483,1.3684788167476656
123,C1,32,2000,8000,1646,16000,8729496,86.63409650913673,103.87974932300858,92.34239545807802,506.10302734375,0.24788588611409068,0.37713225837796926,0.258492743037641,0.8225775375962258,1.2905513674020768,0.9359476566314697,0.8970878805965186,0.9489009153097867,0.24788588611409065,0.2657602389653524,0.017874352851261693,0.35812566308304666,0.14184810384176672,0.2872016107663512,0.09911009892821313,0.09086629682569765,0.19596802932210267,0.036347077938262376,0.02123506432690192,0.04043419189401902,0.6546885430812837,0.7204970713704825,0.29444000739604237,0.5632228365167975,0.0,0.012000275350510493,0.11880612755194306,0.02276454898528755,0.05415198183618486,0.2888001770712435,0.13777536456473172,0.21991249481216074,0.08022367912344636,0.19717922210693362,0.12499999990686775,0.033834862615913154,0.01978695730067557,0.04064700769085903,1.3287574246525764
123,C1,64,2000,8000,1646,16000,8729496,86.63409650913673,103.87974932300858,92.34239545807802,506.10302734375,0.2458271567709744,0.3779938573017716,0.26433340143412354,0.8147616714239121,1.2991223186254501,0.9687212839722634,0.9321615535765886,0.9809078607708215,0.24582715677097436,0.2633645300132533,0.01753737324227889,0.35844680164009335,0.14167865733616053,0.2876074736006558,0.10090643051080406,0.09114365106215701,0.1956649761646986,0.035426139237824825,0.021004242298658937,0.039895739156054336,0.6584512080997229,0.7418221175670623,0.28754014931619165,0.5844962149858475,0.0,0.019711597223431455,0.12005449389107525,0.022953015309758483,0.05445645408472046,0.2890875349752605,0.1425438451115042,0.21781561081297696,0.08336722529493273,0.1908848762512207,0.12499999990686775,0.033595977025106555,0.019831039353448432,0.0407387242797995,1.335770248621702
123,C2,32,2000,8000,1646,16000,8729496,87.03247652389109,104.00852890097303,91.91970996946108,506.1025390625,0.2442099609412253,0.3866371762007475,0.2848544316366315,0.7784739419817925,1.3654768586158752,1.1740058347582818,1.115575408935547,1.19348264336586,0.2442099609412253,0.26142390863969917,0.01721394769847393,0.3601325611583889,0.1481017435900867,0.28608168847858906,0.09547814866527915,0.047444155216999205,0.20143820568919182,0.046316382323857395,0.031229038737365045,0.06015857327729464,0.7100014965981245,0.8341592334210872,0.29292188007384534,0.6557008385658265,0.0,-0.05621472775819711,0.13467175504192708,0.024441495205974207,0.05867966895457358,0.289660201407969,0.13795927832834423,0.22068056287243962,0.07584679007995873,0.1411752700805664,0.1249999998137355,0.04676638304954395,0.03117228338378482,0.06570076615316793,1.3817789852619171
123,C2,64,2000,8000,1646,16000,8729496,87.03247652389109,104.00852890097303,91.91970996946108,506.1025390625,0.2441258513368666,0.3871169749647379,0.28598224790766835,0.7796582341194154,1.3666960477828978,1.1740756258368492,1.1144174557179212,1.1939616825431585,0.24412585133686662,0.26120789057264726,0.017082039235780635,0.35919065941125156,0.14449450741522013,0.2869434058666229,0.09529095129109919,0.05054769152393419,0.19889034908264874,0.045736207842128354,0.030797401364543474,0.05962138285976834,0.7184690829366445,0.8425888113677502,0.2971746776252985,0.6671239167451859,0.0,-0.04954443831957178,0.1333285929635167,0.024309337756130846,0.05840623623225838,0.2896406650543213,0.13856786750257016,0.220356731582433,0.07645689360797406,0.1475587844848633,0.125,0.04700810288777575,0.031213656364707278,0.06617476012324913,1.3672838069498539
42,C0,32,2000,8000,1648,0,8729496,78.65172475410509,94.9688535000023,101.71423481190034,471.51220703125,0.24568652492016554,0.39782451111823325,0.3042759742587805,0.9387447744607926,1.7070909887552261,1.5366924196481704,1.432589778676629,1.5713932999720175,0.24568652492016552,0.26288599086304504,0.017199465942879518,0.36521217655390503,0.1530433869920671,0.28869048310443757,0.09968547127209604,0.030693462727094813,0.23951951395720245,0.036699822754599154,0.012010714763891883,0.024972697120392698,0.7692994195967913,0.9282510787248611,0.30517388023436065,0.7018365204334258,0.0,0.014501244007260538,0.24527104878798128,0.056824517576023935,0.1499862692086026,0.2883858562447131,0.14351670406758785,0.21662750374525785,0.08371964355465025,0.14537391662597657,0.12499999990686775,0.030399960256181656,0.010582867180346511,0.02294452557980549,1.3532876823097468
42,C0,64,2000,8000,1648,0,8729496,78.65172475410509,94.9688535000023,101.71423481190034,471.51220703125,0.24442089898511768,0.3957959312945604,0.3027500631287694,0.9513041079044342,1.7248425990343095,1.5470769703388214,1.4432444788515568,1.5816878008345765,0.24442089898511768,0.2615215400854746,0.017100641100356976,0.3634444411844015,0.1523721947334707,0.2872583443298936,0.09960458041168749,0.032829082894022574,0.23373429914936422,0.038429108122363685,0.012172451170044951,0.02585997934220359,0.7626726724207402,0.9256252281367778,0.2998600583523512,0.7048447161912919,0.0,-0.02543654424371198,0.2527081468142569,0.0584289655671455,0.15468417208176105,0.2880055505782366,0.14320687567815182,0.21640211213380098,0.08443062813021243,0.14899606704711915,0.125,0.03138037509052083,0.010823024876299315,0.023588105075759813,1.3605576917529105
42,C1,32,2000,8000,1648,16000,8729496,86.04375328411697,103.27542561700102,92.97595344991464,506.10302734375,0.24527677791193128,0.39144546184688805,0.2923373686149716,0.7899485945701599,1.3772071868181228,1.1745171815156936,1.1347318705171348,1.1877789518485469,0.24527677791193125,0.26236996455118056,0.017093186639249323,0.36385932266712184,0.15193906901404264,0.28788978783413766,0.10443131220526994,0.02766805156625196,0.23439640244469045,0.04607258068863303,0.02411623423395213,0.04440453684073873,0.7211321499198675,0.8610876187682152,0.2905883405357599,0.6694118242710829,0.0,0.07479977510374737,0.14006754253059625,0.02193044808227569,0.05715715065598488,0.29002111023291943,0.1398887843824923,0.22007671780884266,0.08122924123890699,0.1294330596923828,0.12499999995343387,0.040572514617815615,0.02139856756257359,0.04284460248309188,1.393297453224659
42,C1,64,2000,8000,1648,16000,8729496,86.04375328411697,103.27542561700102,92.97595344991464,506.10302734375,0.2466298990882933,0.39316082242876293,0.29306184677407143,0.798103043437004,1.3964185833930969,1.1966310799121858,1.1550799157470464,1.2104814679672318,0.24662989908829333,0.26332159563899044,0.016691696550697088,0.36358018238097434,0.14947045613080262,0.28884495450183745,0.10524233644828201,0.027306621606709314,0.23216694910079239,0.04427270721644163,0.023842450787196868,0.04385510929278098,0.7346375957131386,0.8741035595536233,0.29758581593632694,0.6806146405637264,0.0,0.07957794981775805,0.15054092649370432,0.022479423676850276,0.05925602080533281,0.2902228495106101,0.13636856242083012,0.22203856860287488,0.08133322431240231,0.13028430938720703,0.12499999995343387,0.03941362206824124,0.02125890821334906,0.042363158386433494,1.392972641438246
