arm,index,session,length,covariance_RMSE,autocorr_lag1_MAE,autocorr_lag1_valid_channels,autocorr_lag10_MAE,autocorr_lag10_valid_channels,autocorr_lag30_MAE,autocorr_lag30_valid_channels
C2,39,session17,516,0.02409206361402882,0.37113077712247483,11,0.12750429818426393,11,0.13266881679722248,11
C0,40,session18,271,0.021480189171596584,0.28323821693109785,10,0.13963002047456685,10,0.09447246666939284,10
C1,40,session18,271,0.013224433258915655,0.418950506589092,10,0.09192482230606322,10,0.04496312228232996,10
C2,40,session18,271,0.012794221068332222,0.4381260316651575,10,0.15273524590800147,10,0.05815562634973159,10
C0,41,session18,511,0.026734247779935844,0.1736491208616971,10,0.17716535631540847,10,0.15537288245896294,10
C1,41,session18,511,0.01767057804034124,0.2148852909432883,10,0.18575635749970468,10,0.22837264088915857,10
C2,41,session18,511,0.0195016016227174,0.3990654779206371,10,0.1496662662048329,10,0.14483316243218733,10
C0,42,session18,1350,0.023574047041784944,0.24473740728917112,10,0.252153914819641,10,0.24356785062540576,10
C1,42,session18,1350,0.016599046394506864,0.3131000298924446,10,0.23828495979116399,10,0.23854254209615883,10
C2,42,session18,1350,0.016536798582867687,0.3552606517005483,10,0.18558284034179512,10,0.18706866963973018,10
C0,43,session18,1056,0.02297190918589811,0.14447498966621888,10,0.12058989939602063,10,0.08579776079391259,10
C1,43,session18,1056,0.018977154876806637,0.3416023498511168,10,0.22156829128750027,10,0.21919779094629668,10
C2,43,session18,1056,0.018159839913308256,0.32186524668470406,10,0.19394938793468414,10,0.20239664910574118,10
C0,44,session19,2403,0.034448001509140194,0.1549214870670677,16,0.20206669620452344,16,0.1844362956083545,16
C1,44,session19,2403,0.028587746653869695,0.18155935799799094,16,0.10304914696330018,16,0.11587311586357585,16
C2,44,session19,2403,0.02836649161228649,0.2205534511769961,16,0.09996159542816184,16,0.12406182248810951,16
C0,45,session19,2251,0.03379483169231899,0.21610244921764943,16,0.21339377291712103,16,0.12880225316398256,16
C1,45,session19,2251,0.031170378309769257,0.20978621000227096,16,0.08401580039870624,16,0.0959480199566899,16
C2,45,session19,2251,0.02897970211170938,0.301178730602749,16,0.10737844199242735,16,0.10345402975027548,16
C0,46,session19,3687,0.032679367572838076,0.14491495270402718,17,0.18877398101813683,17,0.1621933100818204,17
C1,46,session19,3687,0.023880558851596696,0.1882365707897341,17,0.10618680188291563,17,0.11069185422241189,17
C2,46,session19,3687,0.026031595536149588,0.22077825257643954,17,0.11333424849531362,17,0.12733387529839807,17
C0,47,session19,1800,0.03848068517832374,0.14627265058815606,17,0.1794095352171979,17,0.18002970758881298,17
C1,47,session19,1800,0.034846074415020634,0.21392029055030973,17,0.1151808757374796,17,0.1448644913519923,17
C2,47,session19,1800,0.03346121317087873,0.31986625434685545,17,0.10824658052196255,17,0.11405768300442955,17
C0,48,session2,935,0.03437953927981199,0.28265990614826914,15,0.24486808455385506,15,0.14505489532788324,14
C1,48,session2,935,0.02962083005535603,0.29399643211852283,15,0.1500249338365332,15,0.16630352626177206,14
C2,48,session2,935,0.027971870209108907,0.35165196971566726,15,0.17059082397117126,15,0.18538507159546508,14
C0,49,session2,1234,0.025283232380038493,0.18633083757979876,11,0.19227017044217048,11,0.183812914066893,11
C1,49,session2,1234,0.017410079784796004,0.26716378706081195,11,0.1818458165659206,11,0.14405147428516418,11
C2,49,session2,1234,0.016541162438762674,0.26302994268191615,11,0.19037868251953619,11,0.21805015988929613,11
