seed,arm,steps,FRC,single_paired_FRC,target_side_mean,one_to_one_mean,FRVar,S_MSE,TLCC
123,C0,1000,0.48762592675416555,0.35324135456611633,0.020326081065043862,0.01831127666896239,0.018866918981075287,0.08201555907726288,43.287498474121094
123,C0,128,0.27327926747682,0.19549157707204234,0.010202779660391934,0.00970398154862171,0.002534456318244338,0.031198566779494286,43.20000076293945
123,C0,2000,0.45579845378150335,0.33022799451334983,0.02275531210513764,0.01987367274332575,0.02015005052089691,0.09337934851646423,43.224998474121094
123,C0,500,0.4709426408879892,0.3488678973948264,0.019804224844310686,0.01830497444112452,0.01682140864431858,0.06478659808635712,43.212501525878906
123,C1,1000,0.5770180497676597,0.4151186037070554,0.022898579089409878,0.02107288418746762,0.016627036035060883,0.07281466573476791,43.224998474121094
123,C1,128,0.2823399708356796,0.19050001198339667,0.012238677288868316,0.011099933134284553,0.006053663790225983,0.018442446365952492,43.212501525878906
123,C1,2000,0.4721996515750595,0.3474606854273766,0.02126708326535994,0.0180858733825066,0.00798477791249752,0.08449921011924744,43.25
123,C1,500,0.5223110509029406,0.3883204460638531,0.021621785362529473,0.02013839813747163,0.013711570762097836,0.06294728815555573,43.23749923706055
123,C2,1000,0.5645317259091629,0.4120843643055133,0.02132471676744479,0.01895678150950681,0.01697310246527195,0.020367836579680443,43.1875
123,C2,128,0.3690942433993324,0.2709497722730331,0.010966755306358874,0.010465316008020902,0.005295196548104286,0.0007096519111655653,43.20000076293945
123,C2,2000,0.612682533169979,0.4336208978246299,0.02192663404747251,0.02069390770049808,0.017380036413669586,0.033017341047525406,43.1875
123,C2,500,0.5846564487411453,0.4379595250580989,0.020042575232679993,0.01895176091573903,0.018808696419000626,0.027156706899404526,43.1875
