pairing,model_minus_G0,source,group,r_contribution,scale_contribution,mean_contribution
A_native,T0,0,AU,0.0005661639846089931,-3.966671507261467e-05,0.0036205558749801063
A_native,T0,1,AU,-0.021893740354718163,-0.005616252926984588,0.006332776816966855
A_native,T0,2,AU,0.0009123905272284829,0.0014284857423612408,0.006978288308012921
A_native,T0,3,AU,-0.020865526440663123,-0.0072764646676981865,0.010413780280051108
A_native,T0,4,AU,0.00445142177586841,0.004198291781656396,0.0007019191328207057
A_native,T0,5,AU,0.0014686062602161758,0.008204856160683786,0.000123383564353335
A_native,T0,6,AU,0.0021670338353459197,-0.0011507253374015332,0.0027523522144438334
A_native,T0,7,AU,0.007252911502058583,0.0035808233938881113,0.002829925878387003
A_native,T0,8,AU,-0.008375536718491094,0.0028240822924371655,0.0018728286373418809
A_native,T0,9,AU,0.016224221753856658,0.013330281681571679,0.010129634017103985
A_native,T0,10,AU,0.01785155809976479,0.0026415472203559095,0.007129327530524033
A_native,T0,11,AU,-0.016689032600746913,-0.004594774473273612,0.0022596057411895733
A_native,T0,12,AU,-0.00935955398690646,0.0007268478401314593,0.0015668569035431823
A_native,T0,13,AU,0.0001331153951704476,0.002661232335221817,0.002588565776311211
A_native,T0,14,AU,-0.0047702871606519065,0.0011035590147301785,0.0008047552652224238
A_native,T0,15,AU,0.0016601336432664005,0.007529786211549657,0.004699560741649275
A_native,T0,16,AU,-0.011869515941220689,0.0005739845768130943,-0.0028384835800804456
A_native,T0,17,AU,-0.010339822525656015,0.003091552288514789,0.005162550939868139
A_native,T0,18,AU,-0.01872254837344024,0.0037093416606875113,-0.000271683178149427
A_native,T0,19,AU,-0.006877887696154348,-0.00200542060454631,-0.0009200965691081262
A_native,T0,20,AU,0.012997176847450638,0.003592056211384834,0.0038624806855047876
A_native,T0,21,AU,0.017554538392238205,0.004223603895360233,0.011807746611717119
A_native,T0,22,AU,-0.020715903680631347,0.0005231437182456312,-0.0023013649579916714
A_native,T0,23,AU,0.021077364306093672,0.003419289830662267,0.003434448500225361
A_native,T0,24,AU,-0.013660126387789585,-0.00455765013913014,-0.011658645405701665
A_native,T0,25,AU,0.012947631621145345,-0.005408353646928643,-0.015358653682269555
A_native,T0,26,AU,-0.018069432582227537,0.00010280578589420395,-0.005681803272664788
A_native,T0,27,AU,-0.027584786449401807,-0.0052665073014983976,-0.0028393992146454085
A_native,T0,28,AU,-0.023075063404253526,0.001780684708862388,-0.005587521394635446
A_native,T0,29,AU,-0.043946254578418144,-0.027349029342018927,-0.0044379868390980355
A_native,T0,30,AU,-0.06193176194925288,-0.02317127824464377,-0.0044430500718288905
A_native,T0,31,AU,-0.009095125365956313,-0.0023511998466177932,-0.006338362070938719
A_native,T0,32,AU,-0.001768787070642291,-0.00019635532488465021,0.004473506098357305
A_native,T0,33,AU,-0.09605895054103279,-0.025312786082358065,-0.012432761124235829
A_native,T0,34,AU,-0.009008082856651415,0.00813674816671608,0.005318205544776708
A_native,T0,35,AU,-0.04313906387948872,-0.0066500251494963775,0.003953805699724664
A_native,T0,36,AU,-0.056842212651198334,-0.0117775509687655,-0.0006751967230139244
A_native,T0,37,AU,-0.00577364142417043,0.009825820081334924,0.007442598721317536
A_native,T0,38,AU,-0.08366823344937112,-0.011240640403354308,-0.011578570200894645
A_native,T0,39,AU,-0.07137959093415772,-0.0020530875515074516,0.002035180812347661
A_native,T0,40,AU,-0.017530914172984677,0.02096385342170713,0.006204145846471753
A_native,T0,41,AU,-0.02870510839855422,-0.007269050197649112,-0.004911332129479481
A_native,T0,42,AU,-0.02686084706224338,-0.008661244080601729,-0.0003064091594196174
A_native,T0,43,AU,0.015877340971591138,0.017721542826141974,0.011481225472660542
A_native,T0,44,AU,-0.0035018287706764907,0.006801041990832708,0.00915152053643937
A_native,T0,45,AU,-0.07392357334438136,-0.004165563782415598,-0.007684806441806771
A_native,T0,46,AU,0.011512642051804347,0.014727362573908429,0.009265337230213827
A_native,T0,47,AU,-0.0011928970699882147,0.004846682866866797,-3.074858414737036e-05
A_native,T0,48,AU,-0.005865889585138307,0.004633291513954123,0.0050158005503830915
A_native,T0,49,AU,0.0385573135920632,0.00625787825882401,0.015188310837864283
A_native,T0,50,AU,-0.06588712874832994,-0.0007259617582733596,0.005531558507340577
A_native,T0,51,AU,0.008741149704100334,0.007799215505447106,0.0037317688171888785
A_native,T0,52,AU,-0.05241722205952303,-0.002937932228610805,-0.0008493662180811813
A_native,T0,53,AU,-0.05480704819627628,0.002230075525776875,0.002027317229729346
A_native,T0,54,AU,-0.03837919824091745,0.0016691265286833301,0.005324180117974583
A_native,T0,55,AU,-0.07450448325880851,0.0028797340920510427,0.0038743290118010455
A_native,T0,56,AU,0.001508548039964189,0.0073723747937274615,0.0002307258245349636
A_native,T0,57,AU,-0.03742985358942837,-0.004570636363838724,-0.010416481024098144
A_native,T0,58,AU,-7.042707451360078e-05,0.015865390817052953,-0.004179062976319782
A_native,T0,59,AU,-0.005558462822536151,0.01117203132379518,0.003232545137392297
A_native,T0,60,AU,-0.009548521964108644,-0.00014985720610164496,-0.0008132400254943058
A_native,T0,61,AU,-0.024988536142994743,-0.0028259409526092696,-0.005043658225645344
A_native,T0,62,AU,-0.004378816028651174,-0.006199950597588198,0.0018938844776206273
A_native,T0,63,AU,-0.037561375327627655,-0.003506419247035332,-0.0031204503172663775
A_native,T0,64,AU,0.007043781913658583,0.003784525108339903,0.0031275611993498
A_native,T0,65,AU,0.009451236275243708,0.004485696102752273,-6.309575362364632e-05
A_native,T0,66,AU,0.013462804226962711,0.001045295408110482,-0.00038955520298181623
A_native,T0,67,AU,-0.004563622582740767,0.003824711894001304,0.006479683414574625
A_native,T0,68,AU,-0.003955002282344393,-0.0028209789180646916,0.0004104473015119663
A_native,T0,69,AU,-0.008210875819189924,-0.007016257638348271,-0.0005571037405979675
A_native,T0,70,AU,-0.004776474096813379,-0.013161938121891058,-0.0010560978594196474
A_native,T0,71,AU,-0.012057143519298848,-0.009276269625940504,-0.0016087936628199444
A_native,T0,72,AU,-0.010493439368998655,0.000379117962381319,-0.002794539932734923
A_native,T0,73,AU,0.013795651892723235,0.003352693360707934,-0.00010242903778798995
A_native,T0,74,AU,-0.0010082571326928032,-0.0019125128114518804,-0.006805031962928068
A_native,T0,75,AU,-0.012614190137249239,-3.7926840818490736e-05,-0.0017740171565714831
A_native,T0,76,AU,-0.029916084255747002,0.005453911912459163,0.003078610000236797
A_native,T0,77,AU,-0.033722899267895644,0.00027751571649702506,-0.0003830581351358059
A_native,T0,78,AU,-0.0027090576423346737,0.0008545535325874912,0.0006896033844418153
A_native,T0,79,AU,-0.0030941807598505733,0.0032276905265144176,0.0049945074947936015
A_native,T0,0,VA,0.022167132828955237,0.002032718815978887,0.01575656427510947
A_native,T0,1,VA,-0.08438989126792291,0.01713011718828103,-0.06333032395865111
A_native,T0,2,VA,-0.03424255035397065,-0.003407714520898998,0.004828243854525155
A_native,T0,3,VA,-0.08665904038661913,0.002969084298182886,-0.06727387896490727
A_native,T0,4,VA,0.03676354116272586,0.0036247229525982042,0.023693951705160973
A_native,T0,5,VA,0.06573559824586246,-0.010070427508841509,0.003834956605444505
A_native,T0,6,VA,0.007942153804357697,0.003949727268197498,-0.012806844240110356
A_native,T0,7,VA,-0.01741334684127032,0.0068051466027440905,0.005026273826312598
A_native,T0,8,VA,-0.04111508292207945,-0.0003258581786178811,-0.012539866481530226
A_native,T0,9,VA,-0.05746745870105861,0.003270359213668298,-0.013590410697966617
A_native,T0,10,VA,0.009213603362866979,0.023109946514399408,0.006195484507245014
A_native,T0,11,VA,-0.05010194621078349,0.013204464291330778,-0.02635942569093568
A_native,T0,12,VA,0.011886285477012967,0.004043028401982258,0.006507209292660518
A_native,T0,13,VA,-0.02450400337764604,0.0028402459408678514,0.01669227631713991
A_native,T0,14,VA,-0.017420853093252663,0.016517093267635403,-0.003679051160629593
A_native,T0,15,VA,0.008746646095542534,0.0007849096921225521,0.0019160145022519138
A_native,T0,16,VA,0.012619596546145057,0.009628900633457109,-0.007022596377740248
A_native,T0,17,VA,-0.005729817168433886,0.006879953887763522,-0.006292484972933598
A_native,T0,18,VA,-0.03468570771270889,0.0015160131392799887,0.003438286719173082
A_native,T0,19,VA,0.01912047786310299,0.01258710153364397,-0.006295632544775029
A_native,T0,20,VA,0.03759696709771089,0.0009262003953779385,0.023472254442637557
A_native,T0,21,VA,-0.01947758727910021,-0.0037537140323330763,0.016896272352920617
A_native,T0,22,VA,0.018975403764996866,-0.0046627231631467215,0.019354477968753413
A_native,T0,23,VA,-0.0673070463881815,-0.004049833690007471,0.010431723101061144
A_native,T0,24,VA,0.008852986554204297,0.0024485973484321567,-0.025754928226215022
A_native,T0,25,VA,0.023687144221897754,0.01118689937944129,-0.05414190639073276
A_native,T0,26,VA,-0.04974329590894354,0.011899461382734886,-0.038837513173122326
A_native,T0,27,VA,-0.08285416095877111,-0.00327080626397874,-0.008939171411869626
A_native,T0,28,VA,-0.04608206502297537,0.00244291363491688,0.004642233737316567
A_native,T0,29,VA,-0.06402044252738316,-0.0013238231141110366,0.010902013236093664
A_native,T0,30,VA,-0.03596316015184943,0.01306198093195785,-0.0066940178434255395
A_native,T0,31,VA,-0.009173466614531108,0.004140173784454407,0.003344982183587704
A_native,T0,32,VA,-0.23009236691016094,0.008483523320219125,-0.0013126189926465155
A_native,T0,33,VA,-0.10754699214680674,0.0005731826562690865,-0.040517900991116
A_native,T0,34,VA,-0.05173738370246437,0.01849161616565121,0.010053568442969731
A_native,T0,35,VA,-0.009971036799791338,0.002518434669210229,0.03079424516921473
A_native,T0,36,VA,-0.11872299910181379,0.01741487328329278,-0.009036087645964246
A_native,T0,37,VA,-0.08594954105803232,-0.008026801464899203,-0.014450677369363252
A_native,T0,38,VA,-0.10750568226494928,0.006782890039066817,-0.04368566853162327
A_native,T0,39,VA,-0.07111646026418043,0.054433060697428315,-0.005600281779407671
A_native,T0,40,VA,-0.013146710804190664,0.005009001190881263,-0.00018222991069984773
A_native,T0,41,VA,-0.0014152521593025565,0.005247956979446815,-0.01894411341559037
A_native,T0,42,VA,-0.0009614350035569708,-0.0014354829029238061,-0.00015580031475562114
A_native,T0,43,VA,-0.06204843297540783,-0.002575173627326007,0.04756626307109053
A_native,T0,44,VA,-0.053744477789510234,0.009083779189725402,-0.001632761400016658
A_native,T0,45,VA,-0.10042441248151306,0.011079685339006249,0.018136715835571384
A_native,T0,46,VA,-0.016100113899408037,0.019437871499281993,0.012500421885051882
A_native,T0,47,VA,-0.028919717401834532,0.019690745106946513,0.019932909536077327
A_native,T0,48,VA,0.016784583723176837,0.0015230653596104,0.011549278773031196
A_native,T0,49,VA,0.008252791549164905,0.008577596517160672,-0.02620185070083042
A_native,T0,50,VA,0.014664918834655125,-0.004270852478407033,0.04124640829766289
A_native,T0,51,VA,0.0927805630580347,0.009430887590062002,-0.013741088298451207
A_native,T0,52,VA,-0.04974305809126896,0.00456964803849606,-0.003133508959762326
A_native,T0,53,VA,-0.0501269779211003,0.018171117292226265,0.00992657005875367
A_native,T0,54,VA,-0.029288770809719773,0.0015352413468438144,-0.018648017426080632
A_native,T0,55,VA,-0.08849629638416018,0.009516052799256393,0.01554721374454246
A_native,T0,56,VA,-0.023413525729992484,0.009977369064796534,0.03080777554663064
A_native,T0,57,VA,-0.004848461759031831,0.0035172410471755373,-0.005501987103558028
A_native,T0,58,VA,-0.015930914150633513,0.007206114036715235,-0.02248413120687465
A_native,T0,59,VA,-0.02575627014062303,-0.001909043179679683,-0.0032534835327969213
A_native,T0,60,VA,-0.014288711487507483,0.003306826338490594,0.009138329193881918
A_native,T0,61,VA,-0.029626084988704622,0.0031678950750283165,-0.010771187116949141
A_native,T0,62,VA,-0.03164480424525594,0.0038061076550893374,-0.0019984932215823016
A_native,T0,63,VA,-0.014686451116977944,0.014556207667909674,0.005278023439086765
A_native,T0,64,VA,0.06705314430016197,0.0033158681306949536,0.007827169378882573
A_native,T0,65,VA,0.017737288709199373,0.002532875635409686,-0.00504068431764707
A_native,T0,66,VA,-0.026430794392922445,0.001597981968196474,0.005623485901653378
A_native,T0,67,VA,0.012124630955718993,0.0031728709625024423,0.013508100995914384
A_native,T0,68,VA,-0.022228214377746892,0.0011986045496222356,0.0013643205878021245
A_native,T0,69,VA,-0.0288292471044087,0.002490499088045002,0.007421179640219269
A_native,T0,70,VA,-0.07014227661892494,0.0015629742663878573,-0.0026766755426223545
A_native,T0,71,VA,-0.07151228457994083,0.004954094672902108,0.011331278597632239
A_native,T0,72,VA,0.001048227325323929,0.006222971128184711,-0.010656933615983735
A_native,T0,73,VA,0.023310891325999807,0.01822448377151075,-0.0008983897425686646
A_native,T0,74,VA,-0.005850884926330524,-0.0005702938539475822,-0.006156299332623989
A_native,T0,75,VA,-0.009748270911756934,0.0017837946088393726,-0.002132664959184417
A_native,T0,76,VA,-0.06764105083932956,0.013369056309489235,-0.0003795153566148407
A_native,T0,77,VA,-0.051728270904746264,0.0185475725162051,-0.0021405903279314094
A_native,T0,78,VA,-0.028845235786350825,0.002189992892243547,-0.009234908746553902
A_native,T0,79,VA,-0.01666403032293395,-0.004892917776627972,0.015856216156355154
A_native,T0,0,expression,0.015459197599507285,0.00440296329125975,-0.0011005251490048408
A_native,T0,1,expression,-0.03068821907817393,-0.016725863472030016,-0.0006572566233948884
A_native,T0,2,expression,-0.00048719594772216046,0.006567624812856783,0.005193357834275332
A_native,T0,3,expression,0.001798358569636141,-0.004419107365498806,0.0011208424723808045
A_native,T0,4,expression,-0.015543863121194596,0.0026614872807233596,0.0018780396179181869
A_native,T0,5,expression,-0.02878221436894075,0.0028340712281517072,-0.006366428044023734
A_native,T0,6,expression,-0.002584066359375023,0.0010923111596559155,-0.0003721883481380351
A_native,T0,7,expression,-0.003118559722189439,0.0072862023752895385,0.0002145559126287177
A_native,T0,8,expression,-0.01787853999866891,-0.003158334270076459,0.0018519103652226462
A_native,T0,9,expression,-0.03629518348105022,0.006872967694832819,0.005209467053261005
A_native,T0,10,expression,0.017121521798322634,0.00727059011089021,0.004150251373616909
A_native,T0,11,expression,-0.033712903027268745,-0.004498277462420203,-0.00251172655170792
A_native,T0,12,expression,-0.004067615770678682,0.011911602189373259,0.010098335324869341
A_native,T0,13,expression,0.010632931444106182,0.00197757718593335,0.0031469233937018266
A_native,T0,14,expression,-0.013604524286121338,0.006134140080267277,0.0005586269549218068
A_native,T0,15,expression,0.001290508604323077,0.003887932522777199,0.0030678997989678847
A_native,T0,16,expression,-0.011335617878146728,0.003618618734936048,-0.006976717718636
A_native,T0,17,expression,-0.006138807285768402,-0.004471807404654811,3.06748896811676e-05
A_native,T0,18,expression,-0.024690609196039548,-0.0011493808185837706,-0.004676313665598971
A_native,T0,19,expression,-0.019628680203824724,-0.0004957347964571209,-0.0008310277955148368
A_native,T0,20,expression,0.008253287424788104,0.0028490508461314424,0.0003671129727371598
A_native,T0,21,expression,0.02283751333317621,0.005280517419006536,0.003920585584945895
A_native,T0,22,expression,-0.01688936785831609,-0.0008954330761167569,0.0050157617998584075
A_native,T0,23,expression,-0.007471191080937273,0.009791547474408257,0.003970473488475189
A_native,T0,24,expression,0.01741330330450206,-0.003281920112392607,0.005285325473910855
A_native,T0,25,expression,0.005116223507333989,0.004560380298225075,-0.0044526740545432
A_native,T0,26,expression,-0.019789260771228483,0.0023255953520554306,-0.00610355140241417
