pairing,model,group,ccc,GT_zero_mean_ccc,mean_mismatch,mean_fraction,std_ratio,scale_factor,mean_factor,pearson_r,constant_p,constant_y,pearson_undefined_fraction,pearson_r_within_q10,pearson_r_within_q50,pearson_r_within_q90,std_ratio_within_q10,std_ratio_within_q50,std_ratio_within_q90,pearson_r_source_q10,pearson_r_source_q50,pearson_r_source_q90,std_ratio_source_q10,std_ratio_source_q50,std_ratio_source_q90,mean_fraction_source_q10,mean_fraction_source_q50,mean_fraction_source_q90,ccc_source_q10,ccc_source_q50,ccc_source_q90
A_native,G0-local,AU,0.10551686295205198,0.11733150015476083,0.04490989537701047,0.20039382018287483,0.7338197030002231,0.42703857520811245,0.7996061798171252,0.17629607351697654,0.0,0.27291666666666664,0.27291666666666664,-0.08996412730921474,0.16076845628421765,0.4861723986188882,0.0006751967138268356,0.6476008969359099,1.4625545106083155,0.08031932525458098,0.157639618559123,0.29318665812219696,0.49241964574530755,0.6635504647034578,1.0267316238351485,0.14073989909689846,0.1950386875135929,0.2729638703207556,0.04029348536884536,0.09590460758864383,0.18544434510876345
A_native,G0-local,VA,0.13869805912248348,0.1826418786152889,0.0454507526022012,0.3070805874623493,0.6996895592939109,0.8367092275443042,0.6929194125376508,0.2182652545218872,0.0,0.0,0.0,-0.029621984754132184,0.23130957784747236,0.4550278296113593,0.4078794583678246,0.6194734279066324,1.0376811288297179,0.09172249792246727,0.2150132819360955,0.3501346831475851,0.5345060758292675,0.6733947288244962,0.9018465045094493,0.15024891897050632,0.30309692361592777,0.4329216153381997,0.05451547654039149,0.12902665349310016,0.2500685256576751
A_native,G0-local,all,0.0977341087330938,0.11208173737215477,0.039197186161645504,0.20181077510466774,120.67330922645473,0.4808675537328019,0.7981892248953322,0.15567612851515206,0.0,0.16375,0.16375,-0.09082867856165687,0.1255551712233139,0.4574213719893989,0.001927431322305893,0.6421012884005904,2.5116279120743275,0.07415254801453208,0.14712298652775718,0.2538958287191363,0.7458437923206301,3.5551138492421632,18.192026020551967,0.14835132663500428,0.19784225008596482,0.256919283499357,0.038237467426425156,0.09062388101023745,0.15298354535569608
A_native,G0-local,expression,0.07290045697519976,0.08459839684398483,0.02692246477269728,0.1781501124936091,302.5513876936998,0.49283647001371883,0.821849887506391,0.113762367530824,0.0,0.0,0.0,-0.09053591734794576,0.07127691509860991,0.38734889407731554,0.013695786571024656,0.6493334462866187,276.07234112381957,0.04581315995243557,0.09486422114041713,0.21671663461689403,0.9084915017681943,7.77338765950808,44.92740072136489,0.12939828086501695,0.16966490830685926,0.23834297227239565,0.0271979852229552,0.06727307555249046,0.11742977517194211
A_native,G1-shared,AU,0.06690226114477646,0.07571271999572231,0.056372778495471745,0.21940688189810653,0.6626762195486862,0.3856220840651249,0.7805931181018935,0.12482101372650889,0.0,0.30041666666666667,0.30041666666666667,-0.06672094036039013,0.09263324608237508,0.37812528257613837,9.749958142606376e-05,0.5019860462754877,1.4577280724793673,0.05209655421389598,0.1130829105236614,0.2182334114606419,0.4239059517611858,0.6277931289000935,0.9070402566242667,0.1663037672644307,0.2179188166076357,0.2782964883301263,0.024015772848947358,0.06025538196980981,0.11169787265575884
A_native,G1-shared,VA,0.11059450522834671,0.15076157565745363,0.049225508098151405,0.3325779330959714,0.719570765607059,0.8569991952356618,0.6674220669040286,0.1765056052354071,0.0,0.0,0.0,-0.03752788056208339,0.18422048472429445,0.3860446263757512,0.42170447621494533,0.6524079367518425,1.0666418164223435,0.06769774922202991,0.16844919969061406,0.32312653627510235,0.5540824474394321,0.6997544534504414,0.8973565268516541,0.21943426039682473,0.33327520650829545,0.4478088141968545,0.033661627321004646,0.10107909863927944,0.21636213756577805
A_native,G1-shared,all,0.06780531163513745,0.079860349421625,0.052020415090625285,0.21718097249142027,1357.4901519278806,0.4657892023472643,0.7828190275085797,0.11626390772602462,0.0,0.18025,0.18025,-0.0658812351708098,0.07693230483454787,0.3687517417749141,0.0023591908852586135,0.6191314976662398,3.531779321879147,0.05178523991045676,0.10866434276860798,0.2018916697077364,0.9523370893294744,3.548202292330881,30.201827599789308,0.17528602535105012,0.21355811373153877,0.2643034910255127,0.029534604342066506,0.059033890657865115,0.11669820795752739
A_native,G1-shared,expression,0.058801232906262005,0.06991184803623537,0.04455846045465665,0.1841581522027457,3391.7438753016772,0.5183000509041762,0.8158418477972542,0.09007136800731377,0.0,0.0,0.0,-0.06190348296662005,0.04092843577721666,0.3188454831714481,0.04545115529588657,0.7559580448083579,338.85957768172085,0.03393193419686955,0.08131547251518606,0.1654074103601331,1.4748539805009204,7.925408593928659,75.74100019898734,0.14201215190554511,0.18029059339940257,0.2316198644561051,0.021389393492501806,0.05677633847199952,0.10072492182023346
A_native,T0,AU,0.09204253401216081,0.10118558656095548,0.04419871536068885,0.1824675015030804,0.829842597667896,0.48395694701690095,0.8175324984969196,0.1502940696745805,0.0,0.27275,0.27275,-0.05919236291235722,0.11280672277840495,0.43458821970015055,0.01399674475671873,0.7312640130519867,1.6166643470525746,0.0670108420660216,0.133202313121689,0.24976215329815357,0.6156014670218132,0.7617830579650937,1.0632364927099236,0.12621103647652615,0.17471460053518117,0.2517102418641852,0.036262587748415405,0.08391653930685908,0.16430458608674953
A_native,T0,VA,0.11645783121822521,0.15824754749838782,0.04690898797128153,0.31274581004306584,0.780729891397059,0.8798117419217739,0.6872541899569342,0.17990035097378426,0.0,0.0,0.0,-0.0654302573045262,0.18843768142255243,0.41510430489953143,0.4746727597154677,0.7040639089420437,1.1642076802253725,0.10258071051837923,0.1719773715090565,0.3027944233056543,0.6136658853292466,0.761216851323843,0.9691989934444428,0.1742806928655424,0.3076923588730228,0.4400889451195072,0.04937882808678619,0.1130125181993722,0.20370114307111817
A_native,T0,all,0.08596225763708396,0.0975247658879013,0.03960442790176639,0.18278962862347692,8180.1171996610765,0.5484102544034523,0.8172103713765232,0.12966450294198867,0.0,0.16365000000000002,0.16365,-0.06953437142861038,0.08230517790104569,0.4091670813909162,0.05250519785648067,0.8076369367539883,5.925901899933815,0.06631137002310088,0.11703542015940369,0.21081599852836755,1.2153697053423096,4.817398672435984,125.46280041476967,0.13582141927529498,0.1777209999956636,0.23771909110253367,0.03618547248196203,0.07433978460922872,0.1473678013746103
A_native,T0,expression,0.06693784603852952,0.07548003172330307,0.029163998898907983,0.1509045716193232,14987.0497767789,0.5864098338736555,0.8490954283806769,0.09004412204880974,0.0,0.0,0.0,-0.07294934709932713,0.040072446198278044,0.334833472511005,0.1596681660824106,1.1395917184650899,849.7003726142655,0.04073162361671819,0.0748609452883853,0.15494267688554234,1.8614724189360277,11.381169789505112,308.4187955707175,0.10489040776148807,0.1469586207260216,0.19746949860449384,0.029002059471002862,0.05804680491952979,0.12394854091718327
