pairing,model,reconstructed_FRC,archived_native_FRC,GT_zero_mean_sensitivity,target_switch_fraction
A_native,G0-local,0.977341087330938,0.977341087330938,1.1208173737215477,0.0
A_native,G1-shared,0.6780531163513746,0.6780531163513746,0.79860349421625,0.62
A_native,T0,0.8596225763708395,0.8596225763708395,0.9752476588790129,0.525
B_fixed_G0,G0-local,0.977341087330938,0.977341087330938,1.1208173737215477,0.0
B_fixed_G0,G1-shared,0.525435989373053,0.6780531163513746,0.6381550206883407,0.62
B_fixed_G0,T0,0.6731022281219072,0.8596225763708395,0.776246907471144,0.525
