pairing,model,source,candidate,target,target_switched,ccc
B_fixed_G0,G1-shared,1,3,1,1,-0.0038240328171349402
B_fixed_G0,G1-shared,1,4,8,1,-0.014661304082863223
B_fixed_G0,G1-shared,1,5,8,1,-0.02169166706008574
B_fixed_G0,G1-shared,1,6,0,1,-0.024724457081844516
B_fixed_G0,G1-shared,1,7,4,0,0.010923610607553319
B_fixed_G0,G1-shared,1,8,4,1,0.02037946451141827
B_fixed_G0,G1-shared,1,9,4,1,-0.016694359684737405
A_native,T0,2,0,0,1,0.046369096176389686
A_native,T0,2,1,0,1,0.03307425697816604
A_native,T0,2,2,1,1,0.033442940437952484
A_native,T0,2,3,5,1,0.05626406642768637
A_native,T0,2,4,1,1,0.036670603071049454
A_native,T0,2,5,0,1,0.02768826259081051
A_native,T0,2,6,5,1,0.08395051620577246
A_native,T0,2,7,5,0,0.11702475755652833
A_native,T0,2,8,5,0,0.08468013557393103
A_native,T0,2,9,5,1,0.04273862218879715
B_fixed_G0,T0,2,0,5,1,0.03751460552136555
B_fixed_G0,T0,2,1,8,1,0.008547674656442926
B_fixed_G0,T0,2,2,6,1,0.017222730202624152
B_fixed_G0,T0,2,3,0,1,0.05474173827420978
B_fixed_G0,T0,2,4,5,1,-0.022404608007256785
B_fixed_G0,T0,2,5,5,1,-0.016796598778555293
B_fixed_G0,T0,2,6,0,1,0.06818037632900512
B_fixed_G0,T0,2,7,5,0,0.11702475755652833
B_fixed_G0,T0,2,8,5,0,0.08468013557393103
B_fixed_G0,T0,2,9,6,1,-0.03137873497060545
A_native,G0-local,2,0,5,0,0.017810886199240147
A_native,G0-local,2,1,8,0,0.016886867645757742
A_native,G0-local,2,2,6,0,0.0495342741147243
A_native,G0-local,2,3,0,0,0.08105083447359593
A_native,G0-local,2,4,5,0,0.03543435268222031
A_native,G0-local,2,5,5,0,0.014986507138399982
A_native,G0-local,2,6,0,0,0.06710822897018746
A_native,G0-local,2,7,5,0,0.13408885086418681
A_native,G0-local,2,8,5,0,0.05210014734805865
