probe,group,mean_abs_change,temporal_mean_abs_change
change_global,AU,0.09644168801605701,0.09387844800949097
change_global,VA,0.10642950981855392,0.09592033177614212
change_global,expression,0.1038957741111517,0.09367282502353191
change_local,AU,0.0812787227332592,0.026334864553064108
change_local,VA,0.0969727486371994,0.017993645276874304
change_local,expression,0.07879075780510902,0.02023587841540575
