pairing,model,source,group,ccc,GT_zero_mean_ccc,mean_mismatch,mean_fraction,std_ratio,scale_factor,mean_factor,pearson_r,constant_p,constant_y,pearson_undefined_fraction,pearson_r_within_q10,pearson_r_within_q50,pearson_r_within_q90,std_ratio_within_q10,std_ratio_within_q50,std_ratio_within_q90
A_native,T0,0,AU,0.04801957337140645,0.046701892723471576,0.07989967240053732,0.2507373596954395,1.3110192962637597,0.3674235764940707,0.7492626403045605,0.09083492471443533,0.0,0.5133333333333333,0.5133333333333333,-0.2012891807775874,0.019793572600136058,0.45136671793144584,0.2848113179206848,0.8768688440322876,3.4341854572296135
A_native,T0,0,VA,-0.07201644838354679,-0.10867681720111051,0.0732310336474449,0.5591750363292226,1.7026193022727967,0.8458914760257998,0.4408249636707774,-0.118671790684584,0.0,0.0,0.0,-0.34308860291198245,-0.13083452785911556,0.17015403429558973,0.7948912978172302,1.2069416642189026,2.8119212388992314
A_native,T0,0,expression,0.036978294324302025,0.03623966141713523,0.023464129618194076,0.16244446582518426,50.003578423615544,0.6148757395543425,0.8375555341748158,0.03426522515094894,0.0,0.0,0.0,-0.11072586184961059,-0.007846193630212982,0.25187112535917483,0.6043511033058167,1.6730785965919495,51.08934631347753
A_native,T0,0,all,0.03488348233593678,0.030923681911477378,0.06130680760994008,0.24715864778766045,23.873081321167366,0.484885700635896,0.7528413522123396,0.04045509654646251,0.0,0.308,0.30800000000000005,-0.20906624840800453,-0.005876364065852766,0.3279129691672825,0.4507876932621002,1.2342251539230347,19.362915992736884
B_fixed_G0,T0,0,AU,0.04472556883944955,0.04399426791827853,0.0742266817682815,0.24548685728374575,1.4183189121451123,0.37527151410681353,0.7545131427162541,0.08256834628028513,0.0,0.49333333333333335,0.4933333333333333,-0.13348338507121188,-0.004964354155376332,0.4408084837178821,0.3005319982767105,0.8627636730670929,3.477901816368103
B_fixed_G0,T0,0,VA,-0.05563947105994025,-0.08627791913210053,0.08896877628549442,0.617094136699359,1.6307231456041336,0.84993707816526,0.382905863300641,-0.09224075674018276,0.0,0.0,0.0,-0.34308860291198245,-0.06415944824337734,0.1750365145510826,0.7827185332775116,1.2069416642189026,2.8119212388992314
B_fixed_G0,T0,0,expression,0.020667558542661328,0.019986740378613088,0.027752722411727954,0.170495180612565,59.321050440799446,0.6067416907223782,0.829504819387435,0.030613130781663046,0.0,0.0,0.0,-0.1048482251349596,-0.010004302787847065,0.27665936313508716,0.6404897391796113,1.7853097915649414,107.3301017761242
B_fixed_G0,T0,0,all,0.028997802352526136,0.025890084141555265,0.0605343823355614,0.251218103102217,27.76187917897197,0.48731521574847,0.748781896897783,0.03908766843767647,0.0,0.296,0.29600000000000004,-0.15969501031689348,-0.0066117770469297284,0.3243768042370267,0.38875943422317505,1.2789273858070374,17.590819835662842
A_native,G0-local,0,AU,0.04387252022688996,0.04688709537036867,0.09970445456617794,0.3197715227640489,1.2830997418108694,0.3394984223183726,0.6802284772359511,0.08996036930995557,0.0,0.49333333333333335,0.4933333333333333,-0.16614593328598765,0.008023898929267968,0.45202263935254294,0.00014808843843638897,0.8303199708461761,3.45097815990448
A_native,G0-local,0,VA,-0.11197286430359037,-0.15002578279719542,0.08808466031011174,0.5681938940676751,1.5274278655648232,0.8606667264604251,0.43180610593232494,-0.1556957090882321,0.0,0.0,0.0,-0.544570027260123,-0.09108844621096278,0.21090453429770073,0.7696207880973817,1.0591146349906921,2.756931638717652
A_native,G0-local,0,expression,0.01821665858253983,0.012473615762434578,0.03781002539624487,0.2778262089194161,20.382759568846087,0.4944930183548394,0.7221737910805839,0.023246243215314065,0.0,0.0,0.0,-0.15861749071020262,-0.025834035833584214,0.2782157701215562,0.06888618618249893,0.8294824957847595,35.539668273925784
A_native,G0-local,0,all,0.0231950137382595,0.020121751642424638,0.07896865369131406,0.3262228120380565,9.992527859071645,0.4307901573814062,0.6737771879619434,0.031720303085324475,0.0,0.296,0.29600000000000004,-0.18556211097546893,-0.019322874862410976,0.2953232412356392,0.033554557710886,0.8719628155231476,3.911962151527405
B_fixed_G0,G0-local,0,AU,0.04387252022688996,0.04688709537036867,0.09970445456617794,0.3197715227640489,1.2830997418108694,0.3394984223183726,0.6802284772359511,0.08996036930995557,0.0,0.49333333333333335,0.4933333333333333,-0.16614593328598765,0.008023898929267968,0.45202263935254294,0.00014808843843638897,0.8303199708461761,3.45097815990448
B_fixed_G0,G0-local,0,VA,-0.11197286430359037,-0.15002578279719542,0.08808466031011174,0.5681938940676751,1.5274278655648232,0.8606667264604251,0.43180610593232494,-0.1556957090882321,0.0,0.0,0.0,-0.544570027260123,-0.09108844621096278,0.21090453429770073,0.7696207880973817,1.0591146349906921,2.756931638717652
B_fixed_G0,G0-local,0,expression,0.01821665858253983,0.012473615762434578,0.03781002539624487,0.2778262089194161,20.382759568846087,0.4944930183548394,0.7221737910805839,0.023246243215314065,0.0,0.0,0.0,-0.15861749071020262,-0.025834035833584214,0.2782157701215562,0.06888618618249893,0.8294824957847595,35.539668273925784
B_fixed_G0,G0-local,0,all,0.0231950137382595,0.020121751642424638,0.07896865369131406,0.3262228120380565,9.992527859071645,0.4307901573814062,0.6737771879619434,0.031720303085324475,0.0,0.296,0.29600000000000004,-0.18556211097546893,-0.019322874862410976,0.2953232412356392,0.033554557710886,0.8719628155231476,3.911962151527405
A_native,G1-shared,0,AU,0.04354507871242261,0.0540919452890799,0.061892442565610134,0.2446812733524401,1.1155572234220141,0.32545205506824393,0.75531872664756,0.11758958009297076,0.0,0.5133333333333333,0.5133333333333333,-0.09351877958302623,0.025697394934507456,0.4722081007439075,0.0001975923136342317,0.8935786485671997,3.0414654254913325
A_native,G1-shared,0,VA,-0.06342567852116368,-0.09131625233515003,0.09083204568188621,0.5123214563384321,1.4600166708230973,0.8868052859767003,0.4876785436615679,-0.09259574649023292,0.0,0.0,0.0,-0.3207057160681637,-0.0986726298162705,0.10124731331391917,0.816864401102066,1.3896907567977905,2.2310318231582653
A_native,G1-shared,0,expression,0.02717215895711799,0.03419553732549909,0.03545004363558883,0.23871505375869165,35.156825395234044,0.46309171461851123,0.7612849462413085,0.05139034800817566,0.0,0.0,0.0,-0.0660182619341025,0.032987486335483686,0.18907144213303864,0.047978379577398304,1.2048003673553467,39.5120365142823
A_native,G1-shared,0,all,0.029748083812038226,0.03609243893079565,0.05574604315730541,0.26418329772131993,16.897006025115566,0.41440500459700597,0.73581670227868,0.06267833674934252,0.0,0.308,0.30800000000000005,-0.10516328874367803,0.02386219505137662,0.29997081862783825,0.03541761711239814,1.0627968311309814,6.825206470489513
B_fixed_G0,G1-shared,0,AU,0.032270050397167446,0.03754121765745598,0.06537235862933659,0.24835407926486083,1.1306702500964045,0.3126844820784901,0.7516459207351391,0.07475988867506217,0.0,0.49333333333333335,0.4933333333333333,-0.12448605248702443,-0.01674129554876312,0.4638161713661767,0.00017816328181652352,0.7127969264984131,3.1054283380508423
B_fixed_G0,G1-shared,0,VA,-0.05382042945283908,-0.06156220834723804,0.11538661928786116,0.4742490011482853,1.457986232638359,0.8595683550522345,0.5257509988517148,-0.061714269939681966,0.0,0.0,0.0,-0.3130886052786566,-0.041083611023725014,0.15302175266394613,0.5990685224533081,1.3896907567977905,2.7973008632659915
B_fixed_G0,G1-shared,0,expression,0.01634243962074507,0.015982276388221132,0.047133443706421564,0.24183164650002276,62.642584898514905,0.4527467415124599,0.7581683534999772,0.03012428729515898,0.0,0.0,0.0,-0.0945963781182666,0.030073735429717623,0.13961818980506202,0.07011181972920895,1.2684120535850525,39.5120365142823
B_fixed_G0,G1-shared,0,all,0.020285976560711762,0.022714082370925308,0.06353704670668574,0.2643384945307866,29.12782645193913,0.40125511493526,0.7356615054692135,0.03896255184161252,0.0,0.296,0.29600000000000004,-0.12808222285415538,-0.0009430713081445231,0.24852272818947732,0.01603402616456151,1.0407159924507141,13.724298000335693
A_native,T0,1,AU,0.06462469241790217,0.07211906113875019,0.03358646115353863,0.21480974253407822,0.8408761490966505,0.41272398667161253,0.7851902574659217,0.142349241975295,0.0,0.41333333333333333,0.41333333333333333,-0.11399418937176499,0.05421305713644478,0.5046354633867947,0.00031609526777174327,0.7259669899940491,1.5280673265457152
A_native,T0,1,VA,0.05061565859262923,0.17881301178563808,0.05242825279341089,0.5338870855224436,1.0628846257925033,0.9164576085605936,0.46611291447755654,0.18571840675795165,0.0,0.0,0.0,-0.21978885755484998,0.21970669493135392,0.48253347735902846,0.685589325428009,0.7653162181377411,1.9582331061363223
A_native,T0,1,expression,0.051466800497346074,0.05490369640313927,0.01501817842108084,0.13805051572042887,273.0888483480667,0.4957892342364203,0.861949484279571,0.07939754637394532,0.0,0.0,0.0,-0.12156049401568407,0.023688550089025096,0.3845741963443671,0.39382368922233585,1.5255604982376099,1088.6435119628995
A_native,T0,1,all,0.059293444297302385,0.07514566047510571,0.029151954010341923,0.21577297739277965,116.71469500788133,0.47960355564346946,0.7842270226072203,0.12017502733457774,0.0,0.248,0.248,-0.1269446932944814,0.043816646632045445,0.46602164502173654,0.14839565753936768,0.8754642009735107,28.195874214172377
B_fixed_G0,T0,1,AU,-0.03789876157287002,-0.048357208735428404,0.04957412682300439,0.23566485838211174,0.7564335238914045,0.44114440587426695,0.7643351416178882,-0.10241386757998219,0.0,0.38666666666666666,0.3866666666666667,-0.2858784107137059,-0.08610692365364701,0.02087651628974169,0.03215580359101294,0.701204925775528,1.1800711870193483
