model,FRC80,exact_FRD20,S_MSE80,FRVar80
MAM（原生归档）,0.810962318916204,172.57642347297096,0.15720370411872864,0.058911592
T0,0.8596225763708395,133.87666740682033,0.08121564239263535,0.05375617742538452
G0,0.977341087330938,139.1408843633149,0.0615004226565361,0.04645656421780586
G1,0.6780531163513746,131.14359555386798,0.09431560337543488,0.0398782454431057
