pairing,comparison,group,r_contribution,scale_contribution,mean_contribution
A_native,G1-minus-T0,AU,-0.013487957773368604,-0.007708871332628681,-0.003943443761387065
A_native,G1-minus-T0,VA,9.183826688741298e-05,-0.003990898136256115,-0.0019642661205098015
A_native,G1-minus-T0,all,-0.00797468081275628,-0.006183130612230588,-0.003999134576959629
A_native,G1-minus-T0,expression,0.0003460837184808988,-0.003870424880477783,-0.004612271970270643
B_fixed_G0,G1-minus-T0,AU,-0.00618147928593461,-0.006539236465344533,-0.004881443869479618
B_fixed_G0,G1-minus-T0,VA,-0.00031981509793696245,-0.006133440332905485,-0.0025141979356441374
B_fixed_G0,G1-minus-T0,all,-0.004287023476175522,-0.005678563779937785,-0.004801036618772127
B_fixed_G0,G1-minus-T0,expression,-0.0017267209274368727,-0.003951083356558208,-0.005221982694477578
