model,source,group,left_block,right_block,left_frames,right_frames,candidate_covariance,correlation,undefined_fraction
G1-shared,5,VA,0,1,750,298,0.008046419112894011,0.9366677940204233,0.0
G1-shared,5,expression,0,1,750,298,0.014212218208429103,0.7683569839000979,0.0
T0,6,AU,0,1,750,750,0.0015302691844257523,0.059717570524799084,0.0
T0,6,AU,1,2,750,750,-0.001654578687547432,-0.009873263023755916,0.0
T0,6,AU,2,3,750,149,-0.001940265033693385,-0.008731827083894769,0.0
T0,6,VA,0,1,750,750,-0.0003026751791636171,-0.1800737210864541,0.0
T0,6,VA,1,2,750,750,-0.00016811870613015823,-0.07896598340027701,0.0
T0,6,VA,2,3,750,149,0.0004032316111581288,-0.03170147530648687,0.0
T0,6,expression,0,1,750,750,-0.0009754775624234637,-0.007724907898782607,0.0
T0,6,expression,1,2,750,750,-0.0009308993199921177,-0.07188177831659626,0.0
T0,6,expression,2,3,750,149,-7.142046792786973e-05,-0.04338093706142011,0.0
G0-local,6,AU,0,1,750,750,0.00018600169465250564,0.02856361880552618,0.0
G0-local,6,AU,1,2,750,750,-0.0005713227518413494,-0.09352489949413262,0.0
G0-local,6,AU,2,3,750,149,0.00014158766754755135,0.01069096648240738,0.0
G0-local,6,VA,0,1,750,750,0.0001345282125071358,0.019110513953264296,0.0
G0-local,6,VA,1,2,750,750,-0.00015970087236657764,-0.1001565888531962,0.0
G0-local,6,VA,2,3,750,149,0.00033485601017584126,0.013297346000641405,0.0
G0-local,6,expression,0,1,750,750,0.00022320291410106875,0.052120202334931004,0.0
G0-local,6,expression,1,2,750,750,-0.0011342904439253685,-0.20184838872251987,0.0
G0-local,6,expression,2,3,750,149,0.0014343721705083398,0.06428917363687617,0.0
G1-shared,6,AU,0,1,750,750,0.018853495979589463,0.8926623747354978,0.0
G1-shared,6,AU,1,2,750,750,0.022745825160719248,0.7761914090699623,0.0
G1-shared,6,AU,2,3,750,149,0.02896232746691584,0.6967845267576674,0.0
G1-shared,6,VA,0,1,750,750,0.006643942568091152,0.9480356020714744,0.0
G1-shared,6,VA,1,2,750,750,0.007856329860614238,0.9460264387422259,0.0
G1-shared,6,VA,2,3,750,149,0.010422232055966192,0.8464762165404339,0.0
G1-shared,6,expression,0,1,750,750,0.010123938992390948,0.896484672164506,0.0
G1-shared,6,expression,1,2,750,750,0.009770906031694934,0.8615547011480008,0.0
G1-shared,6,expression,2,3,750,149,0.01664252681204663,0.6543945926807467,0.0
T0,7,AU,0,1,750,750,2.1551957149607268e-05,0.03703106736829957,0.0
T0,7,AU,1,2,750,422,0.0014977735761780892,-0.07191531208956224,0.0
T0,7,VA,0,1,750,750,0.0008247324090828144,0.5896264978517586,0.0
T0,7,VA,1,2,750,422,-8.531656608821485e-05,-0.06428643782470891,0.0
T0,7,expression,0,1,750,750,0.003759514771501292,0.5531125041428622,0.0
