pairing,model_minus_G0,group,r_contribution,scale_contribution,mean_contribution
A_native,G1-shared,AU,-0.026315838234252868,-0.009073527056551185,-0.0032252365164714713
A_native,G1-shared,VA,-0.02501053303587276,0.0021216302757208322,-0.0052146511339848135
A_native,G1-shared,all,-0.021576301333021675,-0.005250917388972016,-0.0031015783759626484
A_native,G1-shared,expression,-0.011831111717500408,7.333882156571271e-05,-0.0023414511730030655
A_native,T0,AU,-0.014606238638921337,0.00021972411330955312,0.0009121855857206033
A_native,T0,VA,-0.02660200310542444,0.006009074065115282,-0.0016472988639490802
A_native,T0,all,-0.01454669319111059,0.0018571251789734088,0.0009177169161273393
A_native,T0,expression,-0.011421217997886979,0.0038892649555576702,0.0015693421056590736
B_fixed_G0,G1-shared,AU,-0.035965369622475624,-0.010330418452118595,-0.006198530888451694
B_fixed_G0,G1-shared,VA,-0.03594429358192679,-0.004147132909027859,-0.0077443764944119895
B_fixed_G0,G1-shared,all,-0.03183909335006225,-0.007388417911967124,-0.005962998533759126
B_fixed_G0,G1-shared,expression,-0.02307602528132103,-0.0026824881499179333,-0.005076030878547344
B_fixed_G0,T0,AU,-0.03349093132164296,-0.0005288752356688528,-0.0008723527849753407
B_fixed_G0,T0,VA,-0.03837952295577941,0.0032757803096116174,-0.003764606972712257
B_fixed_G0,T0,all,-0.03055438665447982,0.0008442336613139536,-0.0007137329277371955
B_fixed_G0,T0,expression,-0.02309208132822404,0.0028109261810823,0.0003463978158280924
