source,group,left_block,right_block,left_frames,right_frames,candidate_covariance,correlation
8,expression,1,2,750,568,0.013547788144569022,0.6521584035851887
9,AU,0,1,750,747,0.01182373207846944,0.5554119532541982
9,VA,0,1,750,747,0.01197640694291173,0.6156107292320634
9,expression,0,1,750,747,0.00799570708282758,0.6032342996825404
10,AU,0,1,750,750,0.026889119894271375,0.6225947675693583
10,AU,1,2,750,58,0.02245486896012275,0.5378051913481591
10,VA,0,1,750,750,0.008056993289533505,1.1900153444801218
10,VA,1,2,750,58,0.009944377135768592,0.8513254345201926
10,expression,0,1,750,750,0.01886394731755661,0.6015917184855955
10,expression,1,2,750,58,0.01823058854639161,0.6112859133823166
11,AU,0,1,750,477,0.009727316512898262,0.44632695189063454
11,VA,0,1,750,477,0.004448377637784176,0.5292103909257049
11,expression,0,1,750,477,0.0032310610690553486,0.3844123999894573
12,AU,0,1,750,750,0.012258076461146843,0.602219471748827
12,AU,1,2,750,750,0.01499315566648643,0.7535802971291332
12,AU,2,3,750,750,0.016858788384141465,0.8030825163152762
12,AU,3,4,750,750,0.013731886281603569,0.5263678888071757
12,AU,4,5,750,397,0.01626783939272573,0.7550289841039256
12,VA,0,1,750,750,0.009692104493221394,0.9768349815523789
12,VA,1,2,750,750,0.010974475917103191,1.0117586762011175
12,VA,2,3,750,750,0.011409783324596674,0.7079502052923355
12,VA,3,4,750,750,0.011662472405081947,0.8688487752297732
12,VA,4,5,750,397,0.01103325175161359,0.9912854461629412
12,expression,0,1,750,750,0.016539559315298494,0.5896301945097411
12,expression,1,2,750,750,0.02525302985185764,0.8962370163601473
12,expression,2,3,750,750,0.024237961265951655,0.9472151725262722
12,expression,3,4,750,750,0.02237607521238661,0.7800268764397182
12,expression,4,5,750,397,0.02214825549667074,0.7942199227124243
13,AU,0,1,750,750,0.019967918217759794,0.9649541682895185
13,AU,1,2,750,750,0.02534767621111487,0.8481682903316996
13,AU,2,3,750,750,0.023751141404530322,0.7098929064207459
13,AU,3,4,750,750,0.031629052587355565,0.9615234371247315
13,AU,4,5,750,750,0.02864898275296487,0.7137665185557092
13,AU,5,6,750,276,0.0209676219029694,0.7211747085371432
13,VA,0,1,750,750,0.010435384037308478,1.320247867492112
13,VA,1,2,750,750,0.010092354144708039,0.7053778263929176
13,VA,2,3,750,750,0.011077328573151283,0.9956830655717451
13,VA,3,4,750,750,0.010937933757357231,1.041305075158512
13,VA,4,5,750,750,0.01155429415937961,0.8866831532389621
13,VA,5,6,750,276,0.008868072505020965,0.6123115445747166
13,expression,0,1,750,750,0.01677887723615822,0.9591872263124097
13,expression,1,2,750,750,0.01985925817182178,0.84962411264533
13,expression,2,3,750,750,0.02172016910684213,0.886279022405112
13,expression,3,4,750,750,0.023659831179261338,0.9197991854694842
13,expression,4,5,750,750,0.026977458957253897,0.9926006010137308
13,expression,5,6,750,276,0.02184189238931785,0.7738350653740355
14,AU,0,1,750,750,0.010867180765222747,0.7319988840059488
14,AU,1,2,750,750,0.01698205319700098,0.9593222111736066
14,AU,2,3,750,750,0.017438286458796602,1.13959905447412
14,AU,3,4,750,750,0.012204139406274838,0.9357883778632708
14,AU,4,5,750,660,0.013963536854050558,0.9114590823032249
14,VA,0,1,750,750,0.007894401982493816,1.0463648170289663
14,VA,1,2,750,750,0.00867751485403831,1.1178083244153176
14,VA,2,3,750,750,0.008370647858919144,1.517537094644904
14,VA,3,4,750,750,0.006523803609191994,0.607641246188902
14,VA,4,5,750,660,0.00656386879240841,1.1724856105283397
14,expression,0,1,750,750,0.006814816008520853,0.68840472968493
14,expression,1,2,750,750,0.008909763011209128,0.8876280033058017
14,expression,2,3,750,750,0.009343228885940007,1.292203333270892
14,expression,3,4,750,750,0.0040928940911589455,0.7399602249797452
14,expression,4,5,750,660,0.005820691735674068,0.879629226020944
15,AU,0,1,750,750,0.01766896979673613,0.7990674348535846
15,AU,1,2,750,480,0.023361533012689586,0.8622940309161139
15,VA,0,1,750,750,0.008315799811642564,1.0373626546173165
15,VA,1,2,750,480,0.009148977120284441,0.9673806533034309
15,expression,0,1,750,750,0.03298535565316391,0.9800525410155625
15,expression,1,2,750,480,0.03341786136176578,0.9484945639995904
16,AU,0,1,750,335,0.017147432988842075,0.7219374089602815
16,VA,0,1,750,335,0.00896966571013676,0.8244279296628284
16,expression,0,1,750,335,0.014270075499695644,0.7377378197554089
17,AU,0,1,750,750,0.016027497421709235,0.8067490818665493
17,AU,1,2,750,750,0.015983708005710275,0.8020872147438801
17,AU,2,3,750,750,0.019351593952205565,0.8868015566858704
17,AU,3,4,750,750,0.019762526863446584,0.7171316427773128
17,AU,4,5,750,96,0.008036003428548181,0.5741946547593285
17,VA,0,1,750,750,0.005468362820979206,1.1236903621195922
17,VA,1,2,750,750,0.00580551101087772,0.9930368367376226
17,VA,2,3,750,750,0.005576494847659946,0.8747965573962619
17,VA,3,4,750,750,0.005761103326234154,1.430378994222326
17,VA,4,5,750,96,0.00539617155070301,0.9920534340422209
17,expression,0,1,750,750,0.010320430366580528,0.6959269194992821
17,expression,1,2,750,750,0.014934781520551069,1.0117577840559944
17,expression,2,3,750,750,0.01703366657195069,0.8447173996247218
17,expression,3,4,750,750,0.012221574296620897,0.9057702343186017
17,expression,4,5,750,96,0.014658569146547508,0.6794975374912146
18,AU,0,1,750,750,0.01091818199132572,0.6194376177569814
18,AU,1,2,750,570,0.015513765573452189,0.580024621151227
18,VA,0,1,750,750,0.008531495273845944,0.9416450266252935
18,VA,1,2,750,570,0.008924661056500905,0.9973907136299851
18,expression,0,1,750,750,0.009737542256235394,0.8653113423399917
18,expression,1,2,750,570,0.016407618839288193,1.0239564780908814
19,AU,0,1,750,750,0.007645056015246794,0.7243776058928647
19,AU,1,2,750,750,0.013251379094109825,0.7870851498127746
19,AU,2,3,750,85,0.016094542353674024,0.6863626472482486
19,VA,0,1,750,750,0.008113626653034934,0.5056466064998991
19,VA,1,2,750,750,0.007942121465624521,0.4106440541364256
19,VA,2,3,750,85,0.009680084190873418,1.017647911212288
19,expression,0,1,750,750,0.0078867790924572,0.932594373430632
19,expression,1,2,750,750,0.00958610296546754,0.8371498250765932
19,expression,2,3,750,85,0.014869592984068503,1.0387311566459025
20,AU,0,1,750,359,0.01205604811329518,0.9221170772898186
20,VA,0,1,750,359,0.007533319623565689,0.87757252532722
20,expression,0,1,750,359,0.0074806307034170185,0.9086302630874155
21,AU,0,1,750,270,0.011039645324661528,0.7150901616812995
21,VA,0,1,750,270,0.004435376862403275,0.465273311498146
21,expression,0,1,750,270,0.020743997622750508,0.9362209298012596
22,AU,0,1,750,185,0.007433305238507169,0.5125149655617978
22,VA,0,1,750,185,0.008139328183613518,0.5627356401996496
22,expression,0,1,750,185,0.018682651694793592,0.804039680043869
23,AU,0,1,750,301,0.01041310311023915,0.5986759029233707
23,VA,0,1,750,301,0.006206429754996828,1.020263346674859
23,expression,0,1,750,301,0.010646446808874195,0.9507395715994229
24,AU,0,1,750,240,0.019311992285331335,0.8124825140659568
24,VA,0,1,750,240,0.005747730173391348,0.8449584051141059
24,expression,0,1,750,240,0.016934826723945688,0.5082290382581451
25,AU,0,1,750,234,0.02628998491424508,0.7745718239384155
25,VA,0,1,750,234,0.00481643659348997,0.977915946984648
25,expression,0,1,750,234,0.02452035972464757,0.9302989295887542
26,AU,0,1,750,663,0.02831484548418654,0.7992451269647909
26,VA,0,1,750,663,0.00949454991237643,0.46483519797892336
26,expression,0,1,750,663,0.02664901136569402,0.9326051738603418
27,AU,0,1,750,506,0.014310710762511383,0.8493688558894134
27,VA,0,1,750,506,0.0055826679684224155,1.366988811737103
27,expression,0,1,750,506,0.019494936752048324,1.1105159536045526
30,AU,0,1,750,482,0.023436392130872404,0.5875453973047595
30,VA,0,1,750,482,0.005989860591569601,1.325799810675952
30,expression,0,1,750,482,0.013373991816585431,0.9369094760103578
31,AU,0,1,750,120,0.015704956253353466,0.7945509834479138
31,VA,0,1,750,120,0.005059481942308557,0.9476014374061406
31,expression,0,1,750,120,0.006550034391489391,0.8459311359430114
34,AU,0,1,750,483,0.01431417568417014,0.7365952809046155
34,VA,0,1,750,483,0.01576112022111406,0.7854720417283605
34,expression,0,1,750,483,0.03299353457633067,0.9233760308514923
42,AU,0,1,750,600,0.020216837441806364,0.6248691998689575
42,VA,0,1,750,600,0.011912568569700847,1.2318141076181597
