model,group,candidate_covariance,correlation,undefined_fraction
G0-local,AU,-3.185825904690587e-05,0.00571618470216935,0.0
G0-local,VA,3.231692870048008e-05,0.009173381424453737,0.0
G0-local,expression,-4.498084548237389e-05,0.009096088153375818,0.0
G1-shared,AU,0.01857990945890102,0.7575913498614059,0.0
G1-shared,VA,0.009009783817706675,0.9298650521523998,0.0
G1-shared,expression,0.01746089291541561,0.8308436856372169,0.0
T0,AU,-3.8023541769533356e-06,-0.007658863520485189,0.0
T0,VA,8.806047975824708e-05,0.01248996471872984,0.0
T0,expression,7.314003311087654e-05,0.0071771651489979695,0.0
