arm,step,FRC80,FRC20,FRD20,FRD_pairs,S_MSE80,FRVar80,target_side_mean,one_to_one_mean,mean_selected_distinct_reference_contents
MAM,archive,0.810962318916204,0.7662978890319829,172.57642347297096,2000,0.15720370411872864,0.05891159176826477,0.04280108382068354,0.036931190904977554,2.5625
R1,2000,0.5897533618081934,0.5710190784874846,283.2010320836316,2000,0.13861417770385742,0.028756171464920044,0.04210492777489404,0.035351552809814446,3.675
R1,6000,0.6214835278584534,0.6039196723265157,208.17644542251006,2000,0.1743970364332199,0.05471117049455643,0.04914818945559775,0.04235782876124062,4.2125
R2,2000,1.1406753475794384,1.122607729901579,135.15241635093878,2000,0.02309323474764824,0.028714386746287346,0.05303237758802483,0.04876216773268975,1.975
R2,6000,1.1814686849299616,1.134674339994814,133.40907425912587,2000,0.04367993772029877,0.039064668118953705,0.06117062989081763,0.05564620738467034,2.5
