arm,step,input_index,group,candidate_mse_offdiag,centered_candidate_mse_offdiag,temporal_variance,speed_abs,near_duplicate_pairs_mse_lt_1e_8,minimum,maximum
MAM,archive,0,AU,0.18564055228645057,0.11014218919529534,0.1002124529675929,0.02156190476190476,0,0.0,1.0
MAM,archive,0,VA,0.11325445905145012,0.010258690969925524,0.021952780156195353,0.026215748295109333,0,-0.7434523105621338,0.754388689994812
MAM,archive,0,expression,0.11346752221567762,0.02974452100303336,0.022177025473174454,0.014479136771563088,0,1.0008320572296725e-07,0.9998918771743774
MAM,archive,1,AU,0.21045415595544129,0.09898392165152527,0.07472153753669006,0.020005717552887364,0,0.0,1.0
MAM,archive,1,VA,0.11979856678643605,0.006029106147715467,0.012240528075345695,0.029965304137006585,0,-0.5982515215873718,0.7585560083389282
MAM,archive,1,expression,0.11784857432321566,0.016664294238859546,0.011837631181055828,0.016566201174075913,0,9.418506863312359e-08,0.9999004602432251
MAM,archive,2,AU,0.14396775006298815,0.0996742153046656,0.11581147494168943,0.025749943272067165,0,0.0,1.0
MAM,archive,2,VA,0.1514519395924379,0.007224105169870868,0.024759571196946103,0.0335252265082318,0,-0.6525188684463501,0.895851194858551
MAM,archive,2,expression,0.10282426080733775,0.032877538598986816,0.02664881101637958,0.01708549112655777,0,1.169061558670137e-08,0.9999853372573853
MAM,archive,3,AU,0.1734810533076429,0.09055416646557346,0.08745565751793637,0.01801254220935842,0,0.0,1.0
MAM,archive,3,VA,0.10340568429212724,0.0063472447027203595,0.01164820456359198,0.03160651721776373,0,-0.723175048828125,0.6179651618003845
MAM,archive,3,expression,0.11118073471389604,0.02313733445460924,0.0163216111299652,0.017099505378715928,0,3.3661464726719714e-07,0.9993427395820618
MAM,archive,4,AU,0.21503007280785055,0.11466198416499146,0.09595634176960748,0.016685678073510773,0,0.0,1.0
MAM,archive,4,VA,0.11677251805106094,0.00781138934871318,0.0239818078414083,0.027348002389348584,0,-0.7398866415023804,0.7030543088912964
MAM,archive,4,expression,0.13224880266621994,0.027803188906301467,0.01901101428535885,0.014121256425466444,0,1.673362817200541e-07,0.9998769760131836
MAM,archive,5,AU,0.10911365564037319,0.07594001498876651,0.1275431986701372,0.015504616364215218,0,0.0,1.0
MAM,archive,5,VA,0.11334281532241135,0.009969222101652077,0.06521124919607549,0.03495882575276698,0,-0.642504870891571,0.9441672563552856
