arm,step,seed,policy,FRC,FRD20,FRD_pairs,S_MSE,FRVar
R1,2000,123,native continuous AU,0.5897533618081934,283.2010320836316,2000,0.13861417770385742,0.028756171464920044
R1,6000,123,native continuous AU,0.6214835278584534,208.17644542251006,2000,0.1743970364332199,0.05471117049455643
R2,2000,123,native continuous AU,1.1406753475794384,135.15241635093878,2000,0.02309323474764824,0.028714386746287346
R2,6000,123,native continuous AU,1.1814686849299616,133.40907425912587,2000,0.04367993772029877,0.039064668118953705
