model,source,target_side_mean,candidate_best_mean
MAM,0,0.0284918184144331,0.07461312490210537
MAM,1,0.05291503098071263,0.07186469842796342
MAM,2,0.07071994528155914,0.1417341478024676
MAM,3,0.04514616258289702,0.0810026363210211
MAM,4,0.07227779473015064,0.0984788233699399
MAM,5,0.0565116110687678,0.1437814620985494
MAM,6,0.054963704462228626,0.11493316294375963
MAM,7,0.031203264539896775,0.04746413532859744
MAM,8,0.06392749234498987,0.06941407684951326
MAM,9,0.03708184560902998,0.07202335127787297
MAM,10,0.017205625182266385,0.0179381589411991
MAM,11,0.05015472322099971,0.07646990001766747
MAM,12,0.033580082712963574,0.0834421286566979
MAM,13,0.0254847752821032,0.036027774007085914
MAM,14,0.020882948592138108,0.023459857737687113
MAM,15,0.05532415248114908,0.09624777428524336
MAM,16,0.06496760243022537,0.0990824491360223
MAM,17,0.044226916818849896,0.05820525184898852
MAM,18,0.03487016144553912,0.05513448540868291
MAM,19,0.04022629716493283,0.04868052621784482
MAM,20,0.04365461265644612,0.08067856241738448
MAM,21,0.05883711878619744,0.08553373394945181
MAM,22,0.03071033806191025,0.059877743412719044
MAM,23,0.04906584751122291,0.0853846838400808
MAM,24,0.09053835078839387,0.10054185403907598
MAM,25,0.05563062229362874,0.09055790053285234
MAM,26,0.058317127856531335,0.06142539728659642
MAM,27,0.050486614361500357,0.06802501463354496
MAM,28,0.0783272668789984,0.15642263338028678
MAM,29,0.053835311339032965,0.07027486524575752
MAM,30,0.01742513263079212,0.02503903312595928
MAM,31,0.0210355912938582,0.05027867832678899
MAM,32,0.04324383383707909,0.10201056512220026
MAM,33,0.04077342919681475,0.0701253554200584
MAM,34,0.04624127284792742,0.13095254775838627
MAM,35,0.031896563785737526,0.0974928692082258
MAM,36,0.05935221628838559,0.15634001221160856
MAM,37,0.011769515284339893,0.07074431288835065
MAM,38,0.07018511812955493,0.14726134950373998
MAM,39,0.042074511543409424,0.16090423270365303
MAM,40,0.03593915557737757,0.07254039201343856
MAM,41,0.06978732456704076,0.14737532591987848
MAM,42,0.03963714392838796,0.06964961706944811
MAM,43,0.05969668744650484,0.16731437169361932
MAM,44,0.044107900786328716,0.0871285916923519
MAM,45,0.023088593270475022,0.04093586305245239
MAM,46,0.041231570215647766,0.05571851932989839
MAM,47,0.085338398489752,0.10570342305828548
MAM,48,0.04689233998482197,0.09594658215035799
MAM,49,0.02725732206174093,0.02761119284445058
MAM,50,0.057952388817934866,0.11023351912603685
MAM,51,0.04032923953723076,0.13699409294269518
MAM,52,0.0416893972460558,0.09153314470234067
MAM,53,0.027093656219978925,0.04935762030279976
MAM,54,0.06125676232206088,0.11529120582480146
MAM,55,0.070959492373909,0.1751761349180425
MAM,56,0.030580598803608233,0.06134673588538272
MAM,57,0.0761312485987291,0.10460725731731298
MAM,58,0.06777809535198824,0.16411792495524638
MAM,59,0.05213104028902271,0.08841345691122574
MAM,60,0.03147008842966566,0.08250003215706411
MAM,61,0.03155350204456549,0.08059843457324722
MAM,62,0.014298544467912755,0.028971915911357293
MAM,63,0.020790675649935815,0.0462909035278299
MAM,64,0.03194589838302281,0.051253659706422906
MAM,65,0.022201437221451393,0.04077453795831322
MAM,66,0.0438063109676891,0.06043109843638657
MAM,67,0.0336044347173438,0.14830294411996633
MAM,68,0.013095270486820451,0.021030272726514747
MAM,69,0.03471070745912343,0.05778409234625988
MAM,70,0.014835830034017856,0.017464174552531082
MAM,71,0.02588205925670935,0.03987204314726901
MAM,72,0.019960612674347563,0.050172927127952294
MAM,73,0.013928314960062981,0.0288187246413427
MAM,74,0.0077102131785998255,0.028319927580494553
MAM,75,0.02552912260313705,0.023624016654448306
MAM,76,0.05591324600933352,0.09788475472837199
MAM,77,0.04371649806442709,0.06880310405157755
MAM,78,0.03180469281085092,0.08607814251874839
MAM,79,0.05488853962947603,0.0818586025678387
R2,0,0.030911566508377987,0.10500475821883022
R2,1,0.07588780952447731,0.15936764418239407
R2,2,0.05937682939140464,0.09804942065504577
R2,3,0.0825341762622737,0.15889434176663983
R2,4,0.09241828243392122,0.134870823109706
R2,5,0.0777964735577134,0.14881141376296333
R2,6,0.06590003645254139,0.1444844097514167
R2,7,0.07231475937542173,0.11784464980667478
R2,8,0.058347529803646415,0.09324602085410101
R2,9,0.05000325125742596,0.09640529999499246
R2,10,0.022502339816186268,0.03189663748821041
R2,11,0.06033870169082413,0.12312317867034198
R2,12,0.05161785142415035,0.10946841564496208
R2,13,0.037399490353489696,0.048072722241743734
R2,14,0.028305833533347435,0.04006519761311155
R2,15,0.0597247570829072,0.10786532447693786
R2,16,0.08700810396202832,0.11497055643659955
R2,17,0.05286303435373434,0.09447737121300541
R2,18,0.047900151930115854,0.0781999519387225
R2,19,0.06554291583772795,0.08537577740415078
R2,20,0.07408343053129761,0.1011313077853317
R2,21,0.07949217387074742,0.13564835495610406
R2,22,0.05128164337396927,0.07903290244106165
R2,23,0.0713573386798705,0.10449063179290315
