model,FRC,smse,FRVar
MAM,0.810962318916204,0.15720370411872864,0.05891159176826477
R2,1.1814686849299616,0.04367993772029877,0.039064668118953705
A12000,0.41471285389293405,0.13943853974342346,0.06869899481534958
T0,0.8596225763708395,0.08121564239263535,0.05375617742538452
T1,0.8330568434043378,0.08293180912733078,0.052843958139419556
