model,target_side_mean,candidate_best_mean,quantile_0,quantile_0.1,quantile_0.25,quantile_0.5,quantile_0.75,quantile_0.9,quantile_1
MAM,0.04280108382068354,0.0810962318916204,-0.0021851638553050377,0.025373990117710306,0.045291625312259304,0.0722934439631646,0.1108743121676003,0.1498657886282015,0.2625857124417362
R2,0.06117062989081763,0.11814686849299616,0.004768674535950826,0.04487344349428959,0.07283914012425491,0.11100865938212429,0.15674183685378526,0.1950368130691693,0.30083052046351283
A12000,0.03771607103191958,0.04147128538929341,-0.014133662053014412,0.013657083400427532,0.021911464617970663,0.03644000344423429,0.05545367164807948,0.07639598270823039,0.1744928188167113
T0,0.058758222018139586,0.08596225763708397,0.0021830927611842287,0.031626101813747004,0.04856709003716592,0.07482329203384867,0.11479940856536286,0.15753125467646392,0.24505605339503433
T1,0.05913828588329499,0.08330568434043378,0.002243725517186959,0.031958164502110406,0.04736814444842903,0.07264955530992898,0.11046708127138406,0.1526675727605653,0.24892528119127472
