model,global_step,new_steps,FRC80,FRC20,exact_FRD20,S_MSE80,FRVar80,checkpoint_sha256,task_result_sha256,training_seconds,valid_frames
T0-task,14000,2000,0.8596225763708395,0.8323154797671813,133.87666740682033,0.08121564239263535,0.05375617742538452,e6199183cdc3526e1fc1390c89057e40514af8d2f2101d69a5e1dabb7f43f4d6,abbdc3fd333660522ee7ef202c49573f0bbd9dc94017289e253b0a58ebb4eea5,19950.966975927353,5702765
T1-task-dynamics,14000,2000,0.8330568434043378,0.8090811133230472,133.43335750461262,0.08293180912733078,0.052843958139419556,69984e99746f2fc6b77a5de246c92f3236c5a98d6b1d7ff7fab5e67d5806a6f3,44f5d07c9c8818d6742e0964a6ba893bc4aaf19b1cc8bfbaa3f7bb8f6ea11e15,19954.069288253784,5702765
