model,source,population,group,total,DC,slow,fast,identity_error,speed,acceleration
MAM_archive_offline,0,prediction,AU,0.18564055228645054,0.07549836309115518,0.0840431930028412,0.026098996192454132,2.7755575615628914e-17,0.02156190476190476,0.04312543312543313
MAM_archive_offline,0,prediction,VA,0.11325445905145012,0.10299576808152464,0.009673526747819664,0.0005851642221058621,4.163336342344337e-17,0.026215748295109333,0.03721596255182891
MAM_archive_offline,0,prediction,expression,0.11346752221567763,0.08372300121264427,0.027510137172141413,0.002234383830891946,0.0,0.014479136771563088,0.021420060801315286
MAM_archive_offline,0,processed_targets,AU,0.2468928118149302,0.11216488278687899,0.12021416032684741,0.014513768701203801,0.0,0.008509090909090909,0.017027027027027027
MAM_archive_offline,0,processed_targets,VA,0.24093695226099449,0.19306009776514166,0.04615039377131954,0.001726460724533247,2.7755575615628914e-17,0.010503816214378004,0.013521472877569172
MAM_archive_offline,0,processed_targets,expression,0.12673749381976335,0.07379555681778921,0.04845504342045324,0.004486893581520914,0.0,0.007967644879511416,0.011051477896737456
MAM_archive_offline,1,prediction,AU,0.2104541559554413,0.11147023430391605,0.07568470555453709,0.023299216096988165,0.0,0.020005717552887364,0.0399656652360515
MAM_archive_offline,1,prediction,VA,0.11979856678643605,0.11376946063872058,0.005321911237178356,0.0007071949105371107,0.0,0.029965304137006585,0.04531355010582656
MAM_archive_offline,1,prediction,expression,0.11784857432321563,0.1011842800843561,0.014428313696392529,0.0022359805424670203,1.3877787807814457e-17,0.016566201174075913,0.02535334094052223
MAM_archive_offline,1,processed_targets,AU,0.1892513250182488,0.061132759419154276,0.11344620441430828,0.014672361184786206,2.7755575615628914e-17,0.008370497427101201,0.016738197424892704
MAM_archive_offline,1,processed_targets,VA,0.1742168718498816,0.1128612728727193,0.058791764879625424,0.002563834097536901,2.7755575615628914e-17,0.013501502275323147,0.017943337417723283
MAM_archive_offline,1,processed_targets,expression,0.12161621630020142,0.05632616224579112,0.059613184865121,0.005676869189289337,4.163336342344337e-17,0.01016422428356031,0.014294150524274782
MAM_archive_offline,2,prediction,AU,0.14396775006298818,0.04429353475832259,0.07306369208303125,0.026610523221634336,0.0,0.025749943272067165,0.051503178928247045
