model,source,raw_FRC,P8_prediction_only_FRC
MAM_archive_offline,0,0.7461313009262085,0.7769219875335693
MAM_archive_offline,1,0.7186470031738281,0.7453685998916626
MAM_archive_offline,2,1.4173414707183838,1.4820818901062012
MAM_archive_offline,3,0.8100264072418213,0.837026834487915
MAM_archive_offline,4,0.9847882390022278,1.0259281396865845
MAM_archive_offline,5,1.4378145933151245,1.4866206645965576
MAM_archive_offline,6,1.1493315696716309,1.204284429550171
MAM_archive_offline,7,0.4746413230895996,0.491472989320755
MAM_archive_offline,8,0.6941407918930054,0.7166032791137695
MAM_archive_offline,9,0.7202335596084595,0.7359112501144409
MAM_archive_offline,10,0.1793815791606903,0.19571876525878906
MAM_archive_offline,11,0.7646989822387695,0.7960417866706848
MAM_archive_offline,12,0.8344212770462036,0.8541867733001709
MAM_archive_offline,13,0.3602777421474457,0.37818294763565063
MAM_archive_offline,14,0.2345985770225525,0.25362756848335266
MAM_archive_offline,15,0.9624778032302856,0.9975569248199463
MAM_archive_offline,16,0.9908244609832764,1.0331676006317139
MAM_archive_offline,17,0.58205246925354,0.61617511510849
MAM_archive_offline,18,0.5513448715209961,0.577559232711792
MAM_archive_offline,19,0.4868052303791046,0.5112013816833496
MAM_archive_offline,20,0.8067857027053833,0.8809711337089539
MAM_archive_offline,21,0.855337381362915,0.900459885597229
MAM_archive_offline,22,0.5987774133682251,0.6321196556091309
MAM_archive_offline,23,0.8538469672203064,0.9002496004104614
MAM_archive_offline,24,1.0054186582565308,1.0631842613220215
MAM_archive_offline,25,0.9055789113044739,0.945990800857544
MAM_archive_offline,26,0.6142539381980896,0.6333943605422974
MAM_archive_offline,27,0.6802501678466797,0.7140441536903381
MAM_archive_offline,28,1.5642261505126953,1.6442718505859375
MAM_archive_offline,29,0.7027485966682434,0.7331525683403015
MAM_archive_offline,30,0.25039032101631165,0.26830846071243286
MAM_archive_offline,31,0.5027868151664734,0.5534963011741638
MAM_archive_offline,32,1.0201057195663452,1.0920158624649048
MAM_archive_offline,33,0.7012535333633423,0.7895998358726501
MAM_archive_offline,34,1.309525489807129,1.3573906421661377
MAM_archive_offline,35,0.9749287366867065,1.0252354145050049
