Traceback (most recent call last):
  File "/home/zhengshiyi/.local/share/uv/python/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/runpy.py", line 196, in _run_module_as_main
    return _run_code(code, main_globals, None,
  File "/home/zhengshiyi/.local/share/uv/python/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/runpy.py", line 86, in _run_code
    exec(code, run_globals)
  File "/home/zhengshiyi/react2025_new/reaction_reward/train.py", line 58, in <module>
    p=argparse.ArgumentParser();p.add_argument('--arm',choices=ARMS,required=True);main(p.parse_args().arm)
  File "/home/zhengshiyi/react2025_new/reaction_reward/train.py", line 38, in main
    batch=active[i:i+4];d=difference(model,data,batch,fam);w=d.new_tensor([r['weight'] for r in batch]);loss=(F.softplus(-d)*w).sum()/den;assert torch.isfinite(loss);(mult*loss).backward();value+=float(loss.detach())
  File "/home/zhengshiyi/react2025_new/reaction_reward/train.py", line 12, in difference
    a=score(model,data,rows,'A');b=score(model,data,rows,'B');d=a-b;return d[:,0] if family in ['base_context','weak_context'] else d[:,1] if family=='temporal' else d.sum(-1)
  File "/home/zhengshiyi/react2025_new/reaction_reward/train.py", line 10, in score
    def score(model,data,rows,key):return model(*data.batch(rows,key))
  File "/home/zhengshiyi/react2025_new/reaction_reward/data.py", line 23, in batch
    n=r['n'];x,t=self.source(r['source'],r['start'],n);y,u=self.target(r[which],n);assert len(x)==len(y)==n;xs.append(x);ys.append(y);xt.append(t);yt.append(u);ns.append(n)
AssertionError
RM-Gen step 875 loss {'base_context': 0.05467562610283494, 'temporal': None, 'weak_context': 0.006762251257896423, 'generated': None}
RM-Gen step 900 loss {'base_context': 0.00684705883031711, 'temporal': None, 'weak_context': 0.0026548979803919792, 'generated': 0.41431164741516113}
RM-Gen step 925 loss {'base_context': 0.09027224367309827, 'temporal': None, 'weak_context': 0.13196000456809998, 'generated': 0.5381129384040833}
RM-Gen step 950 loss {'base_context': 0.023194035326014273, 'temporal': None, 'weak_context': 0.0964975506067276, 'generated': 1.0061776638031006}
RM-Gen step 975 loss {'base_context': 0.0021014409721828997, 'temporal': None, 'weak_context': 0.007613219320774078, 'generated': 0.5607104301452637}
RM-Gen step 1000 loss {'base_context': 0.0022077842731960118, 'temporal': None, 'weak_context': 0.2537960410118103, 'generated': 1.491162657737732}
RM-Gen step 1025 loss {'base_context': 0.02845278847962618, 'temporal': None, 'weak_context': 1.0048032999038696, 'generated': 0.9209914803504944}
RM-Gen step 1050 loss {'base_context': 0.14536613458767533, 'temporal': 0.34436893463134766, 'weak_context': 0.5865685939788818, 'generated': 0.02994757704436779}
RM-Gen step 1075 loss {'base_context': 0.02674467721953988, 'temporal': None, 'weak_context': 0.009203811176121235, 'generated': 2.4036922454833984}
RM-Gen step 1100 loss {'base_context': 0.20850690896622837, 'temporal': None, 'weak_context': 0.06067832186818123, 'generated': 0.466707319021225}
RM-Gen step 1125 loss {'base_context': 0.0014813281886745244, 'temporal': 0.04156699404120445, 'weak_context': 0.009889163076877594, 'generated': 0.20879386365413666}
RM-Gen step 1150 loss {'base_context': 0.11764522004523315, 'temporal': None, 'weak_context': None, 'generated': 0.008266858756542206}
RM-Gen step 1175 loss {'base_context': 0.22258959181908722, 'temporal': None, 'weak_context': 0.009864464402198792, 'generated': 0.02138042263686657}
RM-Gen step 1200 loss {'base_context': 0.0016179183585336432, 'temporal': None, 'weak_context': 0.005040125921368599, 'generated': 0.4306813180446625}
RM-Gen step 1225 loss {'base_context': 0.0020129011827521026, 'temporal': 0.6783447265625, 'weak_context': 0.03617475926876068, 'generated': None}
RM-Gen step 1250 loss {'base_context': 0.005953475557589627, 'temporal': None, 'weak_context': 0.05215613543987274, 'generated': 0.33537977933883667}
RM-Gen step 1275 loss {'base_context': 0.06701179075753316, 'temporal': None, 'weak_context': 0.0009853905066847801, 'generated': 0.35824140906333923}
RM-Gen step 1300 loss {'base_context': 0.0017602488624106627, 'temporal': 0.042581841349601746, 'weak_context': 0.009563945233821869, 'generated': 4.599801540374756}
RM-Gen step 1325 loss {'base_context': 0.003490158349450212, 'temporal': None, 'weak_context': None, 'generated': 0.04123913496732712}
RM-Gen step 1350 loss {'base_context': 0.0007310808668989921, 'temporal': None, 'weak_context': 0.0005553723312914371, 'generated': 0.6887679696083069}
RM-Gen step 1375 loss {'base_context': 0.016528737220085077, 'temporal': None, 'weak_context': 0.017704550176858902, 'generated': 0.6667020320892334}
RM-Gen step 1400 loss {'base_context': 0.03066518483683467, 'temporal': None, 'weak_context': 5.07039439980872e-05, 'generated': 0.00024209637194871902}
RM-Gen step 1425 loss {'base_context': 0.17668059388233814, 'temporal': 0.30353060364723206, 'weak_context': 0.0002953181101474911, 'generated': 1.071207046508789}
RM-Gen step 1450 loss {'base_context': 0.0002895098386943573, 'temporal': None, 'weak_context': 0.007631887681782246, 'generated': 0.012503908947110176}
RM-Gen step 1475 loss {'base_context': 0.0016007049098334392, 'temporal': None, 'weak_context': 1.8163206050303415e-06, 'generated': None}
RM-Gen step 1500 loss {'base_context': 0.0025572338490746915, 'temporal': 0.5928502678871155, 'weak_context': 0.17056243121623993, 'generated': 0.007157669868320227}
RM-Gen step 1525 loss {'base_context': 0.00109247101136134, 'temporal': 0.0034116876777261496, 'weak_context': 0.015230825170874596, 'generated': 3.3002898693084717}
RM-Gen step 1550 loss {'base_context': 0.02202942330040969, 'temporal': 0.5537862181663513, 'weak_context': 0.01199291367083788, 'generated': 1.646422028541565}
RM-Gen step 1575 loss {'base_context': 0.0017694979469524696, 'temporal': None, 'weak_context': 1.4373530575539917e-05, 'generated': 0.9743726253509521}
RM-Gen step 1600 loss {'base_context': 0.1262629052507691, 'temporal': None, 'weak_context': 0.0012673374731093645, 'generated': 1.1367110013961792}
RM-Gen step 1625 loss {'base_context': 4.756971179631364e-05, 'temporal': 0.0063976505771279335, 'weak_context': 0.044760506600141525, 'generated': 1.211113691329956}
RM-Gen step 1650 loss {'base_context': 0.026285996951628476, 'temporal': None, 'weak_context': 0.0486236996948719, 'generated': 0.023277027532458305}
RM-Gen step 1675 loss {'base_context': 0.0026747779920697212, 'temporal': None, 'weak_context': 0.0022904372308403254, 'generated': 0.6332709789276123}
RM-Gen step 1700 loss {'base_context': 0.0002248553282697685, 'temporal': None, 'weak_context': 2.8338788979453966e-05, 'generated': 1.0886495113372803}
RM-Gen step 1725 loss {'base_context': 0.006160123739391565, 'temporal': None, 'weak_context': 0.0010105469264090061, 'generated': 3.4949779510498047}
RM-Gen step 1750 loss {'base_context': 0.00035009432622246095, 'temporal': None, 'weak_context': 0.03309888392686844, 'generated': 0.7991328239440918}
RM-Gen step 1775 loss {'base_context': 0.00034065943327732384, 'temporal': 0.0012829166371375322, 'weak_context': 0.19008873403072357, 'generated': 0.0072821942158043385}
RM-Gen step 1800 loss {'base_context': 0.00047509793148492463, 'temporal': None, 'weak_context': 2.257214509882033e-05, 'generated': 6.444526661653072e-05}
RM-Gen step 1825 loss {'base_context': 0.04236483993008733, 'temporal': 0.2350921779870987, 'weak_context': 0.003343675984069705, 'generated': 1.0176995992660522}
RM-Gen step 1850 loss {'base_context': 3.945075104638818e-05, 'temporal': None, 'weak_context': 0.0011750174453482032, 'generated': 0.18688732385635376}
RM-Gen step 1875 loss {'base_context': 0.00043367050697895593, 'temporal': None, 'weak_context': 0.017337556928396225, 'generated': 0.06943891197443008}
RM-Gen step 1900 loss {'base_context': 0.10605307295918465, 'temporal': 0.2990971505641937, 'weak_context': 0.022169411182403564, 'generated': 0.0851144939661026}
RM-Gen step 1925 loss {'base_context': 0.08116756135132164, 'temporal': None, 'weak_context': 0.004252397920936346, 'generated': 0.5212982296943665}
RM-Gen step 1950 loss {'base_context': 0.0001340579991335744, 'temporal': None, 'weak_context': 1.4864624972688034e-05, 'generated': 3.1314161788031925e-06}
RM-Gen step 1975 loss {'base_context': 2.1814791482333007e-05, 'temporal': None, 'weak_context': 0.00010314775863662362, 'generated': 0.006473114714026451}
RM-Gen step 2000 loss {'base_context': 0.0005596226649231539, 'temporal': None, 'weak_context': 7.799114428053144e-06, 'generated': 0.021800465881824493}
RM-Gen step 2025 loss {'base_context': 2.3389801526718657e-06, 'temporal': None, 'weak_context': 0.23077921569347382, 'generated': 2.3918728828430176}
RM-Gen step 2050 loss {'base_context': 0.0002475013482126087, 'temporal': None, 'weak_context': 0.0016976060578599572, 'generated': 0.0030937273986637592}
RM-Gen step 2075 loss {'base_context': 0.0010474071844441823, 'temporal': None, 'weak_context': 0.0024796994403004646, 'generated': 0.6016862988471985}
RM-Gen step 2100 loss {'base_context': 0.0035051736403772793, 'temporal': 5.169553332962096e-05, 'weak_context': 6.336582828225801e-06, 'generated': 1.0561267137527466}
RM-Gen step 2125 loss {'base_context': 3.3954323185980684e-05, 'temporal': None, 'weak_context': 0.019260823726654053, 'generated': 0.4808654487133026}
RM-Gen step 2150 loss {'base_context': 6.661377287997539e-06, 'temporal': 0.04528822749853134, 'weak_context': 5.804085230920464e-05, 'generated': 0.7224531173706055}
RM-Gen step 2175 loss {'base_context': 0.00012600709069765514, 'temporal': None, 'weak_context': 1.04459510485988e-10, 'generated': 0.16382813453674316}
RM-Gen step 2200 loss {'base_context': 0.0018137065944756614, 'temporal': None, 'weak_context': 2.736950110993064e-10, 'generated': 5.308995246887207}
RM-Gen step 2225 loss {'base_context': 0.03990395285654813, 'temporal': None, 'weak_context': 0.15820921957492828, 'generated': 0.6765011548995972}
RM-Gen step 2250 loss {'base_context': 0.06844505517801736, 'temporal': None, 'weak_context': 0.003618591697886586, 'generated': 0.05081864073872566}
RM-Gen step 2275 loss {'base_context': 0.0006978114834055305, 'temporal': None, 'weak_context': 0.0671224296092987, 'generated': 1.5928746461868286}
RM-Gen step 2300 loss {'base_context': 0.0021178951719775796, 'temporal': 5.7793742598732933e-05, 'weak_context': 0.01616113819181919, 'generated': 0.19583965837955475}
RM-Gen step 2325 loss {'base_context': 4.247076731189736e-06, 'temporal': 0.010047455318272114, 'weak_context': 2.9779758392578515e-07, 'generated': 0.004720759578049183}
RM-Gen step 2350 loss {'base_context': 0.0003143714893099059, 'temporal': 0.06110473722219467, 'weak_context': 0.004187050741165876, 'generated': 0.05086024850606918}
RM-Gen step 2375 loss {'base_context': 6.971020505730507e-05, 'temporal': 8.631180389784276e-05, 'weak_context': 0.0010930614080280066, 'generated': 2.4004945755004883}
